115
0,3,3,3,3,3,4,2,1,1,2,4,2,2,4,1,1,1,4,3,2,3,1,1,2,3,1,3,3,3,2,3,4,2,2,4,3,3,2,1,2,2,1,1,4,4,4,4,1,4,1,1,4,4,4,1,4,2,3,3,4,4,1,2,2,4,1,3,4,3,1,1,4,1,4,1,1,3,3,4,3,2,2,2,2,3,2,4,2,2,1,1,3,2,1,1,4,4,3,2,1,1,1,2,2,4,2,2,1,2,4,2,4,4,2,1,0
0,86,35,51,10,50,52,57,12,96,21,38,98,64,45,61,34,55,72,65,93,25,36,84,83,10,59,92,46,24,91,50,93,13,10,43,65,55,94,98,68,43,76,92,38,46,59,24,83,97,99,52,75,86,63,43,23,51,15,82,92,64,64,36,52,91,72,96,67,25,94,24,61,49,86,30,82,75,32,11,85,91,99,57,64,52,83,72,50,68,63,17,66,65,46,46,63,34,30,20,39,31,19,23,32,92,63,73,32,94,68,77,90,89,14,43,0
86,0,53,53,55,84,17,62,25,23,40,88,22,23,15,53,25,13,10,43,87,73,90,84,70,40,16,99,99,48,30,12,34,88,28,76,58,20,97,81,57,46,40,61,44,69,100,47,65,97,24,86,91,76,15,54,40,47,76,93,39,87,74,33,46,46,16,33,25,82,49,84,84,92,74,51,58,64,55,92,18,18,34,62,43,57,76,48,13,60,93,95,65,59,86,76,89,73,11,94,49,67,98,73,42,71,36,100,74,91,58,93,17,56,45,76,86
35,53,0,49,84,100,99,33,38,98,63,30,23,83,43,38,33,16,34,83,78,90,30,47,57,44,11,74,26,28,68,79,94,83,25,40,82,60,10,86,88,89,69,15,26,72,53,96,84,47,36,41,16,60,17,61,73,10,38,81,26,99,58,57,34,33,54,17,39,14,63,54,45,68,51,97,54,32,23,22,57,14,27,98,66,33,80,18,15,15,42,94,16,71,70,25,76,46,29,37,57,100,86,60,23,75,81,52,63,21,62,20,22,84,41,56,35
51,53,49,0,64,75,32,63,19,98,94,13,43,86,99,90,49,27,72,23,41,86,12,94,95,90,49,63,60,85,76,43,88,13,78,57,31,93,72,76,58,75,34,64,95,42,79,62,95,69,19,30,84,57,99,72,39,27,21,32,33,42,49,100,98,22,62,49,12,91,14,49,11,19,37,23,94,50,73,25,37,14,46,78,26,67,24,77,56,52,37,73,86,55,76,57,80,67,45,92,37,92,53,50,39,14,72,41,72,74,52,99,31,70,50,38,51
10,55,84,64,0,22,51,61,63,23,36,20,63,51,68,22,90,43,30,37,31,75,94,59,23,64,95,19,95,61,44,70,68,69,47,52,77,98,12,62,35,67,42,50,11,26,66,80,45,72,37,36,10,61,48,72,88,72,31,66,88,20,27,92,14,13,47,13,19,64,18,97,46,29,88,79,52,69,77,40,26,27,41,98,67,37,45,87,13,87,99,53,81,81,16,85,72,67,70,66,50,72,18,66,43,50,13,63,84,10,47,26,62,54,73,90,10
50,84,100,75,22,0,68,87,12,57,99,71,70,37,73,57,65,73,71,66,96,21,96,21,75,40,99,100,27,58,99,98,15,31,85,83,97,83,66,75,21,13,57,38,24,37,83,37,19,36,66,43,28,63,33,18,66,98,61,73,65,89,46,100,30,98,12,33,80,11,59,86,92,96,95,19,13,30,13,45,30,52,69,86,72,60,66,91,79,34,33,79,97,95,82,92,76,67,65,66,80,53,24,53,41,80,21,59,26,22,91,49,20,27,63,54,50
52,17,99,32,51,68,0,61,69,20,75,47,50,57,39,78,80,19,100,15,98,89,37,19,86,99,63,100,32,26,43,12,24,42,84,93,90,57,58,48,90,75,87,27,45,71,54,36,49,18,86,50,91,74,85,67,72,44,58,80,44,14,14,21,87,98,53,78,93,81,10,21,14,48,86,72,91,10,29,76,44,47,80,19,22,49,67,18,97,73,10,40,11,17,25,41,61,71,47,41,33,49,60,18,71,78,20,12,41,26,98,52,60,89,18,14,52
57,62,33,63,61,87,61,0,41,70,44,69,83,24,56,87,41,96,47,38,72,76,13,13,24,41,75,39,79,55,31,11,34,65,38,52,90,93,74,88,93,91,12,92,44,40,19,81,70,15,43,63,74,57,21,84,41,82,52,27,55,94,82,88,13,41,50,60,71,11,95,99,46,19,88,40,98,89,21,30,62,98,34,79,59,17,90,70,32,74,80,13,91,78,10,56,69,53,69,53,22,86,38,100,11,58,50,37,30,51,65,41,50,19,63,29,57
12,25,38,19,63,12,69,41,0,95,56,24,58,16,76,30,66,45,37,44,14,22,99,66,23,53,49,23,84,37,88,88,95,96,88,34,21,55,45,83,61,45,78,80,79,43,71,41,20,25,42,56,71,52,21,17,67,64,78,60,22,22,62,23,91,63,88,64,24,34,52,98,16,88,95,98,35,88,22,42,29,63,89,96,41,31,75,91,27,10,14,52,73,41,16,89,17,93,81,47,72,53,20,31,92,47,60,31,89,40,21,72,59,44,63,19,12
