16
0,2,3,4,1,2,3,3,3,1,4,4,2,1,2,1,4,0
0,24,44,96,85,58,67,83,10,73,86,43,62,73,97,46,79,0
24,0,47,100,14,75,48,28,37,99,85,22,97,40,67,57,27,24
44,47,0,62,81,97,51,45,11,66,35,30,40,97,34,21,32,44
96,100,62,0,91,61,23,66,91,34,63,42,22,45,65,14,46,96
85,14,81,91,0,92,70,31,88,94,80,73,19,53,98,85,83,85
58,75,97,61,92,0,98,58,78,74,19,88,29,43,37,17,25,58
67,48,51,23,70,98,0,51,21,66,38,62,90,52,23,23,39,67
83,28,45,66,31,58,51,0,58,40,94,49,21,65,29,84,82,83
10,37,11,91,88,78,21,58,0,43,66,55,91,41,47,13,44,10
73,99,66,34,94,74,66,40,43,0,75,22,81,17,65,80,85,73
86,85,35,63,80,19,38,94,66,75,0,66,57,74,68,91,16,86
43,22,30,42,73,88,62,49,55,22,66,0,72,37,34,71,34,43
62,97,40,22,19,29,90,21,91,81,57,72,0,35,14,23,56,62
73,40,97,45,53,43,52,65,41,17,74,37,35,0,42,75,70,73
97,67,34,65,98,37,23,29,47,65,68,34,14,42,0,97,32,97
46,57,21,14,85,17,23,84,13,80,91,71,23,75,97,0,70,46
79,27,32,46,83,25,39,82,44,85,16,34,56,70,32,70,0,79
0,24,44,96,85,58,67,83,10,73,86,43,62,73,97,46,79,0
