78
0,4,4,2,2,3,2,1,4,3,2,2,1,4,4,2,2,2,1,3,3,2,4,2,2,1,1,1,2,2,4,3,3,4,3,2,2,1,1,4,4,2,1,4,1,2,2,3,4,4,3,2,3,1,4,3,4,2,2,2,1,1,1,2,3,4,2,3,1,4,2,4,1,3,1,1,3,1,2,0
0,73,64,98,70,76,52,22,48,47,92,25,53,29,100,38,83,12,32,19,56,52,41,99,95,41,92,78,67,93,59,13,34,25,29,79,21,93,68,45,17,52,23,54,90,64,37,59,73,38,75,12,68,94,45,20,58,32,26,68,99,41,30,94,11,45,78,91,75,79,23,35,45,75,94,96,59,41,38,0
73,0,34,36,20,11,25,73,74,61,76,91,62,54,21,80,54,54,85,35,88,25,82,31,98,63,19,65,91,42,48,60,33,64,41,45,46,10,63,29,95,38,97,29,68,10,98,73,91,17,87,92,93,51,52,37,92,77,98,37,33,62,26,18,17,37,27,22,89,86,55,67,97,16,14,25,38,92,27,73
64,34,0,93,95,20,31,42,78,80,14,16,13,38,90,22,32,76,72,57,94,77,81,91,34,86,14,43,37,68,60,65,18,25,95,15,96,98,21,77,36,12,59,81,55,69,31,92,71,12,33,56,71,61,18,55,15,69,37,49,62,24,58,23,54,72,46,54,12,46,50,25,12,39,48,86,95,84,79,64
98,36,93,0,78,57,35,41,32,72,44,70,19,25,26,72,24,28,30,60,43,86,36,53,77,31,23,72,76,76,49,100,72,29,89,51,85,76,55,30,76,92,44,92,17,14,22,11,63,64,44,50,18,97,42,79,11,77,30,19,13,13,55,45,36,56,62,60,66,81,21,47,66,77,87,21,16,10,41,98
70,20,95,78,0,31,44,32,55,85,44,95,78,75,21,74,26,90,39,93,19,96,68,54,61,14,12,65,97,69,44,11,100,28,49,35,91,51,24,28,38,91,64,95,44,100,58,98,79,36,78,80,52,89,33,47,48,24,74,52,97,79,30,91,13,90,97,89,26,15,67,11,55,54,42,27,58,96,29,70
76,11,20,57,31,0,88,29,40,70,13,18,73,95,78,23,18,12,34,25,51,27,20,91,80,54,82,54,50,13,28,65,62,58,12,11,60,52,46,51,47,86,67,57,57,23,71,32,91,18,84,44,79,69,43,35,83,17,66,30,54,50,12,33,18,41,29,76,91,76,23,14,82,95,73,80,36,50,38,76
52,25,31,35,44,88,0,73,22,94,95,62,41,51,28,13,90,10,46,33,85,75,94,72,60,66,78,77,51,93,53,36,86,87,47,76,68,38,43,73,44,39,60,32,16,30,92,39,92,51,26,55,89,55,35,11,67,55,97,41,44,68,19,55,15,90,25,80,73,71,86,33,53,85,93,50,93,77,67,52
22,73,42,41,32,29,73,0,97,11,49,50,71,71,37,81,96,73,85,34,29,41,76,48,91,32,48,96,43,55,41,78,47,10,25,15,53,83,45,72,26,29,16,25,34,98,72,48,84,24,68,74,39,15,19,46,17,30,14,56,36,50,32,97,42,26,35,25,51,58,85,18,61,16,86,41,84,65,48,22
48,74,78,32,55,40,22,97,0,32,49,38,78,41,68,88,80,22,81,34,81,38,90,57,51,28,56,88,61,72,37,55,34,12,39,96,12,13,91,52,53,85,43,58,49,42,88,58,69,71,46,76,37,16,19,75,28,25,17,13,76,59,83,72,40,52,55,85,38,32,38,70,46,74,18,85,39,69,79,48
