13
0,4,1,4,4,2,2,2,4,4,1,2,2,1,0
0,61,43,72,43,98,98,66,80,75,45,23,95,79,0
61,0,67,13,56,84,30,77,99,17,28,42,60,15,61
43,67,0,20,58,53,68,60,33,81,37,94,30,94,43
72,13,20,0,53,51,70,48,41,44,13,100,37,95,72
43,56,58,53,0,70,53,26,94,84,60,28,48,60,43
98,84,53,51,70,0,95,94,83,59,73,58,80,71,98
98,30,68,70,53,95,0,82,63,70,29,35,94,26,98
66,77,60,48,26,94,82,0,99,69,29,74,15,24,66
80,99,33,41,94,83,63,99,0,64,69,30,31,46,80
75,17,81,44,84,59,70,69,64,0,10,25,35,48,75
45,28,37,13,60,73,29,29,69,10,0,61,30,69,45
23,42,94,100,28,58,35,74,30,25,61,0,52,70,23
95,60,30,37,48,80,94,15,31,35,30,52,0,89,95
79,15,94,95,60,71,26,24,46,48,69,70,89,0,79
0,61,43,72,43,98,98,66,80,75,45,23,95,79,0
