92
0,1,2,3,4,2,3,1,3,3,1,3,3,1,1,3,4,2,4,3,4,2,4,1,3,3,3,4,1,4,1,4,4,1,4,1,3,4,4,1,2,4,4,4,4,3,3,2,4,4,2,1,4,2,4,2,1,3,4,2,2,3,1,2,2,2,1,4,3,3,1,2,2,3,2,4,2,4,1,4,2,1,4,4,1,3,1,1,4,3,3,3,2,0
0,81,35,37,48,45,10,43,21,92,66,37,98,12,89,81,16,26,70,42,41,79,44,30,43,40,36,59,61,84,98,16,11,24,18,98,84,93,18,87,19,37,15,75,84,85,44,25,22,19,52,12,74,10,96,68,68,47,68,79,36,72,92,33,43,59,51,13,66,17,40,96,58,27,39,98,67,16,46,75,52,35,89,65,37,28,71,70,17,55,96,91,31,0
81,0,14,20,87,60,62,11,68,11,11,63,47,80,69,83,11,42,20,71,17,51,86,22,65,23,10,74,76,22,70,13,35,47,75,98,93,94,46,52,61,19,44,40,76,67,84,82,100,57,20,91,75,10,47,12,46,71,11,54,83,88,59,75,100,60,27,76,19,68,64,71,36,96,94,60,78,54,54,54,41,85,45,89,50,63,65,41,61,15,73,31,27,81
35,14,0,27,70,78,28,57,76,40,18,29,41,38,27,57,67,29,72,36,48,63,58,56,81,79,27,81,72,68,55,45,54,95,48,22,69,63,48,43,84,53,55,94,15,14,94,26,40,73,84,60,85,51,60,62,75,43,12,60,94,16,94,51,65,71,94,30,15,29,64,39,14,66,61,74,72,84,23,97,34,56,51,37,92,24,36,53,88,90,56,12,63,35
37,20,27,0,42,67,89,78,37,35,69,13,67,67,71,78,58,36,34,14,24,35,31,39,74,87,28,80,34,72,17,59,23,10,93,91,82,12,60,69,17,72,47,51,52,83,11,71,34,79,82,46,86,19,73,91,77,62,60,39,22,36,55,49,52,90,14,35,87,51,99,21,54,56,45,37,20,36,13,82,19,55,35,45,18,11,69,87,52,80,11,51,37,37
48,87,70,42,0,42,41,93,13,15,31,11,25,30,66,61,14,85,34,29,89,74,37,19,30,45,36,38,54,89,81,57,79,52,69,11,89,13,50,41,30,47,92,87,24,59,70,25,95,36,69,99,31,38,33,72,70,89,56,20,69,11,23,18,14,82,37,11,22,80,44,30,75,20,15,81,67,17,100,31,18,56,96,11,40,74,88,75,50,61,67,54,58,48
45,60,78,67,42,0,98,16,11,28,19,28,51,15,99,94,65,96,46,72,85,22,19,25,68,71,45,49,39,66,34,19,44,59,12,70,30,32,23,14,26,73,61,71,80,47,12,39,15,78,16,49,54,45,70,86,55,73,75,88,34,47,86,11,35,71,14,25,56,54,47,29,71,91,54,41,52,34,40,21,37,12,27,22,29,70,62,80,17,13,88,97,58,45
10,62,28,89,41,98,0,45,69,65,91,13,24,37,79,12,99,96,26,73,11,68,41,21,91,70,75,70,23,100,10,38,69,79,17,92,17,79,18,17,93,26,75,100,15,31,13,14,62,24,25,96,97,75,41,73,57,22,65,69,12,33,50,25,91,19,84,20,57,32,18,74,13,95,97,10,95,25,84,54,50,83,99,70,19,52,81,34,31,54,26,57,55,10
43,11,57,78,93,16,45,0,54,33,75,46,39,86,20,91,26,70,12,18,99,28,74,66,21,65,46,12,68,16,98,24,45,23,95,90,22,10,58,13,22,31,70,77,72,59,49,32,26,93,63,18,65,75,40,78,15,68,72,96,68,11,69,35,78,33,40,88,53,91,99,23,36,23,65,34,73,51,38,25,23,90,75,68,92,11,14,100,82,25,36,24,61,43
21,68,76,37,13,11,69,54,0,54,13,25,47,33,94,51,36,78,62,83,86,36,62,13,57,16,59,60,47,65,26,15,66,54,47,10,83,82,19,35,18,100,32,19,71,62,50,56,10,47,26,68,52,100,33,75,14,34,33,56,60,74,87,94,59,28,99,42,53,82,23,35,82,23,44,94,69,57,17,57,26,27,71,31,45,22,10,11,83,27,64,32,83,21
92,11,40,35,15,28,65,33,54,0,78,18,54,98,83,92,97,47,39,26,27,27,75,63,15,77,42,26,10,28,58,84,12,75,38,77,45,66,71,63,14,25,99,10,11,42,89,11,49,49,33,67,55,14,90,53,87,88,64,35,22,99,11,71,58,89,93,79,61,23,20,98,61,72,37,91,60,91,93,99,80,70,20,30,36,15,51,22,84,32,42,63,96,92
66,11,18,69,31,19,91,75,13,78,0,61,74,12,63,78,77,14,19,62,51,27,80,12,32,44,100,97,32,96,79,67,15,15,22,81,64,97,13,100,69,95,29,46,77,32,38,12,10,52,87,53,56,28,97,44,79,33,37,24,62,75,36,57,99,54,62,84,16,39,81,52,29,55,81,90,94,100,100,51,87,74,69,52,93,49,21,45,54,76,49,70,18,66
37,63,29,13,11,28,13,46,25,18,61,0,30,86,60,15,32,13,53,97,68,17,41,51,95,22,10,33,68,16,85,60,89,64,34,67,90,15,89,27,93,18,26,64,33,49,48,68,78,88,76,68,61,87,47,73,50,37,56,69,70,29,46,45,37,60,65,16,41,92,15,64,44,72,50,42,67,71,17,25,16,18,68,22,31,22,95,40,33,79,91,71,28,37
98,47,41,67,25,51,24,39,47,54,74,30,0,34,95,32,93,83,35,61,48,57,80,61,52,41,85,97,44,23,73,35,91,44,34,75,17,61,36,16,37,88,71,17,24,73,69,78,41,63,59,34,89,72,74,55,83,53,44,58,53,22,12,86,20,87,24,63,28,90,73,86,41,76,31,38,99,99,16,86,22,45,11,45,21,32,75,44,50,50,92,94,15,98
12,80,38,67,30,15,37,86,33,98,12,86,34,0,70,15,29,23,66,97,100,59,50,92,41,85,94,45,53,82,97,98,91,63,87,87,34,29,76,46,29,15,56,61,65,14,42,71,14,37,69,77,30,23,85,84,23,63,39,90,100,83,12,45,20,63,84,33,77,82,46,23,27,95,55,20,26,31,71,65,28,27,79,63,13,11,40,58,44,68,19,82,45,12
89,69,27,71,66,99,79,20,94,83,63,60,95,70,0,40,76,54,66,57,99,26,78,51,100,57,95,100,64,96,44,51,27,62,48,95,26,66,51,18,53,45,51,24,37,84,14,76,78,66,54,16,11,64,88,79,32,43,23,31,64,43,98,98,38,96,59,79,67,66,87,29,12,81,74,32,72,50,92,72,12,57,25,93,54,19,12,70,76,96,19,74,16,89
81,83,57,78,61,94,12,91,51,92,78,15,32,15,40,0,16,12,23,50,45,96,23,90,88,68,77,96,53,98,42,71,66,33,49,54,14,38,97,67,81,82,79,28,22,92,49,48,88,91,27,62,67,66,63,77,33,23,47,53,87,21,62,89,81,51,92,12,27,46,73,24,47,35,99,52,76,70,54,89,82,99,72,46,89,84,79,50,40,94,42,64,13,81
16,11,67,58,14,65,99,26,36,97,77,32,93,29,76,16,0,68,67,28,54,26,69,97,68,25,24,55,93,49,20,61,29,65,16,69,25,51,16,36,54,90,20,54,79,84,48,87,43,82,24,98,82,95,86,38,58,100,50,32,49,42,24,96,51,32,92,57,22,36,90,50,53,93,47,42,12,66,51,60,35,78,24,53,84,33,32,86,49,60,79,74,81,16
26,42,29,36,85,96,96,70,78,47,14,13,83,23,54,12,68,0,38,86,99,13,19,91,13,95,89,100,45,72,92,98,30,15,99,20,97,100,43,36,71,58,95,37,80,47,65,28,98,67,16,30,85,40,14,40,16,42,48,98,16,52,90,24,87,47,65,77,88,15,84,49,74,68,64,40,52,18,30,58,25,18,27,73,89,13,38,72,62,40,42,21,54,26
70,20,72,34,34,46,26,12,62,39,19,53,35,66,66,23,67,38,0,29,30,68,68,85,100,100,37,71,40,52,86,61,54,48,46,62,27,41,97,15,69,41,83,10,59,54,76,32,58,38,75,12,29,76,65,78,96,44,25,98,93,40,73,37,53,10,22,75,59,64,44,49,63,100,20,66,20,72,96,40,52,42,91,57,58,21,82,19,61,30,74,65,100,70
