11
0,2,3,3,2,1,2,4,1,4,2,1,0
0,85,69,81,27,31,97,90,65,65,60,46,0
85,0,72,28,83,14,100,66,80,20,11,44,85
69,72,0,63,36,95,46,51,39,72,90,55,69
81,28,63,0,10,45,72,11,70,81,24,31,81
27,83,36,10,0,87,89,55,34,53,67,10,27
31,14,95,45,87,0,47,31,89,87,90,68,31
97,100,46,72,89,47,0,46,79,95,26,67,97
90,66,51,11,55,31,46,0,94,78,48,92,90
65,80,39,70,34,89,79,94,0,53,12,10,65
65,20,72,81,53,87,95,78,53,0,87,67,65
60,11,90,24,67,90,26,48,12,87,0,76,60
46,44,55,31,10,68,67,92,10,67,76,0,46
0,85,69,81,27,31,97,90,65,65,60,46,0
