21
0,4,4,2,2,3,1,1,4,4,4,1,4,3,4,4,4,3,4,3,1,3,0
0,44,49,97,60,84,52,10,100,38,32,92,82,81,19,50,32,87,67,40,65,55,0
44,0,13,27,89,91,21,36,19,19,46,33,21,62,49,46,61,97,66,26,74,22,44
49,13,0,80,59,45,90,78,81,95,97,35,46,95,39,82,92,28,63,84,15,17,49
97,27,80,0,82,77,80,69,11,35,76,96,89,98,85,71,60,45,24,69,20,41,97
60,89,59,82,0,55,14,28,93,37,52,74,88,62,75,51,14,62,20,70,16,37,60
84,91,45,77,55,0,33,32,23,57,59,59,22,99,59,100,74,66,81,68,56,93,84
52,21,90,80,14,33,0,35,41,31,38,82,45,91,77,100,85,77,32,60,46,42,52
10,36,78,69,28,32,35,0,60,83,60,84,86,27,39,100,97,77,75,49,22,16,10
100,19,81,11,93,23,41,60,0,23,54,33,42,37,77,93,97,82,16,80,29,92,100
38,19,95,35,37,57,31,83,23,0,90,56,80,35,15,68,49,43,22,87,24,71,38
32,46,97,76,52,59,38,60,54,90,0,12,95,45,82,36,69,10,62,59,35,91,32
92,33,35,96,74,59,82,84,33,56,12,0,98,24,77,26,21,64,55,53,51,85,92
82,21,46,89,88,22,45,86,42,80,95,98,0,42,56,35,65,64,15,70,55,15,82
81,62,95,98,62,99,91,27,37,35,45,24,42,0,30,54,63,62,60,96,24,61,81
19,49,39,85,75,59,77,39,77,15,82,77,56,30,0,96,82,41,16,90,92,99,19
50,46,82,71,51,100,100,100,93,68,36,26,35,54,96,0,60,66,85,67,98,43,50
32,61,92,60,14,74,85,97,97,49,69,21,65,63,82,60,0,77,95,62,61,58,32
87,97,28,45,62,66,77,77,82,43,10,64,64,62,41,66,77,0,54,52,20,55,87
67,66,63,24,20,81,32,75,16,22,62,55,15,60,16,85,95,54,0,67,28,28,67
40,26,84,69,70,68,60,49,80,87,59,53,70,96,90,67,62,52,67,0,38,96,40
65,74,15,20,16,56,46,22,29,24,35,51,55,24,92,98,61,20,28,38,0,97,65
55,22,17,41,37,93,42,16,92,71,91,85,15,61,99,43,58,55,28,96,97,0,55
0,44,49,97,60,84,52,10,100,38,32,92,82,81,19,50,32,87,67,40,65,55,0
