46
0,3,3,3,4,2,2,3,4,2,3,3,1,1,1,2,4,2,3,4,4,2,1,2,4,2,3,3,2,4,3,3,4,4,3,4,3,1,3,1,1,1,2,1,3,1,2,0
0,14,71,90,44,76,84,61,54,17,10,70,81,84,73,98,53,62,25,40,27,20,64,33,70,26,60,63,15,24,92,40,33,13,19,90,51,94,31,94,80,77,49,35,65,82,53,0
14,0,52,88,80,62,82,77,93,82,80,14,77,17,19,88,12,26,13,76,30,42,77,62,98,32,81,30,28,37,39,26,77,54,24,28,36,70,90,16,51,65,28,85,62,35,21,14
71,52,0,43,47,23,71,99,26,43,24,34,50,45,83,16,66,70,52,97,26,37,41,65,83,78,72,90,58,10,85,48,66,48,54,13,90,57,84,56,84,67,49,71,97,72,68,71
90,88,43,0,89,60,99,40,82,50,83,30,51,76,90,67,44,24,60,93,42,64,69,59,78,82,76,32,22,77,70,70,65,81,93,87,100,45,84,33,65,44,55,48,57,99,27,90
44,80,47,89,0,96,66,86,75,55,51,16,64,40,44,58,69,92,23,91,56,12,21,59,10,42,98,83,26,87,43,15,58,60,12,13,54,36,48,47,69,72,73,99,15,33,60,44
76,62,23,60,96,0,40,56,47,96,80,72,49,51,45,12,34,13,45,70,51,86,16,25,39,23,47,70,70,74,43,64,17,60,74,21,23,73,56,62,28,10,56,37,78,10,33,76
84,82,71,99,66,40,0,17,48,23,19,63,12,22,97,65,72,24,36,63,56,42,25,60,90,92,41,66,23,30,60,20,21,42,24,57,39,31,25,55,40,95,70,65,83,95,83,84
61,77,99,40,86,56,17,0,33,71,38,100,92,80,52,87,13,42,98,84,67,19,34,17,13,59,39,61,36,33,30,90,90,28,96,31,84,96,55,28,53,38,71,37,38,96,51,61
54,93,26,82,75,47,48,33,0,23,17,65,12,91,72,42,50,17,20,92,69,23,11,20,19,57,89,84,43,55,52,35,22,33,79,76,23,74,86,37,79,70,55,51,27,19,62,54
17,82,43,50,55,96,23,71,23,0,47,18,99,73,66,21,40,31,51,60,72,72,61,92,19,41,92,21,32,37,85,25,67,48,68,23,47,58,11,56,57,35,31,14,42,70,44,17
10,80,24,83,51,80,19,38,17,47,0,88,92,34,12,42,76,59,63,13,76,79,13,65,99,44,58,15,39,47,77,79,41,71,92,89,64,84,55,83,16,57,30,24,48,16,62,10
70,14,34,30,16,72,63,100,65,18,88,0,45,88,21,58,49,39,81,98,29,97,38,57,84,95,100,65,54,63,68,75,85,13,72,82,89,46,87,56,91,62,36,99,76,54,20,70
81,77,50,51,64,49,12,92,12,99,92,45,0,27,20,59,50,60,93,73,70,50,17,73,55,29,15,58,65,28,48,53,29,13,34,83,36,91,36,91,86,46,47,36,58,51,77,81
84,17,45,76,40,51,22,80,91,73,34,88,27,0,58,71,17,92,10,68,35,83,93,79,75,90,89,16,57,26,80,46,40,86,49,68,42,66,54,59,79,52,73,40,52,64,26,84
73,19,83,90,44,45,97,52,72,66,12,21,20,58,0,71,34,45,61,16,15,12,24,86,73,25,26,64,50,13,33,44,42,76,21,24,27,12,53,32,43,44,68,94,22,32,39,73
98,88,16,67,58,12,65,87,42,21,42,58,59,71,71,0,64,33,98,81,62,71,99,85,80,31,64,28,88,62,50,58,89,75,13,53,88,64,14,93,72,59,58,42,30,89,89,98
53,12,66,44,69,34,72,13,50,40,76,49,50,17,34,64,0,93,76,18,54,94,83,64,50,14,47,11,47,34,76,83,93,76,48,58,35,13,14,28,53,23,20,31,15,55,29,53
62,26,70,24,92,13,24,42,17,31,59,39,60,92,45,33,93,0,85,39,56,79,49,13,99,11,84,15,85,29,27,70,80,67,15,35,81,74,56,80,43,33,65,18,85,59,30,62
