17
0,1,2,1,4,1,1,1,3,4,4,2,3,4,2,3,1,3,0
0,77,64,16,100,72,53,10,32,17,95,62,53,27,49,74,37,52,0
77,0,16,13,94,48,96,46,57,64,43,28,89,21,69,26,51,39,77
64,16,0,76,96,49,44,72,15,93,20,92,41,89,15,77,91,88,64
16,13,76,0,68,57,33,24,16,21,50,64,65,32,34,63,11,39,16
100,94,96,68,0,54,17,63,51,88,36,82,29,95,81,12,98,36,100
72,48,49,57,54,0,48,67,39,12,83,96,15,61,82,37,14,45,72
53,96,44,33,17,48,0,98,38,53,77,93,55,81,69,84,60,34,53
10,46,72,24,63,67,98,0,94,14,28,63,79,77,77,64,64,48,10
32,57,15,16,51,39,38,94,0,70,44,74,63,33,34,45,53,33,32
17,64,93,21,88,12,53,14,70,0,98,36,48,90,100,29,27,28,17
95,43,20,50,36,83,77,28,44,98,0,13,18,65,45,45,87,52,95
62,28,92,64,82,96,93,63,74,36,13,0,24,73,24,15,87,50,62
53,89,41,65,29,15,55,79,63,48,18,24,0,94,75,40,66,98,53
27,21,89,32,95,61,81,77,33,90,65,73,94,0,40,60,74,82,27
49,69,15,34,81,82,69,77,34,100,45,24,75,40,0,38,40,86,49
74,26,77,63,12,37,84,64,45,29,45,15,40,60,38,0,88,25,74
37,51,91,11,98,14,60,64,53,27,87,87,66,74,40,88,0,98,37
52,39,88,39,36,45,34,48,33,28,52,50,98,82,86,25,98,0,52
0,77,64,16,100,72,53,10,32,17,95,62,53,27,49,74,37,52,0
