80
0,3,3,1,3,4,1,3,1,1,2,2,3,4,4,1,1,3,1,3,4,2,3,4,4,4,3,3,2,4,3,3,2,3,4,1,2,2,3,4,2,4,3,1,1,3,3,2,3,3,2,4,3,2,2,1,1,1,3,3,4,1,2,4,4,4,2,1,2,4,1,4,1,2,4,2,4,1,4,3,4,0
0,95,10,67,22,86,100,24,86,88,47,55,92,50,81,56,68,86,36,49,76,71,97,33,17,67,93,94,15,35,22,36,23,10,91,28,88,97,32,71,52,12,42,13,91,71,12,23,53,58,86,91,23,13,56,92,66,20,45,77,66,70,35,81,77,31,56,42,28,36,35,38,36,58,74,48,95,88,49,66,33,0
95,0,77,50,23,76,82,51,38,17,68,93,56,35,50,85,82,21,19,25,41,26,24,36,16,95,41,85,82,31,18,48,37,47,15,96,97,78,22,93,39,70,71,22,65,77,45,34,65,21,74,94,20,63,32,81,48,19,85,35,79,12,71,64,74,11,97,23,29,68,98,26,27,46,94,95,87,78,74,63,44,95
10,77,0,96,22,20,78,36,21,27,87,41,90,39,25,94,42,80,17,26,98,84,94,55,63,65,95,44,83,29,68,80,82,66,81,70,81,46,95,82,28,60,23,33,86,66,33,28,69,32,64,96,48,69,80,90,30,93,56,40,100,36,64,100,89,72,15,90,16,65,15,53,48,49,88,17,79,24,44,51,44,10
67,50,96,0,28,67,60,64,70,99,78,25,89,62,20,96,85,26,99,12,67,15,33,87,64,88,73,61,76,63,27,19,83,15,30,93,59,94,40,26,69,55,53,89,37,36,86,62,21,79,78,55,53,77,63,93,64,76,55,30,90,95,20,14,35,87,76,49,53,14,17,13,97,98,16,74,77,28,92,85,27,67
22,23,22,28,0,24,61,37,67,49,59,60,39,69,32,48,57,99,77,55,92,77,82,96,56,23,99,41,84,63,25,59,51,66,96,27,50,36,76,38,73,66,79,94,60,94,95,55,100,56,97,96,54,74,16,47,78,51,15,79,53,68,59,53,74,79,29,72,54,56,95,37,100,45,79,54,75,68,27,36,48,22
86,76,20,67,24,0,79,44,25,22,51,26,78,80,33,42,91,34,67,39,26,44,68,20,80,40,99,69,54,58,35,84,25,70,64,89,62,48,31,89,74,78,27,47,33,12,89,53,20,27,70,46,79,53,39,49,93,18,53,80,97,75,31,24,54,65,82,23,98,100,24,47,38,66,55,66,58,94,85,97,31,86
100,82,78,60,61,79,0,98,70,58,85,96,52,71,62,20,51,98,96,76,81,77,73,67,12,83,39,79,90,49,82,12,38,76,14,44,78,34,82,80,27,61,72,39,84,81,79,49,65,30,89,16,13,43,91,73,33,47,12,36,92,40,79,11,18,14,87,16,89,72,87,29,14,76,35,100,76,64,44,41,16,100
24,51,36,64,37,44,98,0,44,16,25,90,18,34,96,24,11,40,42,94,98,82,25,42,44,31,14,53,88,63,46,17,98,43,74,84,99,52,80,100,43,25,45,61,21,100,60,71,39,76,43,58,35,79,77,28,71,74,56,91,37,78,65,79,92,41,23,43,32,99,92,59,94,63,90,60,15,92,78,56,49,24
86,38,21,70,67,25,70,44,0,32,23,75,69,73,57,34,87,58,99,80,92,10,55,99,60,63,58,58,52,95,94,86,75,81,21,53,68,22,48,56,17,73,93,44,68,50,29,39,35,46,24,20,77,20,75,45,23,37,35,65,16,24,73,35,38,35,71,46,35,82,70,86,63,19,78,55,16,95,62,79,64,86
