39
0,3,4,2,1,4,4,3,3,2,3,3,4,3,3,4,3,2,4,3,1,1,3,2,2,3,4,3,4,4,1,3,1,2,2,3,3,2,3,3,0
0,10,56,12,65,30,27,69,79,99,35,73,32,69,74,73,40,67,96,77,72,75,61,93,11,85,64,19,52,67,95,78,38,20,96,86,15,92,65,85,0
10,0,69,43,46,11,100,96,94,98,37,57,29,100,72,97,83,23,88,57,33,32,100,47,80,16,43,14,65,29,81,89,15,48,88,17,35,66,26,20,10
56,69,0,89,56,79,11,70,54,74,40,46,84,35,88,13,11,86,59,96,32,88,77,94,51,97,44,77,29,83,37,62,62,78,88,94,23,10,23,57,56
12,43,89,0,86,60,67,50,20,56,87,32,22,64,66,57,85,60,46,56,100,68,81,63,14,68,54,77,22,44,17,72,93,43,80,39,61,46,13,50,12
65,46,56,86,0,51,97,40,70,31,23,68,76,45,47,22,78,99,83,74,53,75,62,24,11,15,54,61,71,76,99,69,66,60,99,36,18,95,48,77,65
30,11,79,60,51,0,80,77,57,94,95,18,42,94,31,49,11,36,32,61,68,25,81,71,45,64,54,61,43,72,86,11,90,51,62,70,66,74,58,92,30
27,100,11,67,97,80,0,70,84,69,39,28,57,73,57,70,76,85,93,74,15,60,12,69,35,70,80,55,75,17,34,26,16,90,65,20,10,96,14,14,27
69,96,70,50,40,77,70,0,10,81,40,67,94,36,15,71,68,12,53,30,86,80,70,47,14,69,31,37,91,19,12,29,100,88,57,81,91,12,26,100,69
79,94,54,20,70,57,84,10,0,61,47,53,36,93,14,38,15,70,86,32,32,85,31,12,14,19,16,78,61,39,63,72,62,68,26,63,73,22,71,51,79
99,98,74,56,31,94,69,81,61,0,50,90,99,33,12,66,36,28,42,50,66,24,93,97,52,13,40,81,95,42,71,71,51,47,100,85,38,34,58,99,99
35,37,40,87,23,95,39,40,47,50,0,24,16,92,15,100,27,85,98,28,32,53,89,95,85,41,39,81,58,26,62,34,64,58,33,98,86,35,92,68,35
73,57,46,32,68,18,28,67,53,90,24,0,78,31,31,95,69,56,46,29,71,63,15,24,78,19,77,43,78,73,69,53,34,100,56,54,72,48,33,28,73
32,29,84,22,76,42,57,94,36,99,16,78,0,12,14,73,37,34,82,50,91,78,75,25,93,34,74,51,37,53,96,68,56,24,57,43,57,97,52,84,32
69,100,35,64,45,94,73,36,93,33,92,31,12,0,45,85,59,77,97,77,85,18,11,46,11,48,25,93,12,84,57,73,22,32,51,64,80,96,86,88,69
74,72,88,66,47,31,57,15,14,12,15,31,14,45,0,45,92,64,14,52,69,10,59,59,17,40,80,40,11,12,95,43,39,86,13,74,47,87,76,48,74
73,97,13,57,22,49,70,71,38,66,100,95,73,85,45,0,22,69,87,13,13,29,80,86,83,65,75,73,81,87,88,46,30,30,84,55,80,86,55,34,73
40,83,11,85,78,11,76,68,15,36,27,69,37,59,92,22,0,100,18,19,18,79,29,15,81,37,75,49,22,82,86,68,90,59,84,75,43,35,77,53,40
67,23,86,60,99,36,85,12,70,28,85,56,34,77,64,69,100,0,34,97,46,12,66,53,82,99,70,54,77,64,31,72,37,27,40,86,31,26,42,62,67
