60
0,1,3,1,4,4,1,4,4,2,1,4,1,1,1,4,3,2,1,2,1,3,2,3,4,4,3,3,3,3,3,4,4,1,3,2,1,3,3,1,3,1,2,1,4,4,4,1,4,4,3,3,2,2,2,4,4,4,4,4,2,0
0,57,47,91,43,89,78,17,85,59,100,58,67,32,15,30,40,11,99,43,66,54,84,25,31,78,67,64,14,75,84,21,20,13,96,16,37,91,67,89,88,67,42,100,15,52,44,92,53,93,95,84,51,56,94,58,96,55,79,30,92,0
57,0,59,60,86,32,89,96,26,38,72,55,41,23,49,93,72,89,48,23,60,98,92,30,46,41,15,39,44,25,65,62,40,54,27,90,31,29,12,47,76,62,37,50,80,29,80,17,50,64,19,53,99,97,76,97,18,36,74,47,44,57
47,59,0,94,22,60,38,13,62,89,46,59,27,93,41,42,70,38,52,88,80,24,16,48,84,71,41,10,29,28,93,71,44,71,41,17,70,56,80,24,95,56,67,15,13,12,38,36,75,46,100,67,81,82,13,82,22,16,66,53,34,47
91,60,94,0,34,37,10,90,48,27,94,75,100,31,48,69,98,85,77,68,85,58,58,61,95,56,82,18,27,66,16,93,64,86,60,73,78,95,29,97,62,23,19,84,74,75,57,40,66,23,92,79,13,36,28,85,91,28,17,73,51,91
43,86,22,34,0,25,100,58,32,13,23,52,97,72,36,43,49,32,73,61,23,81,46,43,12,84,87,90,85,71,98,86,55,29,33,24,53,47,33,43,78,12,12,81,25,32,81,66,72,88,66,84,33,96,27,13,26,63,44,51,42,43
89,32,60,37,25,0,67,61,49,81,52,43,37,17,50,24,51,87,64,93,37,57,50,97,55,53,40,47,76,64,70,35,26,86,39,13,88,52,85,84,14,51,93,38,59,36,54,81,85,41,21,27,87,90,25,56,19,95,38,11,44,89
78,89,38,10,100,67,0,33,48,21,89,36,37,64,99,65,82,72,17,91,91,86,27,80,47,13,94,65,46,60,85,44,89,97,86,67,12,90,58,55,84,26,68,39,69,38,70,40,90,11,20,88,20,46,82,49,66,46,17,47,100,78
17,96,13,90,58,61,33,0,76,29,88,26,17,65,48,75,54,47,53,61,29,69,52,35,45,68,34,29,19,26,87,26,55,43,14,58,23,99,59,74,70,95,71,69,64,35,25,19,89,25,70,98,30,46,16,28,96,94,64,14,30,17
85,26,62,48,32,49,48,76,0,42,79,59,87,69,94,77,27,11,39,98,95,31,82,76,12,93,32,57,74,45,80,61,23,95,32,85,77,32,99,53,77,36,73,100,94,96,54,87,90,64,13,56,48,70,69,59,22,73,33,22,67,85
59,38,89,27,13,81,21,29,42,0,43,97,73,85,88,19,66,91,49,92,75,18,81,26,46,73,75,96,31,64,31,57,22,63,41,41,44,92,19,68,40,83,61,57,37,81,27,10,34,30,67,19,75,47,44,26,12,54,82,74,33,59
100,72,46,94,23,52,89,88,79,43,0,54,94,14,42,97,18,75,17,47,66,97,77,10,85,90,32,96,64,53,70,26,13,51,80,91,58,94,10,71,21,56,33,53,48,42,91,79,42,78,44,51,80,27,46,95,89,27,92,81,64,100
58,55,59,75,52,43,36,26,59,97,54,0,35,75,59,62,88,76,43,13,29,46,21,20,81,12,39,93,82,38,12,46,45,26,57,97,95,45,80,78,18,29,19,35,12,52,44,64,57,92,85,94,10,20,100,62,25,72,28,42,13,58
67,41,27,100,97,37,37,17,87,73,94,35,0,98,81,49,62,77,77,90,73,31,36,93,27,22,29,17,82,59,48,54,57,59,50,86,72,50,47,16,83,77,96,18,59,53,41,55,94,26,40,49,33,10,16,22,19,83,42,40,37,67
32,23,93,31,72,17,64,65,69,85,14,75,98,0,60,16,77,52,74,44,23,74,30,43,37,65,59,33,87,26,14,75,67,33,10,50,35,54,47,43,17,83,63,44,63,98,95,91,66,37,85,10,39,42,98,51,85,10,13,31,63,32
15,49,41,48,36,50,99,48,94,88,42,59,81,60,0,45,36,87,54,93,43,98,37,43,31,96,59,89,35,48,79,47,70,73,32,45,42,44,49,37,98,74,55,15,52,53,70,59,71,86,84,32,63,17,15,32,45,61,83,89,80,15
30,93,42,69,43,24,65,75,77,19,97,62,49,16,45,0,84,11,81,21,65,17,94,92,80,98,75,68,44,33,11,47,20,23,51,79,19,15,21,29,88,70,48,66,79,34,59,39,83,81,41,30,68,45,76,64,86,38,31,17,12,30
40,72,70,98,49,51,82,54,27,66,18,88,62,77,36,84,0,73,59,98,52,65,40,28,97,26,34,73,70,28,13,23,87,98,20,97,14,94,27,81,10,76,15,95,72,22,61,50,73,77,78,84,90,96,13,17,62,37,92,81,41,40
11,89,38,85,32,87,72,47,11,91,75,76,77,52,87,11,73,0,42,100,39,32,71,10,84,48,53,11,94,46,65,43,29,88,99,81,89,68,51,66,22,81,35,40,92,39,88,89,36,19,38,79,60,25,92,59,15,99,57,28,50,11
99,48,52,77,73,64,17,53,39,49,17,43,77,74,54,81,59,42,0,64,64,27,24,47,60,34,42,26,37,34,60,46,71,100,14,63,88,93,75,34,62,48,43,64,63,54,70,60,46,79,63,16,82,21,93,20,53,28,32,55,24,99
43,23,88,68,61,93,91,61,98,92,47,13,90,44,93,21,98,100,64,0,11,62,89,35,16,16,81,67,73,76,98,24,54,53,91,96,28,76,82,13,33,93,17,29,59,61,32,53,96,100,65,99,34,62,99,22,72,79,67,59,69,43
66,60,80,85,23,37,91,29,95,75,66,29,73,23,43,65,52,39,64,11,0,94,61,17,57,76,73,58,17,29,64,10,81,34,22,77,43,53,62,71,87,57,27,37,10,52,37,38,38,10,58,69,68,15,82,60,25,41,20,29,57,66
54,98,24,58,81,57,86,69,31,18,97,46,31,74,98,17,65,32,27,62,94,0,85,43,14,69,80,55,83,18,24,31,30,38,37,31,83,94,49,84,82,89,65,19,41,71,86,27,70,10,62,71,65,54,82,26,54,60,93,86,48,54
84,92,16,58,46,50,27,52,82,81,77,21,36,30,37,94,40,71,24,89,61,85,0,98,72,13,24,10,49,14,38,77,73,40,97,52,32,71,27,50,23,24,24,81,60,19,94,42,47,90,40,14,18,31,77,50,50,71,27,72,34,84
25,30,48,61,43,97,80,35,76,26,10,20,93,43,43,92,28,10,47,35,17,43,98,0,72,33,39,21,48,55,20,65,57,33,23,89,44,43,73,99,16,16,39,79,68,12,37,48,64,29,26,53,38,39,83,53,68,27,58,79,69,25
