39
0,1,2,3,4,3,3,4,2,3,1,1,1,2,2,4,4,1,3,1,3,4,2,2,1,1,4,1,1,4,1,2,3,4,2,4,4,4,2,1,0
0,67,48,24,85,85,80,90,83,48,70,14,56,84,60,74,42,81,100,13,95,27,97,78,12,47,41,74,66,96,21,83,64,60,40,18,44,76,66,14,0
67,0,96,31,34,84,86,75,17,17,26,46,63,47,29,63,16,58,23,37,19,27,88,92,94,38,42,14,72,68,30,16,47,30,33,20,33,100,32,58,67
48,96,0,90,58,51,95,23,14,51,29,39,95,80,87,72,25,33,20,96,27,36,80,75,81,52,23,95,53,64,72,79,83,58,48,66,78,95,87,97,48
24,31,90,0,76,39,76,92,54,54,53,41,58,53,63,76,72,97,18,60,64,58,61,85,35,18,92,21,49,87,40,56,16,17,53,64,85,40,11,20,24
85,34,58,76,0,37,17,39,58,62,76,75,82,61,21,44,64,89,18,38,18,18,75,61,62,100,18,88,86,13,100,26,98,97,33,14,82,72,22,30,85
85,84,51,39,37,0,62,80,49,74,64,45,52,36,70,35,60,89,55,81,41,97,56,74,79,80,93,32,81,68,30,40,97,29,59,18,95,37,40,93,85
80,86,95,76,17,62,0,51,93,51,55,85,20,99,19,43,13,19,34,10,14,64,76,81,60,94,25,22,71,19,10,17,85,87,94,97,80,13,19,76,80
90,75,23,92,39,80,51,0,11,87,47,25,55,73,46,33,71,64,88,31,80,60,75,91,87,30,40,94,56,54,100,34,99,62,22,58,93,85,82,65,90
83,17,14,54,58,49,93,11,0,50,78,45,86,65,70,83,16,26,35,75,97,58,73,46,80,49,72,27,58,19,45,73,83,55,99,50,62,91,16,46,83
48,17,51,54,62,74,51,87,50,0,16,55,71,52,22,29,56,83,41,94,93,61,12,18,53,34,96,57,63,27,75,21,48,75,18,66,47,100,67,65,48
70,26,29,53,76,64,55,47,78,16,0,43,51,98,50,98,56,97,98,68,75,54,98,11,34,71,35,12,67,60,58,84,68,55,83,66,92,70,30,83,70
14,46,39,41,75,45,85,25,45,55,43,0,33,28,25,95,12,37,85,42,21,55,30,78,92,45,54,37,32,43,86,26,79,88,58,42,20,86,73,91,14
