15
0,2,1,1,3,2,1,3,3,1,1,1,1,3,3,3,0
0,86,70,59,67,67,61,15,72,16,22,14,12,43,73,31,0
86,0,51,19,49,94,20,46,26,93,38,24,84,58,99,82,86
70,51,0,30,73,11,81,66,93,42,19,83,84,21,43,64,70
59,19,30,0,69,45,54,83,65,27,34,18,20,39,61,28,59
67,49,73,69,0,75,41,100,59,35,25,56,62,12,94,18,67
67,94,11,45,75,0,58,31,28,11,54,11,18,94,62,62,67
61,20,81,54,41,58,0,72,22,30,49,20,49,67,18,24,61
15,46,66,83,100,31,72,0,44,72,55,44,99,15,74,38,15
72,26,93,65,59,28,22,44,0,100,51,31,55,91,87,14,72
16,93,42,27,35,11,30,72,100,0,55,69,67,51,51,26,16
22,38,19,34,25,54,49,55,51,55,0,46,39,85,91,100,22
14,24,83,18,56,11,20,44,31,69,46,0,42,79,30,52,14
12,84,84,20,62,18,49,99,55,67,39,42,0,17,90,49,12
43,58,21,39,12,94,67,15,91,51,85,79,17,0,44,100,43
73,99,43,61,94,62,18,74,87,51,91,30,90,44,0,90,73
31,82,64,28,18,62,24,38,14,26,100,52,49,100,90,0,31
0,86,70,59,67,67,61,15,72,16,22,14,12,43,73,31,0
