22
0,3,4,3,2,3,3,4,1,4,2,1,4,3,1,3,4,1,1,2,2,3,3,0
0,44,75,92,100,24,18,76,55,82,19,70,54,78,41,54,19,36,93,33,47,20,22,0
44,0,79,14,52,31,44,68,14,39,92,65,99,69,55,41,43,71,72,62,27,50,62,44
75,79,0,27,74,81,97,53,76,18,87,16,26,23,71,53,19,30,99,93,23,96,100,75
92,14,27,0,40,72,83,19,77,76,75,19,52,72,67,15,18,33,62,77,67,67,91,92
100,52,74,40,0,35,68,92,76,77,34,42,63,89,93,15,53,10,59,70,91,59,99,100
24,31,81,72,35,0,80,49,53,36,74,44,49,20,77,45,83,64,89,52,84,78,26,24
18,44,97,83,68,80,0,64,53,14,90,10,12,59,53,27,27,87,78,79,97,21,19,18
76,68,53,19,92,49,64,0,39,66,21,99,91,35,26,53,72,48,17,88,26,79,17,76
55,14,76,77,76,53,53,39,0,27,18,14,27,25,53,68,66,39,32,53,64,24,94,55
82,39,18,76,77,36,14,66,27,0,19,70,96,23,45,53,61,82,47,66,36,84,55,82
19,92,87,75,34,74,90,21,18,19,0,61,39,58,68,10,20,35,46,13,98,57,40,19
70,65,16,19,42,44,10,99,14,70,61,0,73,48,48,76,10,28,89,32,80,26,44,70
54,99,26,52,63,49,12,91,27,96,39,73,0,15,59,64,91,67,69,13,29,47,86,54
78,69,23,72,89,20,59,35,25,23,58,48,15,0,35,70,98,92,78,64,90,70,18,78
41,55,71,67,93,77,53,26,53,45,68,48,59,35,0,30,90,23,29,77,58,21,64,41
54,41,53,15,15,45,27,53,68,53,10,76,64,70,30,0,22,68,19,59,80,50,30,54
19,43,19,18,53,83,27,72,66,61,20,10,91,98,90,22,0,46,95,31,59,76,22,19
36,71,30,33,10,64,87,48,39,82,35,28,67,92,23,68,46,0,82,94,21,63,34,36
93,72,99,62,59,89,78,17,32,47,46,89,69,78,29,19,95,82,0,15,15,75,81,93
33,62,93,77,70,52,79,88,53,66,13,32,13,64,77,59,31,94,15,0,78,45,60,33
47,27,23,67,91,84,97,26,64,36,98,80,29,90,58,80,59,21,15,78,0,12,39,47
20,50,96,67,59,78,21,79,24,84,57,26,47,70,21,50,76,63,75,45,12,0,94,20
22,62,100,91,99,26,19,17,94,55,40,44,86,18,64,30,22,34,81,60,39,94,0,22
0,44,75,92,100,24,18,76,55,82,19,70,54,78,41,54,19,36,93,33,47,20,22,0
