12
0,4,4,4,4,4,3,1,2,1,1,3,3,0
0,98,58,21,62,12,34,71,48,61,46,78,58,0
98,0,17,87,79,34,68,34,70,75,94,89,93,98
58,17,0,73,83,75,92,18,63,84,29,35,67,58
21,87,73,0,89,67,45,35,65,68,63,93,62,21
62,79,83,89,0,29,43,18,41,31,68,70,56,62
12,34,75,67,29,0,63,64,58,13,18,25,52,12
34,68,92,45,43,63,0,67,78,31,73,98,85,34
71,34,18,35,18,64,67,0,74,59,69,23,97,71
48,70,63,65,41,58,78,74,0,19,23,29,52,48
61,75,84,68,31,13,31,59,19,0,45,100,15,61
46,94,29,63,68,18,73,69,23,45,0,50,76,46
78,89,35,93,70,25,98,23,29,100,50,0,50,78
58,93,67,62,56,52,85,97,52,15,76,50,0,58
0,98,58,21,62,12,34,71,48,61,46,78,58,0
