40
0,3,4,2,1,3,1,2,3,3,4,2,3,1,4,4,1,4,3,3,4,4,1,3,3,3,4,3,2,1,4,4,3,3,4,4,3,2,2,4,4,0
0,98,80,66,48,33,65,56,61,90,91,81,47,37,99,93,40,76,49,87,43,12,78,58,28,14,48,97,75,47,53,87,23,20,58,14,66,25,91,43,10,0
98,0,21,52,93,13,23,62,78,62,68,41,55,69,55,53,47,17,27,29,97,82,82,85,57,53,38,15,77,62,12,51,96,87,27,15,18,90,70,32,75,98
80,21,0,92,10,78,67,28,90,98,87,16,16,90,48,21,62,44,69,57,52,73,87,26,66,44,30,42,43,77,42,68,91,90,63,28,46,68,94,31,80,80
66,52,92,0,86,58,96,95,53,97,23,96,53,86,80,24,92,99,91,22,37,83,70,37,63,58,42,98,83,83,81,55,47,81,46,71,28,37,49,61,45,66
48,93,10,86,0,37,45,31,28,95,63,87,97,14,79,17,74,46,10,10,91,90,91,95,25,23,78,54,90,55,62,16,36,32,32,95,50,73,20,33,59,48
33,13,78,58,37,0,29,81,73,44,85,61,36,56,11,23,52,32,33,66,10,45,12,57,65,94,50,84,22,59,56,37,73,17,32,85,51,38,73,20,75,33
65,23,67,96,45,29,0,54,83,33,53,22,96,57,68,99,11,44,53,55,13,27,29,32,27,18,92,93,14,70,80,44,11,98,53,85,63,19,63,98,52,65
56,62,28,95,31,81,54,0,57,17,30,51,75,69,66,66,52,38,47,50,53,95,29,21,94,75,67,62,36,27,85,22,31,80,11,99,91,75,87,56,52,56
61,78,90,53,28,73,83,57,0,86,29,84,61,34,100,40,91,91,47,45,43,38,91,71,89,72,53,17,58,72,25,60,58,37,79,38,86,98,75,31,43,61
90,62,98,97,95,44,33,17,86,0,19,93,93,73,28,14,94,75,97,46,36,22,57,21,43,20,81,10,53,28,53,41,35,63,14,58,100,58,80,50,68,90
91,68,87,23,63,85,53,30,29,19,0,33,38,89,90,41,70,34,47,81,27,82,25,75,15,95,77,77,25,34,26,10,18,85,58,65,93,35,69,44,56,91
81,41,16,96,87,61,22,51,84,93,33,0,22,12,43,19,24,91,91,23,75,10,67,86,51,62,39,79,70,42,12,58,59,15,93,33,71,22,92,54,96,81
47,55,16,53,97,36,96,75,61,93,38,22,0,73,64,78,85,53,25,14,18,45,35,36,91,71,59,73,39,49,31,95,89,22,12,29,62,80,37,96,59,47
37,69,90,86,14,56,57,69,34,73,89,12,73,0,68,41,28,98,36,28,87,38,63,79,33,60,69,92,91,95,31,95,83,76,20,25,11,93,84,58,100,37
99,55,48,80,79,11,68,66,100,28,90,43,64,68,0,69,20,51,44,40,56,53,78,68,74,69,81,49,31,15,27,15,62,53,11,12,28,65,80,63,51,99
93,53,21,24,17,23,99,66,40,14,41,19,78,41,69,0,86,42,40,67,26,13,70,18,100,26,25,80,23,99,95,92,83,98,40,10,10,88,73,31,17,93
40,47,62,92,74,52,11,52,91,94,70,24,85,28,20,86,0,96,11,70,79,33,27,49,98,85,80,87,78,35,23,27,93,62,67,91,39,93,19,44,96,40
76,17,44,99,46,32,44,38,91,75,34,91,53,98,51,42,96,0,46,79,98,11,48,22,37,51,17,74,84,55,43,65,55,20,35,32,48,78,64,70,64,76
49,27,69,91,10,33,53,47,47,97,47,91,25,36,44,40,11,46,0,23,81,92,12,83,93,12,79,57,89,79,89,57,63,37,42,93,40,53,10,82,44,49
87,29,57,22,10,66,55,50,45,46,81,23,14,28,40,67,70,79,23,0,90,84,72,75,87,14,28,49,84,67,52,32,15,11,32,12,34,64,84,90,44,87
43,97,52,37,91,10,13,53,43,36,27,75,18,87,56,26,79,98,81,90,0,41,49,78,58,68,42,59,81,76,97,73,52,18,75,46,95,31,77,45,94,43
12,82,73,83,90,45,27,95,38,22,82,10,45,38,53,13,33,11,92,84,41,0,95,15,48,31,55,40,61,10,98,99,94,75,47,46,29,87,12,29,28,12
78,82,87,70,91,12,29,29,91,57,25,67,35,63,78,70,27,48,12,72,49,95,0,65,97,20,63,29,32,94,31,86,49,32,35,91,33,60,15,33,86,78
58,85,26,37,95,57,32,21,71,21,75,86,36,79,68,18,49,22,83,75,78,15,65,0,72,40,24,14,59,30,14,48,73,35,32,90,41,72,30,85,71,58
28,57,66,63,25,65,27,94,89,43,15,51,91,33,74,100,98,37,93,87,58,48,97,72,0,72,46,51,83,57,10,94,14,69,46,92,69,88,93,14,54,28
14,53,44,58,23,94,18,75,72,20,95,62,71,60,69,26,85,51,12,14,68,31,20,40,72,0,100,81,43,90,66,98,19,34,64,88,57,19,15,40,61,14
48,38,30,42,78,50,92,67,53,81,77,39,59,69,81,25,80,17,79,28,42,55,63,24,46,100,0,74,62,73,69,87,60,81,47,18,26,26,19,73,22,48
97,15,42,98,54,84,93,62,17,10,77,79,73,92,49,80,87,74,57,49,59,40,29,14,51,81,74,0,67,92,69,95,26,60,72,89,95,18,30,25,26,97
75,77,43,83,90,22,14,36,58,53,25,70,39,91,31,23,78,84,89,84,81,61,32,59,83,43,62,67,0,22,48,10,42,66,39,98,95,100,79,86,31,75
47,62,77,83,55,59,70,27,72,28,34,42,49,95,15,99,35,55,79,67,76,10,94,30,57,90,73,92,22,0,20,88,85,11,42,57,22,40,18,85,13,47
53,12,42,81,62,56,80,85,25,53,26,12,31,31,27,95,23,43,89,52,97,98,31,14,10,66,69,69,48,20,0,78,81,34,73,22,90,11,100,28,77,53
87,51,68,55,16,37,44,22,60,41,10,58,95,95,15,92,27,65,57,32,73,99,86,48,94,98,87,95,10,88,78,0,92,40,71,10,78,73,12,88,62,87
23,96,91,47,36,73,11,31,58,35,18,59,89,83,62,83,93,55,63,15,52,94,49,73,14,19,60,26,42,85,81,92,0,79,49,87,51,95,18,86,48,23
20,87,90,81,32,17,98,80,37,63,85,15,22,76,53,98,62,20,37,11,18,75,32,35,69,34,81,60,66,11,34,40,79,0,44,33,24,39,87,43,56,20
58,27,63,46,32,32,53,11,79,14,58,93,12,20,11,40,67,35,42,32,75,47,35,32,46,64,47,72,39,42,73,71,49,44,0,35,85,44,69,25,59,58
14,15,28,71,95,85,85,99,38,58,65,33,29,25,12,10,91,32,93,12,46,46,91,90,92,88,18,89,98,57,22,10,87,33,35,0,86,100,10,46,10,14
66,18,46,28,50,51,63,91,86,100,93,71,62,11,28,10,39,48,40,34,95,29,33,41,69,57,26,95,95,22,90,78,51,24,85,86,0,67,97,67,46,66
25,90,68,37,73,38,19,75,98,58,35,22,80,93,65,88,93,78,53,64,31,87,60,72,88,19,26,18,100,40,11,73,95,39,44,100,67,0,48,31,64,25
91,70,94,49,20,73,63,87,75,80,69,92,37,84,80,73,19,64,10,84,77,12,15,30,93,15,19,30,79,18,100,12,18,87,69,10,97,48,0,78,21,91
43,32,31,61,33,20,98,56,31,50,44,54,96,58,63,31,44,70,82,90,45,29,33,85,14,40,73,25,86,85,28,88,86,43,25,46,67,31,78,0,17,43
10,75,80,45,59,75,52,52,43,68,56,96,59,100,51,17,96,64,44,44,94,28,86,71,54,61,22,26,31,13,77,62,48,56,59,10,46,64,21,17,0,10
0,98,80,66,48,33,65,56,61,90,91,81,47,37,99,93,40,76,49,87,43,12,78,58,28,14,48,97,75,47,53,87,23,20,58,14,66,25,91,43,10,0
