24
0,4,1,3,3,4,4,1,3,4,2,2,2,1,1,3,3,1,1,1,4,1,1,4,3,0
0,30,57,87,45,24,98,22,62,44,73,77,81,67,42,38,90,46,96,79,34,12,30,57,72,0
30,0,26,90,40,36,43,16,98,99,60,12,84,93,57,16,60,24,29,50,35,61,28,15,68,30
57,26,0,89,76,31,47,60,27,47,100,79,26,76,93,92,22,56,70,30,91,58,62,13,29,57
87,90,89,0,37,76,54,94,47,88,12,59,16,27,96,75,43,36,94,20,40,76,86,31,48,87
45,40,76,37,0,28,54,11,23,62,43,76,26,71,22,92,89,78,81,45,68,82,51,81,51,45
24,36,31,76,28,0,74,76,94,59,93,72,49,54,95,35,15,80,81,73,87,80,25,54,79,24
98,43,47,54,54,74,0,83,36,12,62,42,51,38,29,37,31,99,52,26,67,85,62,78,85,98
22,16,60,94,11,76,83,0,32,60,90,23,18,25,88,46,30,42,90,70,70,49,69,79,31,22
62,98,27,47,23,94,36,32,0,41,74,58,50,21,76,54,32,67,64,98,83,72,89,85,81,62
44,99,47,88,62,59,12,60,41,0,86,56,26,55,50,19,50,69,55,66,76,21,67,21,14,44
73,60,100,12,43,93,62,90,74,86,0,66,97,85,74,12,75,30,85,65,67,12,76,36,43,73
77,12,79,59,76,72,42,23,58,56,66,0,93,62,86,33,100,47,83,46,47,34,61,47,76,77
81,84,26,16,26,49,51,18,50,26,97,93,0,48,76,48,32,30,95,49,81,28,32,35,13,81
67,93,76,27,71,54,38,25,21,55,85,62,48,0,72,46,31,27,96,37,24,19,35,43,43,67
42,57,93,96,22,95,29,88,76,50,74,86,76,72,0,80,16,78,17,64,62,82,55,46,47,42
38,16,92,75,92,35,37,46,54,19,12,33,48,46,80,0,92,67,91,71,98,25,80,37,79,38
90,60,22,43,89,15,31,30,32,50,75,100,32,31,16,92,0,51,39,15,21,96,12,34,25,90
46,24,56,36,78,80,99,42,67,69,30,47,30,27,78,67,51,0,95,44,14,84,28,100,83,46
96,29,70,94,81,81,52,90,64,55,85,83,95,96,17,91,39,95,0,94,18,33,62,56,16,96
79,50,30,20,45,73,26,70,98,66,65,46,49,37,64,71,15,44,94,0,95,21,79,31,38,79
34,35,91,40,68,87,67,70,83,76,67,47,81,24,62,98,21,14,18,95,0,27,36,92,53,34
12,61,58,76,82,80,85,49,72,21,12,34,28,19,82,25,96,84,33,21,27,0,99,66,81,12
30,28,62,86,51,25,62,69,89,67,76,61,32,35,55,80,12,28,62,79,36,99,0,13,14,30
57,15,13,31,81,54,78,79,85,21,36,47,35,43,46,37,34,100,56,31,92,66,13,0,96,57
72,68,29,48,51,79,85,31,81,14,43,76,13,43,47,79,25,83,16,38,53,81,14,96,0,72
0,30,57,87,45,24,98,22,62,44,73,77,81,67,42,38,90,46,96,79,34,12,30,57,72,0
