107
0,3,3,3,1,2,3,2,1,4,2,3,4,1,3,2,2,3,4,3,1,1,2,1,4,1,1,1,1,1,2,4,3,1,4,3,1,2,3,2,1,4,4,1,2,4,3,1,3,3,2,3,3,1,2,1,2,3,4,4,4,1,2,1,2,4,4,1,4,2,4,1,1,4,2,2,4,3,2,2,4,1,4,2,2,2,3,3,1,1,1,1,2,1,1,1,2,4,2,4,2,3,3,3,3,4,3,3,0
0,51,44,13,14,33,14,91,59,13,44,23,45,29,22,91,12,72,51,84,45,28,44,41,78,97,67,58,50,35,11,81,77,75,18,78,92,49,90,40,87,50,28,64,34,69,55,75,41,41,74,15,34,49,49,50,89,54,89,28,88,100,14,63,85,13,50,86,15,90,95,19,47,17,36,50,38,92,34,87,67,28,51,89,12,42,43,13,37,68,85,66,84,56,91,100,44,69,94,95,50,50,59,24,17,78,74,71,0
51,0,59,92,13,30,92,35,64,12,40,34,58,87,90,30,46,30,68,55,52,39,100,36,68,99,96,32,98,97,84,90,54,46,71,23,90,48,46,91,80,30,83,94,33,31,30,100,20,17,14,57,80,72,50,66,20,92,45,100,99,66,48,85,78,17,72,38,20,33,27,77,46,62,26,64,42,55,92,32,87,29,15,47,13,81,89,78,78,21,98,12,52,94,80,31,49,79,75,34,95,46,10,64,18,16,60,84,51
44,59,0,55,95,25,97,35,67,47,16,57,25,15,12,14,87,74,82,70,32,62,39,44,68,48,98,27,67,11,20,81,71,67,67,37,61,52,72,16,75,48,70,39,40,87,90,18,76,50,23,92,65,43,79,68,95,81,57,48,65,36,82,13,39,49,51,76,93,73,89,53,27,49,18,66,26,28,14,86,39,97,59,79,33,27,36,92,27,61,44,67,57,39,48,68,92,32,70,25,33,100,60,11,76,10,68,55,44
13,92,55,0,61,63,96,63,91,65,96,43,32,32,11,35,16,91,94,26,44,52,77,75,75,39,26,91,93,13,27,79,79,90,97,37,64,34,24,96,58,40,47,52,10,81,64,79,95,63,44,68,28,39,76,90,72,23,36,59,88,73,24,19,19,80,92,28,41,78,55,35,37,100,88,35,25,28,73,15,26,36,10,76,50,56,20,84,88,64,40,36,75,26,18,25,72,42,70,63,100,63,13,25,31,22,79,84,13
14,13,95,61,0,59,30,36,79,51,84,52,13,92,76,89,13,55,93,24,67,55,58,35,60,52,84,75,75,60,19,83,27,12,73,64,90,29,16,40,80,71,86,74,44,93,50,55,49,97,66,90,78,84,12,41,61,34,23,81,77,11,53,72,25,52,19,86,59,88,63,97,100,69,22,25,96,32,54,58,94,10,34,16,25,84,59,80,19,87,79,22,24,88,23,96,87,94,72,23,52,42,54,38,17,85,54,94,14
33,30,25,63,59,0,37,48,33,89,70,61,34,83,94,23,16,12,71,83,68,20,18,61,72,74,51,43,59,68,21,19,88,61,59,70,23,77,90,26,50,53,27,83,26,37,47,40,51,83,30,17,82,80,70,92,61,12,59,14,71,21,99,51,97,36,34,25,74,57,62,33,27,97,57,20,88,18,10,61,50,55,52,88,63,79,46,95,53,61,99,82,32,37,74,39,93,83,81,83,42,97,70,56,58,13,53,98,33
14,92,97,96,30,37,0,98,40,88,14,27,60,48,35,92,88,54,60,55,84,96,98,65,13,89,31,36,38,89,39,48,22,89,15,18,31,57,67,60,35,61,98,99,40,64,24,10,84,58,83,67,87,43,43,64,76,20,88,78,69,38,65,66,50,68,93,52,41,55,97,32,41,34,98,82,26,78,33,44,60,89,86,80,75,43,82,13,35,10,54,74,11,90,46,100,67,64,77,83,89,75,83,29,26,97,99,90,14
91,35,35,63,36,48,98,0,98,67,42,31,16,48,28,13,88,71,74,60,36,16,40,92,56,12,87,48,47,19,75,33,43,41,77,79,61,78,91,97,53,10,22,25,20,89,61,79,37,89,74,36,34,24,36,84,10,83,42,95,48,23,62,51,90,15,86,95,63,59,59,20,84,83,11,92,11,47,93,45,71,39,24,14,83,27,32,38,47,74,40,29,92,96,97,100,72,21,92,42,63,51,83,66,25,21,71,66,91
59,64,67,91,79,33,40,98,0,13,85,18,67,40,69,86,63,77,45,90,10,61,24,78,16,78,44,66,68,75,83,100,90,27,79,47,85,60,12,83,73,81,99,43,17,98,26,23,56,63,60,50,57,60,70,82,52,10,13,86,80,51,24,34,19,82,40,70,25,78,100,23,83,90,13,50,70,31,62,21,93,64,95,87,95,68,18,69,72,71,37,52,79,99,60,82,10,89,25,20,32,23,31,14,54,79,74,96,59
13,12,47,65,51,89,88,67,13,0,32,51,23,70,20,72,20,14,97,60,20,38,78,73,22,12,43,94,40,83,23,37,47,21,71,55,83,44,69,75,59,35,57,48,10,56,48,37,94,61,15,16,85,42,16,91,36,34,51,44,21,97,64,33,56,26,39,63,70,26,23,13,45,85,57,76,55,54,54,13,90,25,54,44,46,97,36,10,33,87,47,89,97,52,38,96,25,21,79,66,67,49,78,82,95,17,22,17,13
44,40,16,96,84,70,14,42,85,32,0,25,97,31,76,89,75,22,26,93,73,83,84,64,35,38,63,27,23,61,55,46,99,27,76,18,38,71,38,18,10,62,49,79,52,92,20,29,38,48,74,87,95,61,66,70,22,69,65,89,91,11,64,66,10,79,25,27,28,79,75,26,42,71,54,11,57,75,53,76,73,95,62,33,32,16,24,24,70,49,77,14,90,87,53,93,30,93,58,74,46,68,43,75,32,59,16,85,44
23,34,57,43,52,61,27,31,18,51,25,0,100,60,45,92,83,91,13,28,64,26,18,41,84,70,13,78,37,69,67,13,37,70,87,49,99,50,73,20,61,28,71,12,100,93,31,77,35,99,86,99,94,84,14,71,16,37,15,59,33,68,53,43,11,88,47,25,21,93,60,96,38,28,29,30,76,97,26,30,40,15,59,92,57,43,61,37,25,16,39,92,13,52,38,70,23,82,16,39,41,22,21,38,50,64,80,75,23
45,58,25,32,13,34,60,16,67,23,97,100,0,33,41,68,39,37,10,80,16,33,56,57,31,61,94,39,30,75,85,34,28,10,57,61,92,21,58,26,70,76,96,35,82,21,86,53,52,37,21,73,37,98,22,33,45,82,22,59,10,38,68,85,69,88,75,63,74,78,49,98,49,85,56,69,63,57,82,69,86,63,58,74,12,13,59,41,76,90,95,21,88,81,97,25,89,62,46,42,57,97,71,52,83,28,71,25,45
29,87,15,32,92,83,48,48,40,70,31,60,33,0,85,17,48,88,29,75,61,23,75,61,35,51,46,29,21,51,58,24,99,72,52,82,22,60,60,23,56,49,65,25,53,76,48,43,97,13,97,99,62,70,51,25,18,97,19,44,84,28,14,97,61,98,51,31,37,95,30,68,36,12,24,51,81,29,81,100,44,18,67,53,55,83,53,38,17,21,100,100,97,14,53,33,75,12,10,50,50,75,99,54,77,30,39,99,29
22,90,12,11,76,94,35,28,69,20,76,45,41,85,0,41,70,82,18,53,61,74,34,20,58,30,96,87,80,19,25,79,44,22,17,50,38,21,86,81,77,26,36,73,17,71,74,65,69,28,83,69,89,35,68,51,97,85,41,15,40,90,54,51,56,16,33,14,12,34,82,86,18,59,79,95,43,66,15,20,94,32,19,18,22,41,45,42,72,55,93,90,68,39,18,20,85,64,10,52,48,57,69,31,27,85,94,53,22
91,30,14,35,89,23,92,13,86,72,89,92,68,17,41,0,38,81,20,11,14,79,67,47,34,41,52,86,45,23,71,31,27,76,80,71,26,54,27,71,17,10,55,19,54,87,41,83,82,92,19,78,15,88,93,67,13,12,39,89,84,84,77,35,37,64,80,98,34,33,83,84,67,94,100,92,91,92,79,26,65,59,18,34,98,83,85,40,61,24,56,19,82,47,100,46,97,58,79,87,16,46,60,92,24,17,80,18,91
12,46,87,16,13,16,88,88,63,20,75,83,39,48,70,38,0,86,61,77,78,98,10,28,57,55,16,72,20,54,17,24,61,99,74,54,41,81,87,53,89,12,45,52,27,75,20,27,63,86,75,34,89,80,96,85,37,95,89,21,85,17,24,31,81,46,74,58,47,64,94,51,38,99,50,41,84,84,15,100,67,96,29,78,66,90,25,75,32,30,23,35,55,14,68,87,51,53,32,35,19,27,15,100,62,64,30,59,12
72,30,74,91,55,12,54,71,77,14,22,91,37,88,82,81,86,0,63,13,94,75,79,80,49,15,35,53,76,11,27,66,31,59,74,49,13,21,43,80,22,58,46,74,38,42,69,80,78,15,88,75,20,60,61,25,78,12,57,43,53,91,86,33,42,32,59,73,53,21,84,94,27,44,96,14,87,17,85,23,86,78,38,90,22,48,46,46,60,15,51,72,30,33,76,74,68,82,31,49,65,72,75,55,10,85,14,26,72
51,68,82,94,93,71,60,74,45,97,26,13,10,29,18,20,61,63,0,44,30,71,99,63,68,23,86,56,35,26,19,73,46,73,45,26,49,72,98,65,64,14,28,85,42,23,31,64,29,49,42,61,60,90,79,40,47,47,24,72,87,66,26,80,16,23,77,97,22,64,90,62,42,52,25,44,49,78,100,18,75,81,58,29,54,50,85,92,56,36,47,97,17,69,27,89,25,73,75,83,18,10,38,82,59,94,71,51,51
84,55,70,26,24,83,55,60,90,60,93,28,80,75,53,11,77,13,44,0,11,31,79,98,30,78,83,44,57,87,81,16,51,63,58,94,49,19,36,54,36,15,56,85,67,31,98,69,97,44,97,96,61,78,16,97,75,99,69,100,80,26,23,57,29,43,47,36,92,58,41,60,44,34,74,16,10,12,72,92,21,80,68,98,66,97,20,44,91,54,24,25,48,19,82,63,49,42,87,70,83,17,27,11,14,91,96,81,84
