23
0,3,1,1,1,4,1,2,4,2,2,3,3,1,3,1,2,4,4,2,4,3,4,4,0
0,66,91,83,62,24,82,33,47,73,78,18,41,91,12,64,88,81,51,72,50,14,51,74,0
66,0,35,38,22,56,64,22,59,50,31,44,100,63,38,87,16,57,15,30,51,87,15,16,66
91,35,0,98,23,60,77,62,24,41,71,53,13,51,100,48,25,13,96,12,21,55,95,15,91
83,38,98,0,18,32,86,16,87,35,20,26,86,50,88,70,76,29,10,36,31,45,69,70,83
62,22,23,18,0,35,27,67,95,81,70,91,52,49,44,23,75,60,53,50,36,51,58,31,62
24,56,60,32,35,0,91,47,74,16,69,80,90,100,43,39,33,95,93,43,55,45,71,33,24
82,64,77,86,27,91,0,63,14,95,10,94,60,53,78,30,89,71,49,72,55,55,56,32,82
33,22,62,16,67,47,63,0,74,10,12,97,79,33,12,78,14,47,51,30,39,36,29,98,33
47,59,24,87,95,74,14,74,0,98,21,20,61,41,59,83,12,22,73,91,96,23,60,31,47
73,50,41,35,81,16,95,10,98,0,40,29,67,26,40,37,61,97,75,65,98,54,34,48,73
78,31,71,20,70,69,10,12,21,40,0,98,52,32,53,86,94,76,42,13,32,80,25,55,78
18,44,53,26,91,80,94,97,20,29,98,0,29,83,46,32,12,17,81,86,81,91,75,34,18
41,100,13,86,52,90,60,79,61,67,52,29,0,94,89,25,26,82,71,31,15,16,76,29,41
91,63,51,50,49,100,53,33,41,26,32,83,94,0,78,95,63,45,45,61,71,68,91,73,91
12,38,100,88,44,43,78,12,59,40,53,46,89,78,0,20,70,24,35,30,29,64,30,59,12
64,87,48,70,23,39,30,78,83,37,86,32,25,95,20,0,67,56,74,34,94,17,48,23,64
88,16,25,76,75,33,89,14,12,61,94,12,26,63,70,67,0,14,91,21,46,62,27,78,88
81,57,13,29,60,95,71,47,22,97,76,17,82,45,24,56,14,0,70,24,54,76,45,86,81
51,15,96,10,53,93,49,51,73,75,42,81,71,45,35,74,91,70,0,60,54,90,81,80,51
72,30,12,36,50,43,72,30,91,65,13,86,31,61,30,34,21,24,60,0,60,59,84,86,72
50,51,21,31,36,55,55,39,96,98,32,81,15,71,29,94,46,54,54,60,0,87,77,73,50
14,87,55,45,51,45,55,36,23,54,80,91,16,68,64,17,62,76,90,59,87,0,78,31,14
51,15,95,69,58,71,56,29,60,34,25,75,76,91,30,48,27,45,81,84,77,78,0,99,51
74,16,15,70,31,33,32,98,31,48,55,34,29,73,59,23,78,86,80,86,73,31,99,0,74
0,66,91,83,62,24,82,33,47,73,78,18,41,91,12,64,88,81,51,72,50,14,51,74,0
