88
0,4,1,1,2,2,1,1,4,1,3,3,2,4,4,4,4,3,4,2,3,3,1,3,4,4,1,4,4,1,3,1,4,1,4,4,3,1,2,4,3,3,2,4,2,4,2,1,3,1,1,1,3,4,1,3,4,1,4,1,3,1,3,1,4,2,4,3,4,2,2,1,1,2,2,2,2,1,1,1,3,1,4,4,3,4,1,2,2,0
0,76,75,82,79,48,34,39,27,39,42,33,28,95,20,74,46,16,63,25,65,34,79,59,41,99,78,74,18,93,70,56,89,64,41,69,87,68,85,28,55,81,25,43,24,97,28,56,74,78,73,64,60,75,27,83,69,31,32,84,86,23,46,66,34,39,59,94,96,79,53,51,15,73,60,89,86,33,64,100,10,47,37,25,21,11,78,78,31,0
76,0,17,66,94,66,29,73,31,57,49,34,55,100,67,85,23,74,59,71,12,90,31,49,93,77,81,37,18,87,12,16,35,79,36,45,39,35,18,18,40,31,95,74,82,10,91,33,94,63,73,14,83,18,35,50,83,50,19,47,60,52,81,96,83,24,83,98,36,52,12,88,38,23,16,18,90,56,26,33,83,79,58,39,59,38,75,59,58,76
75,17,0,97,78,51,51,86,53,14,94,32,21,91,77,72,12,49,67,20,57,18,20,40,81,42,87,54,90,25,22,56,63,25,65,67,51,89,82,34,68,34,97,65,87,99,80,15,50,71,51,70,88,42,57,95,46,42,19,71,48,92,57,92,64,10,41,30,94,33,60,87,64,79,38,61,97,44,69,15,49,65,46,34,70,13,43,57,15,75
82,66,97,0,37,62,73,95,49,73,72,52,82,51,52,100,85,27,85,53,82,32,99,97,81,32,32,85,78,43,100,93,70,44,30,16,19,75,94,50,11,18,35,50,35,19,41,72,48,58,14,12,63,68,26,99,69,52,64,24,16,100,32,93,28,16,16,67,56,24,80,34,19,22,95,83,21,30,82,83,69,73,40,82,30,93,27,65,82,82
79,94,78,37,0,88,91,67,55,50,17,37,77,31,99,17,47,11,47,34,70,58,63,51,39,35,30,80,32,94,85,26,53,99,100,43,90,99,98,90,100,66,30,19,81,91,82,65,82,65,42,46,69,84,92,12,38,87,76,13,68,24,86,41,12,80,75,96,19,46,96,80,39,53,75,57,72,49,88,36,71,54,62,92,55,81,59,78,80,79
48,66,51,62,88,0,15,11,58,35,49,62,31,80,74,41,98,87,58,13,70,15,51,31,12,27,18,62,96,56,28,12,17,94,55,57,21,16,53,96,58,41,58,74,27,29,55,83,43,25,100,35,39,90,17,75,23,95,90,57,58,83,13,26,80,43,67,39,53,14,37,71,87,39,61,19,11,38,15,53,38,35,17,30,84,92,51,45,89,48
34,29,51,73,91,15,0,42,41,27,86,64,18,76,32,76,51,80,70,14,65,60,47,19,19,23,31,85,31,93,45,74,66,56,29,81,73,15,80,42,15,24,92,48,20,16,67,13,55,35,21,80,16,62,40,36,81,50,19,75,56,21,34,60,52,88,34,43,49,88,33,57,44,72,48,99,95,36,24,86,42,39,42,91,54,17,21,68,42,34
39,73,86,95,67,11,42,0,70,18,28,89,32,33,89,84,86,32,91,61,44,63,72,27,25,34,16,16,67,78,65,72,96,93,25,14,86,16,63,11,48,66,34,81,13,26,32,36,62,57,100,24,58,57,56,87,81,59,55,30,94,51,62,92,90,96,79,68,100,83,66,93,47,100,33,54,26,97,66,91,66,22,73,55,54,95,16,56,97,39
27,31,53,49,55,58,41,70,0,18,53,36,94,96,38,32,59,93,73,14,65,48,32,24,48,87,25,91,61,84,87,100,69,76,72,83,22,53,14,66,46,90,17,47,86,31,65,30,24,82,94,100,49,65,59,51,100,68,67,78,94,73,74,89,87,56,82,96,89,91,21,83,93,17,67,98,32,26,19,77,50,33,26,66,30,40,19,51,75,27
