32
0,1,1,4,3,4,2,2,1,2,2,3,4,1,3,3,3,2,2,1,3,3,4,3,2,2,4,2,3,2,3,2,3,0
0,63,87,88,92,83,91,18,84,76,46,11,17,86,54,98,18,76,98,32,59,81,98,65,50,97,45,96,79,54,24,91,96,0
63,0,37,62,95,11,28,74,51,64,35,76,78,46,70,26,90,68,55,21,63,82,17,79,29,87,58,85,99,43,22,60,75,63
87,37,0,66,88,39,87,58,25,41,73,33,86,35,75,61,44,32,78,99,19,79,24,18,95,10,60,49,26,30,81,14,33,87
88,62,66,0,21,29,61,35,81,93,91,22,38,36,67,29,27,48,31,63,39,28,57,62,55,94,86,37,91,23,15,69,30,88
92,95,88,21,0,20,98,70,75,76,38,85,60,84,71,47,61,14,80,58,40,12,59,77,41,66,77,70,84,30,21,94,87,92
83,11,39,29,20,0,64,87,12,95,50,82,94,30,87,91,30,16,77,12,10,33,56,55,15,20,20,39,98,44,42,12,26,83
91,28,87,61,98,64,0,61,35,14,29,99,77,36,89,63,82,100,53,37,61,15,36,79,54,74,60,82,23,50,51,96,72,91
18,74,58,35,70,87,61,0,87,27,59,67,13,94,75,25,38,45,62,34,97,96,78,76,60,28,87,49,43,90,61,45,96,18
84,51,25,81,75,12,35,87,0,51,32,22,32,63,45,79,20,18,72,52,88,59,32,45,39,50,14,65,90,70,73,92,36,84
76,64,41,93,76,95,14,27,51,0,50,72,55,32,44,46,49,23,84,46,21,88,27,33,55,21,20,36,17,93,15,70,89,76
46,35,73,91,38,50,29,59,32,50,0,84,91,57,96,86,97,22,71,53,88,35,11,81,24,98,17,81,40,33,72,84,14,46
11,76,33,22,85,82,99,67,22,72,84,0,69,60,14,22,45,49,74,64,96,62,83,84,28,23,53,96,35,79,98,99,33,11
17,78,86,38,60,94,77,13,32,55,91,69,0,94,43,61,68,88,85,42,25,63,48,59,76,93,80,95,29,26,63,28,93,17
86,46,35,36,84,30,36,94,63,32,57,60,94,0,99,61,99,67,73,61,30,22,98,95,45,48,85,76,19,59,67,24,100,86
54,70,75,67,71,87,89,75,45,44,96,14,43,99,0,53,51,10,54,98,11,84,56,76,35,79,53,39,55,21,46,80,41,54
98,26,61,29,47,91,63,25,79,46,86,22,61,61,53,0,96,88,55,74,29,72,14,14,67,53,16,70,11,43,89,47,25,98
18,90,44,27,61,30,82,38,20,49,97,45,68,99,51,96,0,16,18,72,18,84,60,19,31,49,83,73,29,98,58,45,42,18
76,68,32,48,14,16,100,45,18,23,22,49,88,67,10,88,16,0,36,30,63,10,86,54,68,48,72,35,59,90,28,42,54,76
98,55,78,31,80,77,53,62,72,84,71,74,85,73,54,55,18,36,0,63,100,85,76,36,72,56,23,99,33,33,45,64,59,98
32,21,99,63,58,12,37,34,52,46,53,64,42,61,98,74,72,30,63,0,22,66,79,38,44,14,81,46,21,52,10,87,91,32
59,63,19,39,40,10,61,97,88,21,88,96,25,30,11,29,18,63,100,22,0,60,99,35,25,51,66,57,57,46,64,11,100,59
81,82,79,28,12,33,15,96,59,88,35,62,63,22,84,72,84,10,85,66,60,0,61,26,64,71,62,79,56,66,99,12,41,81
98,17,24,57,59,56,36,78,32,27,11,83,48,98,56,14,60,86,76,79,99,61,0,29,31,63,24,93,87,72,53,18,86,98
65,79,18,62,77,55,79,76,45,33,81,84,59,95,76,14,19,54,36,38,35,26,29,0,63,26,17,30,35,21,61,61,36,65
50,29,95,55,41,15,54,60,39,55,24,28,76,45,35,67,31,68,72,44,25,64,31,63,0,14,84,36,38,18,71,54,62,50
97,87,10,94,66,20,74,28,50,21,98,23,93,48,79,53,49,48,56,14,51,71,63,26,14,0,17,34,55,94,44,13,61,97
45,58,60,86,77,20,60,87,14,20,17,53,80,85,53,16,83,72,23,81,66,62,24,17,84,17,0,27,87,67,75,58,22,45
96,85,49,37,70,39,82,49,65,36,81,96,95,76,39,70,73,35,99,46,57,79,93,30,36,34,27,0,47,66,75,73,76,96
79,99,26,91,84,98,23,43,90,17,40,35,29,19,55,11,29,59,33,21,57,56,87,35,38,55,87,47,0,27,49,38,68,79
54,43,30,23,30,44,50,90,70,93,33,79,26,59,21,43,98,90,33,52,46,66,72,21,18,94,67,66,27,0,85,67,96,54
24,22,81,15,21,42,51,61,73,15,72,98,63,67,46,89,58,28,45,10,64,99,53,61,71,44,75,75,49,85,0,70,41,24
91,60,14,69,94,12,96,45,92,70,84,99,28,24,80,47,45,42,64,87,11,12,18,61,54,13,58,73,38,67,70,0,62,91
96,75,33,30,87,26,72,96,36,89,14,33,93,100,41,25,42,54,59,91,100,41,86,36,62,61,22,76,68,96,41,62,0,96
0,63,87,88,92,83,91,18,84,76,46,11,17,86,54,98,18,76,98,32,59,81,98,65,50,97,45,96,79,54,24,91,96,0
