11
0,3,3,1,4,3,4,2,2,1,1,4,0
0,96,72,69,94,73,99,55,29,39,14,29,0
96,0,49,47,36,80,50,29,38,89,35,74,96
72,49,0,16,25,95,24,74,79,13,37,67,72
69,47,16,0,48,91,42,96,48,11,56,94,69
94,36,25,48,0,89,34,46,88,28,78,99,94
73,80,95,91,89,0,80,75,42,12,45,36,73
99,50,24,42,34,80,0,49,38,38,31,12,99
55,29,74,96,46,75,49,0,94,31,46,66,55
29,38,79,48,88,42,38,94,0,35,67,50,29
39,89,13,11,28,12,38,31,35,0,80,11,39
14,35,37,56,78,45,31,46,67,80,0,90,14
29,74,67,94,99,36,12,66,50,11,90,0,29
0,96,72,69,94,73,99,55,29,39,14,29,0
