80
0,1,2,2,1,2,1,1,2,4,2,3,3,2,3,1,4,4,2,4,4,2,4,4,3,1,2,2,4,4,3,3,1,4,3,4,1,4,4,4,4,4,3,3,4,3,1,3,3,2,2,4,2,4,3,2,2,3,4,1,4,4,4,2,4,4,4,1,2,1,1,4,1,3,4,2,3,1,4,2,2,0
0,96,48,72,86,32,60,85,31,32,80,43,44,95,79,68,28,85,27,36,33,71,93,94,47,68,94,26,34,75,47,70,94,56,57,85,26,17,61,50,37,69,59,79,62,89,90,14,69,45,65,69,49,14,78,10,18,60,17,22,97,19,42,44,74,41,19,46,26,36,87,25,75,32,97,11,38,37,94,63,95,0
96,0,51,26,55,17,18,70,70,97,66,83,79,91,59,47,33,74,81,14,33,62,20,42,19,65,79,51,40,93,51,98,24,53,30,59,44,92,70,90,82,53,56,73,92,92,87,42,36,14,77,61,93,52,86,83,39,23,62,44,82,61,11,49,87,23,76,87,37,62,78,35,21,82,62,94,51,46,95,95,50,96
48,51,0,84,11,33,97,40,91,100,12,85,56,95,20,82,35,79,46,80,94,28,18,87,22,32,49,17,35,84,76,34,89,42,49,16,12,43,81,17,86,13,74,42,28,85,59,53,20,48,15,68,15,30,41,15,27,53,14,26,23,68,91,76,60,21,95,67,70,68,48,92,35,71,62,98,79,41,24,52,21,48
72,26,84,0,55,69,65,74,18,48,99,43,78,58,59,99,69,52,74,70,43,41,41,13,67,94,25,30,33,88,10,96,80,96,85,54,95,40,69,94,72,78,31,47,14,50,84,76,89,54,23,36,13,90,13,12,58,68,89,32,67,85,75,36,90,55,23,40,95,11,46,69,79,57,15,18,71,89,88,87,20,72
86,55,11,55,0,88,82,39,49,91,75,89,86,74,40,19,78,14,86,27,28,18,99,67,39,78,31,24,69,71,39,39,65,42,74,87,74,31,75,14,22,92,41,54,98,23,49,35,90,61,69,20,89,98,62,14,33,84,74,78,83,91,97,11,43,46,12,46,55,53,32,77,74,37,11,62,68,62,38,97,60,86
32,17,33,69,88,0,55,76,65,20,84,46,72,49,33,27,15,14,59,14,80,61,78,80,85,39,88,87,62,28,43,46,82,50,19,88,35,76,61,45,31,50,10,30,46,29,62,61,85,30,48,34,32,10,12,95,89,22,75,53,23,16,29,70,35,93,74,92,98,22,76,88,56,95,69,42,36,24,66,73,15,32
60,18,97,65,82,55,0,77,19,92,65,53,35,54,39,87,39,15,41,12,39,63,75,61,95,98,14,34,98,50,61,99,42,43,99,27,39,60,57,88,90,53,29,11,20,60,46,41,70,32,20,13,24,85,45,97,65,60,50,58,57,17,38,91,93,12,71,40,86,27,87,31,27,96,97,67,13,31,59,70,86,60
85,70,40,74,39,76,77,0,96,33,45,12,94,92,33,61,61,69,24,46,43,55,74,35,32,19,81,29,95,69,99,58,56,28,78,69,43,52,62,39,95,94,11,33,71,46,37,95,86,51,79,56,32,70,100,41,71,71,53,66,67,26,87,18,18,74,83,36,41,89,32,41,43,70,99,25,18,25,39,100,67,85
31,70,91,18,49,65,19,96,0,80,28,19,70,73,74,72,89,65,53,86,88,42,75,58,37,48,81,10,34,70,54,98,11,54,57,24,55,25,78,67,20,12,44,100,67,44,16,54,32,94,67,56,34,74,58,13,99,43,42,28,27,30,36,15,68,59,95,48,36,92,89,68,37,25,71,39,12,82,61,86,33,31
