88
0,4,2,2,2,4,1,4,4,2,1,1,3,3,2,3,3,3,1,3,1,1,4,4,2,1,2,3,3,3,4,1,4,2,4,2,4,3,2,2,2,3,1,2,4,1,1,3,1,2,4,3,1,1,2,4,2,2,3,1,2,1,2,4,2,3,4,2,1,3,4,1,2,4,2,1,2,3,4,2,3,2,1,1,1,4,4,4,2,0
0,16,60,13,86,74,49,11,19,81,12,77,52,43,35,70,50,71,36,88,48,42,50,48,93,36,42,66,73,26,58,42,44,17,89,66,16,64,18,94,93,85,29,12,22,55,33,86,17,51,21,69,30,74,66,12,22,56,99,35,52,17,33,56,34,79,56,42,71,55,77,97,30,18,21,35,56,68,47,16,71,99,10,62,29,54,85,23,19,0
16,0,81,63,40,16,46,54,78,30,66,60,73,47,52,93,74,86,49,87,68,17,61,92,96,73,30,96,53,29,91,82,83,39,20,80,27,14,34,48,17,43,35,41,51,86,83,44,92,10,72,21,83,91,37,22,17,95,66,89,71,71,87,71,85,53,76,49,49,56,56,84,74,26,53,93,91,60,19,30,53,74,29,33,94,69,40,80,58,16
60,81,0,50,73,55,37,67,86,28,87,74,65,23,19,17,69,24,41,78,23,16,70,81,20,22,47,13,50,11,35,25,96,16,35,66,61,65,42,29,39,29,36,82,68,80,58,96,68,90,63,87,20,25,70,88,11,18,66,18,25,25,45,75,64,45,11,64,78,87,39,42,35,14,74,82,17,56,13,68,32,89,12,21,96,60,25,11,17,60
13,63,50,0,28,74,13,87,86,68,38,21,21,23,67,52,32,39,20,52,26,59,10,33,91,90,49,77,88,98,10,69,95,44,40,57,42,66,17,94,90,70,98,74,33,84,11,94,32,44,54,19,28,24,22,81,50,94,38,19,96,90,59,24,68,63,67,96,35,73,20,35,80,33,52,20,62,100,97,74,50,18,60,69,46,97,14,74,31,13
86,40,73,28,0,14,49,53,63,70,81,52,88,21,50,99,36,50,76,89,43,77,85,54,21,41,85,41,73,39,77,21,97,61,43,42,76,87,25,66,17,68,88,32,14,87,56,41,95,72,54,27,10,57,11,15,92,72,27,29,53,59,60,65,35,87,74,12,94,100,17,79,29,29,28,36,31,11,32,27,89,43,64,33,83,76,71,75,49,86
74,16,55,74,14,0,43,42,57,90,46,41,92,25,43,61,98,24,66,99,97,27,12,18,94,33,62,66,61,82,13,89,40,54,62,23,21,82,13,57,53,95,43,36,81,46,41,41,73,83,43,55,81,30,56,62,29,78,61,75,37,90,46,36,13,91,69,23,21,36,79,85,60,15,92,65,62,78,57,70,25,55,67,60,10,59,62,33,96,74
49,46,37,13,49,43,0,34,16,29,58,72,74,84,12,14,83,81,73,98,72,79,84,28,69,100,94,70,97,44,69,84,88,97,18,87,87,94,30,17,97,97,62,56,16,84,75,59,36,92,52,30,60,99,65,47,23,20,28,40,99,23,68,78,11,95,37,18,47,64,22,48,51,82,87,88,92,81,13,39,66,33,88,27,60,45,28,40,27,49
11,54,67,87,53,42,34,0,78,75,41,33,42,91,50,88,46,99,49,74,12,92,36,61,45,54,90,46,31,65,73,34,37,69,12,98,68,94,89,62,91,99,25,16,95,66,20,61,82,10,26,47,58,99,26,49,73,90,78,63,71,33,33,62,55,65,23,65,71,12,27,54,49,59,67,66,13,33,49,41,65,92,78,96,19,76,17,56,81,11
19,78,86,86,63,57,16,78,0,42,95,99,82,69,74,83,14,60,35,41,50,54,97,85,79,81,70,59,37,97,29,12,19,50,75,64,54,26,89,58,73,89,65,72,63,97,42,36,51,77,58,65,90,48,71,41,24,39,32,51,87,70,97,18,18,81,37,30,97,68,44,66,24,99,78,75,87,68,98,82,93,97,84,33,56,67,78,67,10,19
