20
0,2,1,3,4,2,2,2,2,4,1,4,1,1,3,3,4,4,1,4,2,0
0,84,48,76,49,18,98,34,67,98,19,50,29,28,27,14,90,66,74,48,83,0
84,0,74,81,21,38,54,93,48,12,47,85,19,42,69,17,10,52,79,86,70,84
48,74,0,80,94,54,85,26,89,78,64,89,86,72,58,69,14,53,49,15,77,48
76,81,80,0,51,52,33,33,100,61,16,79,52,71,62,25,90,12,96,50,43,76
49,21,94,51,0,45,51,63,63,74,24,63,15,36,48,93,64,28,99,45,51,49
18,38,54,52,45,0,22,10,29,53,20,74,67,95,32,63,49,25,86,86,96,18
98,54,85,33,51,22,0,93,34,16,44,14,28,96,50,34,99,100,67,81,89,98
34,93,26,33,63,10,93,0,94,79,69,90,39,91,82,58,91,37,69,99,22,34
67,48,89,100,63,29,34,94,0,22,17,82,81,49,22,39,23,71,37,60,30,67
98,12,78,61,74,53,16,79,22,0,30,38,46,52,14,48,48,27,29,60,54,98
19,47,64,16,24,20,44,69,17,30,0,91,76,96,72,77,73,13,77,26,37,19
50,85,89,79,63,74,14,90,82,38,91,0,56,70,75,44,71,54,63,26,63,50
29,19,86,52,15,67,28,39,81,46,76,56,0,45,50,90,75,84,65,79,56,29
28,42,72,71,36,95,96,91,49,52,96,70,45,0,17,41,49,42,53,57,24,28
27,69,58,62,48,32,50,82,22,14,72,75,50,17,0,15,52,49,93,48,100,27
14,17,69,25,93,63,34,58,39,48,77,44,90,41,15,0,63,18,81,85,32,14
90,10,14,90,64,49,99,91,23,48,73,71,75,49,52,63,0,30,29,27,69,90
66,52,53,12,28,25,100,37,71,27,13,54,84,42,49,18,30,0,27,52,69,66
74,79,49,96,99,86,67,69,37,29,77,63,65,53,93,81,29,27,0,99,18,74
48,86,15,50,45,86,81,99,60,60,26,26,79,57,48,85,27,52,99,0,37,48
83,70,77,43,51,96,89,22,30,54,37,63,56,24,100,32,69,69,18,37,0,83
0,84,48,76,49,18,98,34,67,98,19,50,29,28,27,14,90,66,74,48,83,0
