39
0,1,2,1,2,3,2,4,4,1,2,1,1,2,4,2,1,4,4,2,3,2,4,3,4,4,4,3,4,2,2,2,2,1,2,3,3,4,3,4,0
0,94,72,14,88,87,55,47,15,12,21,51,66,34,90,71,92,67,22,16,35,100,94,57,78,51,37,52,30,18,14,86,77,26,35,49,48,52,71,34,0
94,0,12,61,87,68,45,26,63,100,38,44,51,47,95,41,62,30,21,100,97,60,99,76,47,18,27,39,28,41,96,38,98,36,10,37,73,51,31,37,94
72,12,0,35,74,86,56,23,92,13,53,30,71,87,95,56,97,83,56,53,98,58,91,81,51,17,96,91,32,52,67,83,67,43,42,11,17,67,30,52,72
14,61,35,0,62,83,65,36,40,17,11,51,12,85,82,13,59,21,37,94,31,33,43,39,24,55,61,51,92,12,36,76,55,38,30,54,76,27,77,93,14
88,87,74,62,0,64,71,70,88,47,95,17,24,70,95,76,34,96,23,39,100,88,48,18,56,43,20,86,99,51,51,81,96,72,66,51,88,45,93,95,88
87,68,86,83,64,0,95,31,62,59,56,79,10,100,14,83,86,60,35,53,82,12,76,40,93,60,41,90,57,33,96,54,50,73,22,58,22,82,69,44,87
55,45,56,65,71,95,0,47,68,57,66,42,52,49,55,41,38,61,69,76,52,56,49,42,18,90,91,19,40,66,37,80,29,53,21,46,75,37,76,20,55
47,26,23,36,70,31,47,0,49,34,91,85,72,87,74,20,24,84,61,62,92,57,11,87,66,30,49,57,73,100,44,46,19,50,61,65,83,36,100,56,47
15,63,92,40,88,62,68,49,0,61,54,75,83,90,38,54,24,98,76,90,69,13,75,73,11,99,32,47,97,81,85,48,35,95,83,98,46,59,92,39,15
12,100,13,17,47,59,57,34,61,0,46,66,75,84,29,11,41,28,13,17,97,40,74,33,20,66,65,62,33,42,33,16,90,97,53,77,15,19,42,85,12
21,38,53,11,95,56,66,91,54,46,0,77,70,65,42,56,43,61,69,89,17,89,79,79,65,92,58,45,57,72,77,12,64,52,43,31,37,69,91,13,21
51,44,30,51,17,79,42,85,75,66,77,0,17,70,76,22,90,36,14,18,35,15,34,83,83,32,23,39,46,27,94,70,52,16,49,52,75,27,100,96,51
