12
0,2,2,3,2,1,3,2,2,1,3,2,1,0
0,33,28,53,76,88,95,40,71,62,13,89,92,0
33,0,64,99,50,90,82,65,47,60,40,38,59,33
28,64,0,61,12,82,66,58,54,65,66,90,62,28
53,99,61,0,62,28,43,48,37,92,98,58,46,53
76,50,12,62,0,77,97,44,85,37,64,94,22,76
88,90,82,28,77,0,79,24,82,95,46,77,88,88
95,82,66,43,97,79,0,57,40,54,36,64,49,95
40,65,58,48,44,24,57,0,69,34,40,17,78,40
71,47,54,37,85,82,40,69,0,69,46,20,28,71
62,60,65,92,37,95,54,34,69,0,30,99,87,62
13,40,66,98,64,46,36,40,46,30,0,57,78,13
89,38,90,58,94,77,64,17,20,99,57,0,39,89
92,59,62,46,22,88,49,78,28,87,78,39,0,92
0,33,28,53,76,88,95,40,71,62,13,89,92,0
