71
0,4,1,1,3,1,1,2,2,1,4,2,3,3,1,3,1,2,3,1,3,1,3,3,2,3,3,3,3,1,2,4,4,4,1,3,2,4,2,1,2,1,3,3,3,3,1,2,4,1,2,4,2,1,2,3,2,1,3,3,2,3,1,4,3,2,4,3,3,2,1,2,0
0,45,17,12,18,89,28,20,92,53,19,23,43,37,18,64,41,98,82,60,79,18,94,50,39,69,53,48,46,37,51,97,85,40,16,38,31,32,56,28,47,21,85,80,51,25,72,32,85,10,84,20,38,67,47,13,58,41,38,45,43,83,81,17,26,13,31,27,77,42,26,76,0
45,0,19,42,53,23,60,52,86,12,70,24,32,71,45,98,13,51,83,95,22,93,32,40,18,67,39,34,16,95,29,46,62,82,87,82,69,74,53,64,96,80,58,81,36,32,59,47,77,38,43,51,24,57,54,23,18,65,31,52,78,91,86,20,87,61,83,54,21,85,35,40,45
17,19,0,99,15,29,99,58,45,52,58,32,19,54,50,54,21,66,28,71,35,100,32,33,17,51,74,49,28,82,77,50,79,60,22,34,40,85,94,35,74,66,67,22,14,31,40,29,26,52,96,36,52,71,14,16,62,17,60,36,63,39,17,47,13,36,25,41,51,28,65,19,17
12,42,99,0,54,51,23,56,100,76,29,89,69,99,46,72,19,63,24,64,11,35,49,71,32,40,10,81,83,48,66,15,83,62,13,42,21,92,56,48,27,70,43,72,58,36,62,71,20,52,99,56,42,33,66,70,21,10,53,33,89,53,95,32,76,87,81,69,12,60,32,60,12
18,53,15,54,0,64,92,37,100,50,80,20,98,23,71,38,85,90,18,46,20,79,60,15,67,82,53,75,65,87,56,22,87,18,45,85,42,31,67,63,34,91,39,41,60,71,100,11,79,10,75,97,54,68,97,88,11,97,57,95,32,24,98,56,74,11,90,60,66,24,44,94,18
89,23,29,51,64,0,52,76,29,61,12,88,36,89,87,95,30,53,26,73,18,72,97,62,34,59,34,94,64,81,87,46,66,35,93,65,31,94,31,45,41,86,73,31,90,92,30,25,53,43,56,88,13,86,69,93,47,91,37,28,81,29,46,26,58,97,47,56,87,35,19,79,89
28,60,99,23,92,52,0,11,29,41,56,82,74,23,90,52,45,75,26,71,80,89,16,89,14,70,20,39,80,11,29,75,69,24,13,48,63,59,27,13,79,10,70,98,29,29,39,59,93,79,65,29,26,31,90,75,10,27,77,66,41,39,33,71,10,36,50,21,64,38,12,26,28
20,52,58,56,37,76,11,0,87,41,63,11,32,12,42,11,59,98,48,14,54,47,94,88,17,60,68,56,17,56,11,79,51,45,54,58,74,77,37,15,23,11,24,17,35,20,53,20,28,60,85,80,89,36,50,86,28,43,96,78,39,23,60,88,84,41,62,51,91,38,77,75,20
92,86,45,100,100,29,29,87,0,39,61,73,35,24,56,84,54,82,45,38,70,57,16,27,25,66,10,66,62,31,62,80,23,58,76,58,22,84,16,96,68,90,95,72,29,38,83,28,49,53,78,54,25,11,55,28,64,24,29,58,11,21,23,98,93,34,89,35,72,13,60,93,92
53,12,52,76,50,61,41,41,39,0,87,61,27,73,38,57,14,57,68,11,28,46,41,58,42,58,22,97,23,63,17,12,69,52,90,100,41,50,94,15,78,38,73,42,17,18,43,90,37,100,51,68,15,93,67,27,48,55,57,64,47,96,70,100,89,44,38,77,51,99,11,66,53
19,70,58,29,80,12,56,63,61,87,0,22,79,98,30,67,48,45,91,26,39,32,81,73,96,36,50,91,46,90,63,18,23,28,99,86,62,19,69,57,16,56,21,69,60,86,28,56,26,21,96,81,37,45,90,67,17,11,31,28,71,88,65,25,42,50,11,56,89,81,53,41,19
