44
0,4,2,4,3,1,4,1,3,3,2,2,3,3,1,2,4,3,1,3,2,1,1,2,1,2,2,3,4,2,3,2,3,2,4,4,3,4,3,4,4,3,4,4,2,0
0,80,95,99,76,10,99,17,56,94,100,15,95,18,75,85,32,47,26,94,44,96,32,14,69,36,55,62,73,28,46,10,32,12,92,53,30,54,71,47,83,99,47,93,78,0
80,0,62,54,84,28,72,24,57,17,85,86,65,83,67,66,96,59,90,52,25,92,55,17,27,41,79,92,17,65,86,64,33,53,74,90,81,12,51,80,12,14,46,21,51,80
95,62,0,42,87,73,30,35,87,58,81,88,96,72,45,11,87,16,74,14,48,49,34,25,89,25,61,70,80,82,86,91,72,53,42,97,26,22,27,53,83,86,70,29,88,95
99,54,42,0,27,53,39,91,75,80,14,41,46,18,66,16,80,38,90,97,83,17,93,58,52,39,55,85,55,58,79,57,17,41,92,96,70,55,23,55,86,56,80,85,67,99
76,84,87,27,0,62,97,79,23,86,11,57,94,71,52,36,81,75,41,31,86,20,40,16,42,49,33,100,69,65,48,20,87,10,78,40,38,61,50,87,80,73,98,75,26,76
10,28,73,53,62,0,88,49,19,25,46,98,63,21,56,59,41,34,54,95,57,76,42,31,69,28,88,77,43,41,23,44,90,63,18,71,88,52,39,66,44,46,69,31,62,10
99,72,30,39,97,88,0,34,27,50,70,62,100,77,87,79,46,58,74,15,87,60,83,72,61,56,19,13,75,76,47,88,76,90,22,79,44,12,39,80,52,23,89,42,96,99
17,24,35,91,79,49,34,0,100,13,32,28,79,39,78,42,98,24,31,43,80,36,95,55,61,62,75,71,67,12,61,74,76,81,92,59,64,95,86,35,51,31,16,86,66,17
56,57,87,75,23,19,27,100,0,27,57,66,77,55,66,73,28,65,22,24,38,84,16,98,49,40,19,100,37,39,99,23,42,27,99,95,42,49,79,19,37,85,92,69,43,56
94,17,58,80,86,25,50,13,27,0,92,35,56,52,98,37,32,41,24,59,88,58,32,58,66,79,36,50,44,58,10,35,41,88,65,21,64,60,75,14,14,85,14,43,67,94
100,85,81,14,11,46,70,32,57,92,0,68,91,54,85,16,18,88,46,92,33,57,22,64,66,74,72,90,56,93,17,52,13,97,46,15,59,57,60,32,44,73,36,98,92,100
15,86,88,41,57,98,62,28,66,35,68,0,33,22,45,85,19,50,69,21,37,51,58,57,89,54,62,87,20,44,76,93,85,97,67,97,25,34,100,67,65,100,11,78,85,15
95,65,96,46,94,63,100,79,77,56,91,33,0,46,37,32,34,58,82,43,28,32,52,54,11,77,37,36,28,46,45,22,80,44,22,13,45,60,33,10,19,15,58,85,84,95
18,83,72,18,71,21,77,39,55,52,54,22,46,0,95,68,21,88,90,67,84,99,61,71,76,72,71,13,20,18,76,97,34,11,100,28,45,25,19,71,62,52,55,31,48,18
75,67,45,66,52,56,87,78,66,98,85,45,37,95,0,98,32,10,13,11,80,37,84,18,24,59,41,11,27,25,47,32,79,60,47,46,17,73,73,54,16,38,78,54,55,75
85,66,11,16,36,59,79,42,73,37,16,85,32,68,98,0,57,63,78,55,23,32,23,60,27,38,31,50,32,27,82,86,42,70,62,94,19,51,28,15,70,37,84,36,74,85
32,96,87,80,81,41,46,98,28,32,18,19,34,21,32,57,0,24,75,91,74,68,73,54,31,63,96,52,88,18,99,95,99,46,55,20,95,71,96,83,97,90,55,93,74,32
47,59,16,38,75,34,58,24,65,41,88,50,58,88,10,63,24,0,94,11,89,23,84,19,36,64,92,97,66,81,11,27,96,70,87,79,15,34,31,30,21,23,62,53,19,47
26,90,74,90,41,54,74,31,22,24,46,69,82,90,13,78,75,94,0,49,85,92,41,46,95,10,19,55,36,21,48,70,85,69,67,42,77,79,20,93,45,80,14,98,64,26
94,52,14,97,31,95,15,43,24,59,92,21,43,67,11,55,91,11,49,0,70,72,40,70,52,48,58,17,14,99,27,16,58,46,95,61,95,65,77,71,80,44,86,59,84,94
44,25,48,83,86,57,87,80,38,88,33,37,28,84,80,23,74,89,85,70,0,15,19,13,87,21,98,73,28,76,34,31,25,13,28,54,98,50,44,18,29,22,90,85,68,44
96,92,49,17,20,76,60,36,84,58,57,51,32,99,37,32,68,23,92,72,15,0,75,28,68,20,70,88,85,80,90,44,83,72,65,34,93,69,41,86,30,77,69,95,50,96
32,55,34,93,40,42,83,95,16,32,22,58,52,61,84,23,73,84,41,40,19,75,0,87,55,18,14,24,39,62,67,31,49,57,80,74,27,58,99,36,22,68,98,84,78,32
14,17,25,58,16,31,72,55,98,58,64,57,54,71,18,60,54,19,46,70,13,28,87,0,14,91,49,72,59,54,56,88,27,88,87,71,77,87,76,17,94,33,60,58,16,14
69,27,89,52,42,69,61,61,49,66,66,89,11,76,24,27,31,36,95,52,87,68,55,14,0,24,68,91,20,99,17,46,18,19,44,23,15,37,45,15,83,79,65,88,12,69
36,41,25,39,49,28,56,62,40,79,74,54,77,72,59,38,63,64,10,48,21,20,18,91,24,0,36,99,68,30,78,42,63,66,28,11,42,100,45,100,28,56,14,77,35,36
