14
0,1,2,3,1,1,2,3,1,4,3,4,1,4,3,0
0,60,32,46,98,12,86,44,94,98,83,44,98,82,35,0
60,0,47,91,44,96,61,45,56,14,10,21,12,36,63,60
32,47,0,69,99,45,92,48,43,33,80,100,60,41,54,32
46,91,69,0,10,30,20,56,52,70,95,100,92,44,89,46
98,44,99,10,0,59,28,67,29,26,60,50,60,25,73,98
12,96,45,30,59,0,57,15,93,91,47,68,63,58,39,12
86,61,92,20,28,57,0,45,87,88,77,48,79,37,27,86
44,45,48,56,67,15,45,0,17,86,75,96,63,94,14,44
94,56,43,52,29,93,87,17,0,82,63,32,51,60,49,94
98,14,33,70,26,91,88,86,82,0,24,70,45,82,18,98
83,10,80,95,60,47,77,75,63,24,0,77,14,65,33,83
44,21,100,100,50,68,48,96,32,70,77,0,85,94,35,44
98,12,60,92,60,63,79,63,51,45,14,85,0,13,34,98
82,36,41,44,25,58,37,94,60,82,65,94,13,0,53,82
35,63,54,89,73,39,27,14,49,18,33,35,34,53,0,35
0,60,32,46,98,12,86,44,94,98,83,44,98,82,35,0
