70
0,3,4,1,3,2,4,2,3,2,3,1,1,2,4,1,4,1,2,3,4,4,4,3,2,3,1,4,4,3,2,1,4,2,2,4,4,1,1,2,3,1,3,1,4,4,4,2,1,2,4,3,3,1,1,3,1,1,2,3,1,3,3,3,1,2,2,4,3,1,1,0
0,49,60,64,80,82,49,49,47,46,95,97,28,73,21,52,83,36,97,47,100,77,92,14,20,92,73,18,41,29,93,82,16,42,24,75,80,31,30,94,85,13,93,18,51,62,97,15,50,46,35,99,11,98,78,97,38,90,42,66,42,78,78,18,14,67,72,38,67,59,15,0
49,0,92,11,90,77,94,72,53,97,45,67,35,26,23,12,72,40,67,19,96,90,89,53,19,75,81,47,31,35,63,33,39,91,29,15,85,37,38,69,84,24,37,86,18,74,34,69,21,23,93,77,81,56,20,24,51,70,37,20,88,22,93,82,87,27,80,61,17,52,30,49
60,92,0,96,22,62,53,87,50,82,97,47,49,47,56,50,78,18,35,26,51,49,50,15,50,53,58,66,99,56,80,26,63,11,34,100,55,14,35,41,64,10,48,22,58,79,28,69,99,16,94,14,29,100,12,53,88,78,19,46,85,88,63,73,46,53,95,30,19,61,65,60
64,11,96,0,65,45,99,85,92,39,78,66,50,81,98,92,89,93,80,12,19,97,85,26,100,25,56,10,99,50,69,19,19,61,28,38,55,63,44,17,66,91,13,17,71,84,20,30,96,59,91,26,43,54,11,77,10,49,38,56,12,100,100,77,52,86,14,58,48,84,27,64
80,90,22,65,0,49,66,29,90,49,57,82,55,29,31,23,53,45,21,26,24,15,99,74,12,62,44,44,43,72,75,91,70,38,89,80,27,65,51,51,79,56,79,13,100,95,52,86,64,56,67,30,32,42,81,12,16,35,64,60,62,52,14,82,18,71,45,73,41,67,37,80
82,77,62,45,49,0,90,58,27,94,42,72,97,76,46,76,86,70,34,92,42,35,53,78,56,95,51,84,74,31,19,39,98,89,80,78,96,11,26,69,65,86,46,97,37,49,85,14,27,56,91,66,99,50,58,42,41,56,27,99,71,13,31,87,99,71,32,26,17,40,37,82
49,94,53,99,66,90,0,85,40,35,44,46,72,75,93,16,30,74,65,54,36,22,79,79,97,82,43,25,12,42,63,83,44,31,29,76,30,37,56,14,92,59,62,53,22,20,19,66,86,58,10,91,89,21,99,83,39,46,88,27,10,11,50,13,100,11,93,47,51,77,65,49
49,72,87,85,29,58,85,0,77,94,15,93,28,61,97,25,44,65,42,57,20,52,54,48,76,33,39,15,21,80,56,34,81,33,84,17,70,88,58,37,44,18,78,38,77,76,44,38,49,37,58,38,17,52,42,57,71,98,98,66,54,87,69,50,49,82,26,91,46,52,40,49
47,53,50,92,90,27,40,77,0,10,97,93,43,76,83,97,36,81,57,81,29,24,89,36,59,16,97,65,25,52,59,71,92,34,60,75,87,87,18,52,31,98,11,46,13,22,35,63,22,40,30,12,83,99,39,83,100,52,65,42,21,34,44,63,22,75,62,42,12,98,13,47
46,97,82,39,49,94,35,94,10,0,39,72,30,33,73,48,86,59,75,77,80,12,28,37,97,94,91,58,98,78,92,55,15,92,35,88,93,95,67,71,16,56,18,29,46,20,95,100,72,56,62,27,96,46,77,73,72,42,52,65,53,17,22,51,22,24,63,70,95,43,47,46
95,45,97,78,57,42,44,15,97,39,0,98,79,73,18,16,82,63,88,53,69,11,94,67,19,25,43,95,33,72,42,70,31,21,60,33,26,43,32,24,52,73,35,97,57,41,98,59,65,36,83,43,71,56,76,14,85,93,23,43,94,66,60,96,46,14,85,45,29,70,80,95
97,67,47,66,82,72,46,93,93,72,98,0,15,14,54,46,39,31,99,29,33,73,63,79,63,22,89,53,19,53,98,92,27,89,26,23,100,54,82,90,78,33,88,54,72,87,88,51,58,54,29,49,61,83,21,90,10,24,53,52,16,94,36,11,59,32,87,94,10,42,94,97
28,35,49,50,55,97,72,28,43,30,79,15,0,24,70,56,77,10,33,12,25,81,19,56,27,70,48,94,47,88,98,26,53,44,45,80,29,57,32,42,93,14,62,57,61,88,95,17,74,92,35,98,95,14,16,100,77,38,38,14,46,94,75,65,81,79,85,52,87,63,15,28
73,26,47,81,29,76,75,61,76,33,73,14,24,0,85,39,99,91,60,51,26,39,79,66,63,23,19,43,89,56,87,17,62,25,49,45,26,95,97,93,58,46,93,74,44,56,48,50,41,42,30,52,17,37,72,77,86,46,16,86,90,99,46,40,54,49,19,75,82,45,22,73
21,23,56,98,31,46,93,97,83,73,18,54,70,85,0,83,96,29,56,82,38,100,85,98,17,77,79,39,83,29,69,57,73,97,76,60,30,22,72,17,25,54,48,25,50,41,89,73,12,25,25,21,100,58,61,87,74,13,86,71,34,80,81,82,51,90,12,70,48,39,43,21
52,12,50,92,23,76,16,25,97,48,16,46,56,39,83,0,96,25,83,10,73,66,74,46,36,79,100,82,18,34,86,13,97,57,45,91,32,65,52,61,33,73,89,53,50,17,53,29,70,94,46,30,41,83,93,78,37,32,70,34,99,55,82,94,72,98,95,78,85,61,87,52
83,72,78,89,53,86,30,44,36,86,82,39,77,99,96,96,0,82,26,82,39,20,80,76,45,98,49,37,79,95,14,58,10,98,36,82,89,77,90,72,90,82,80,20,76,56,99,28,61,92,19,30,79,64,40,82,67,64,32,30,53,93,26,18,17,81,32,37,55,12,29,83
