16
0,4,1,1,3,4,4,2,1,2,4,4,2,1,1,3,3,0
0,57,55,73,17,37,12,77,72,72,55,50,53,77,65,39,63,0
57,0,15,97,95,32,13,50,79,31,11,87,98,64,88,97,55,57
55,15,0,34,29,52,60,65,46,53,66,99,79,91,37,23,30,55
73,97,34,0,54,21,60,41,32,51,45,13,19,26,30,38,44,73
17,95,29,54,0,63,59,85,40,61,84,73,18,55,25,29,99,17
37,32,52,21,63,0,44,17,35,40,74,75,22,49,40,43,85,37
12,13,60,60,59,44,0,51,91,91,56,10,37,90,38,65,80,12
77,50,65,41,85,17,51,0,36,86,15,96,42,10,89,80,37,77
72,79,46,32,40,35,91,36,0,66,77,64,84,16,22,59,28,72
72,31,53,51,61,40,91,86,66,0,57,28,80,97,47,55,95,72
55,11,66,45,84,74,56,15,77,57,0,13,21,41,47,40,21,55
50,87,99,13,73,75,10,96,64,28,13,0,42,32,95,94,74,50
53,98,79,19,18,22,37,42,84,80,21,42,0,75,81,12,19,53
77,64,91,26,55,49,90,10,16,97,41,32,75,0,30,79,91,77
65,88,37,30,25,40,38,89,22,47,47,95,81,30,0,41,77,65
39,97,23,38,29,43,65,80,59,55,40,94,12,79,41,0,20,39
63,55,30,44,99,85,80,37,28,95,21,74,19,91,77,20,0,63
0,57,55,73,17,37,12,77,72,72,55,50,53,77,65,39,63,0
