47
0,1,2,3,4,4,3,4,3,3,3,4,1,2,4,2,4,4,2,1,4,2,4,4,1,4,4,3,3,4,1,3,4,2,2,1,3,3,2,1,3,3,3,4,3,4,2,2,0
0,14,70,30,86,72,69,13,26,89,87,59,60,48,90,63,44,82,89,39,88,21,22,32,17,82,94,100,38,71,67,56,21,16,62,16,95,98,65,76,95,26,12,17,79,85,92,23,0
14,0,86,82,100,45,99,42,83,53,34,74,84,25,47,36,26,98,33,13,60,33,70,60,76,76,95,93,51,45,59,87,23,58,61,18,78,76,83,17,93,95,29,20,34,57,19,45,14
70,86,0,79,10,56,86,81,64,44,10,44,59,57,17,63,35,66,27,99,93,16,16,58,26,27,46,25,84,12,87,41,87,76,10,38,26,18,44,32,71,63,45,95,76,64,57,27,70
30,82,79,0,10,83,80,86,78,18,47,53,37,11,88,20,22,52,96,74,14,36,26,98,60,73,51,56,26,79,57,96,62,28,59,84,70,26,27,73,86,86,68,12,28,95,17,34,30
86,100,10,10,0,91,14,64,14,94,52,84,57,61,25,54,43,95,34,65,49,69,15,63,74,32,11,60,86,90,67,50,44,61,25,42,33,61,91,91,83,45,74,50,71,71,82,42,86
72,45,56,83,91,0,46,94,57,29,13,15,67,82,16,23,67,30,91,12,17,41,29,53,96,86,15,72,27,42,34,38,35,61,12,92,39,63,32,72,73,38,21,45,31,60,91,71,72
69,99,86,80,14,46,0,33,34,95,59,74,75,18,86,77,76,57,18,97,17,96,98,20,71,29,88,16,26,60,96,65,64,54,76,43,62,58,11,89,86,51,50,32,34,62,99,53,69
13,42,81,86,64,94,33,0,72,92,100,33,86,48,37,52,94,97,11,42,44,19,61,40,67,25,77,30,32,42,32,92,56,49,76,61,45,20,92,11,96,46,14,85,61,55,91,90,13
26,83,64,78,14,57,34,72,0,95,93,24,85,26,95,85,72,20,40,75,73,60,18,44,47,37,22,17,82,93,60,92,31,68,86,46,86,79,33,96,89,29,52,50,41,17,48,33,26
89,53,44,18,94,29,95,92,95,0,48,54,71,60,29,40,38,48,78,19,13,55,32,21,58,17,60,85,73,25,61,45,49,38,77,78,99,84,54,74,98,98,78,27,68,83,98,54,89
87,34,10,47,52,13,59,100,93,48,0,40,72,57,37,31,41,81,31,39,66,33,77,16,51,86,40,15,54,15,89,70,97,72,81,29,76,31,49,17,31,67,91,78,65,25,50,86,87
59,74,44,53,84,15,74,33,24,54,40,0,56,41,98,45,25,15,53,65,40,57,28,81,54,35,65,50,92,66,79,61,31,94,42,25,56,63,90,75,17,57,23,63,100,11,50,19,59
