30
0,3,2,2,2,1,4,4,3,2,3,1,1,2,1,4,3,3,3,4,4,3,2,3,1,1,3,2,1,2,4,0
0,35,29,86,93,93,85,98,69,74,55,42,73,53,15,52,60,94,48,75,82,57,95,57,58,25,70,60,14,37,81,0
35,0,94,80,33,13,52,45,30,24,32,95,20,100,63,94,42,95,67,88,58,53,41,19,99,50,32,89,61,39,50,35
29,94,0,68,93,44,58,94,40,88,38,42,99,99,32,56,44,74,32,27,48,67,70,88,41,78,33,55,47,46,93,29
86,80,68,0,79,94,49,27,42,12,16,52,34,85,70,84,56,66,31,65,88,42,71,18,11,11,67,75,78,51,71,86
93,33,93,79,0,43,85,86,53,91,83,91,81,28,52,27,92,58,64,74,85,81,42,38,29,56,21,90,40,77,26,93
93,13,44,94,43,0,17,78,55,79,81,41,61,56,81,72,52,23,83,32,66,54,82,99,95,64,59,46,52,22,43,93
85,52,58,49,85,17,0,12,53,63,60,37,15,27,45,58,72,97,74,81,35,37,75,24,72,36,48,51,72,98,62,85
98,45,94,27,86,78,12,0,77,33,48,96,23,32,43,33,30,34,16,96,79,18,97,96,16,71,49,66,91,75,87,98
69,30,40,42,53,55,53,77,0,46,22,78,52,74,29,59,24,44,19,80,34,43,97,49,91,90,28,68,43,88,95,69
74,24,88,12,91,79,63,33,46,0,67,53,44,54,88,98,53,91,15,63,49,83,51,34,68,50,42,46,94,42,71,74
55,32,38,16,83,81,60,48,22,67,0,51,90,31,81,50,81,81,76,49,75,54,33,73,34,91,25,36,42,74,71,55
42,95,42,52,91,41,37,96,78,53,51,0,63,43,50,43,65,63,14,46,32,82,61,74,91,16,37,98,27,73,15,42
73,20,99,34,81,61,15,23,52,44,90,63,0,87,21,16,43,55,95,51,42,93,88,87,85,42,87,37,39,22,33,73
53,100,99,85,28,56,27,32,74,54,31,43,87,0,86,36,28,79,64,23,15,51,30,94,95,10,84,27,47,45,32,53
15,63,32,70,52,81,45,43,29,88,81,50,21,86,0,54,100,84,73,47,79,90,71,36,11,76,74,22,42,76,64,15
52,94,56,84,27,72,58,33,59,98,50,43,16,36,54,0,12,90,64,66,48,51,88,88,100,62,44,89,56,76,30,52
60,42,44,56,92,52,72,30,24,53,81,65,43,28,100,12,0,100,97,42,47,83,62,37,67,17,78,79,43,40,86,60
94,95,74,66,58,23,97,34,44,91,81,63,55,79,84,90,100,0,57,70,83,13,80,54,62,98,57,21,78,10,46,94
48,67,32,31,64,83,74,16,19,15,76,14,95,64,73,64,97,57,0,18,85,61,70,97,60,35,55,38,58,95,25,48
75,88,27,65,74,32,81,96,80,63,49,46,51,23,47,66,42,70,18,0,24,19,14,33,50,44,85,17,55,61,19,75
82,58,48,88,85,66,35,79,34,49,75,32,42,15,79,48,47,83,85,24,0,72,64,99,29,71,88,27,88,25,79,82
57,53,67,42,81,54,37,18,43,83,54,82,93,51,90,51,83,13,61,19,72,0,39,28,52,65,53,26,67,21,92,57
95,41,70,71,42,82,75,97,97,51,33,61,88,30,71,88,62,80,70,14,64,39,0,64,44,38,22,44,88,90,71,95
57,19,88,18,38,99,24,96,49,34,73,74,87,94,36,88,37,54,97,33,99,28,64,0,75,77,78,88,37,66,12,57
58,99,41,11,29,95,72,16,91,68,34,91,85,95,11,100,67,62,60,50,29,52,44,75,0,71,55,59,97,92,12,58
25,50,78,11,56,64,36,71,90,50,91,16,42,10,76,62,17,98,35,44,71,65,38,77,71,0,95,86,56,35,87,25
70,32,33,67,21,59,48,49,28,42,25,37,87,84,74,44,78,57,55,85,88,53,22,78,55,95,0,89,94,61,77,70
60,89,55,75,90,46,51,66,68,46,36,98,37,27,22,89,79,21,38,17,27,26,44,88,59,86,89,0,13,42,94,60
14,61,47,78,40,52,72,91,43,94,42,27,39,47,42,56,43,78,58,55,88,67,88,37,97,56,94,13,0,93,10,14
37,39,46,51,77,22,98,75,88,42,74,73,22,45,76,76,40,10,95,61,25,21,90,66,92,35,61,42,93,0,61,37
81,50,93,71,26,43,62,87,95,71,71,15,33,32,64,30,86,46,25,19,79,92,71,12,12,87,77,94,10,61,0,81
0,35,29,86,93,93,85,98,69,74,55,42,73,53,15,52,60,94,48,75,82,57,95,57,58,25,70,60,14,37,81,0
