102
0,1,3,2,1,2,1,1,2,2,4,3,4,3,1,1,2,4,1,3,2,3,4,4,4,1,2,1,4,4,2,1,1,4,2,4,1,1,3,1,1,4,2,4,4,4,4,1,2,4,3,1,1,4,1,3,3,4,2,4,4,4,3,1,4,2,4,3,4,3,2,3,3,2,4,3,1,3,1,3,1,1,2,2,3,1,2,3,1,4,4,1,1,1,4,4,4,4,1,3,2,3,3,0
0,24,93,90,58,71,89,19,16,76,40,83,18,78,51,67,30,22,34,13,91,47,55,46,66,44,27,10,74,86,40,81,74,73,19,60,42,24,68,88,67,41,35,48,82,45,67,12,96,37,52,82,22,50,96,34,64,62,98,12,29,56,34,44,86,67,62,44,50,35,50,21,76,26,30,47,75,94,44,82,71,21,100,91,43,63,62,96,100,55,98,75,62,20,22,34,86,41,48,99,25,45,25,0
24,0,23,94,84,72,57,88,33,81,20,30,14,26,99,65,28,83,82,76,61,70,46,16,34,77,97,78,66,75,20,28,97,82,21,63,65,49,39,89,59,79,67,63,42,55,38,65,99,70,75,57,12,22,70,69,99,96,59,82,18,80,14,82,32,90,65,76,49,50,22,59,99,75,86,99,73,80,30,89,15,44,86,33,62,17,21,66,83,42,48,97,14,42,26,52,12,87,65,39,15,35,94,24
93,23,0,61,19,54,87,51,71,21,98,89,87,72,50,39,52,86,41,78,91,12,27,56,48,75,58,37,90,15,24,96,44,94,79,44,78,66,59,100,74,52,77,42,63,29,95,84,90,48,11,33,50,56,12,58,14,17,57,85,27,55,27,14,92,38,14,14,30,67,37,32,49,68,49,28,56,15,80,84,31,29,65,70,90,16,48,72,84,47,33,48,45,16,13,36,81,40,32,44,56,55,97,93
90,94,61,0,35,56,75,35,49,33,58,88,87,71,70,11,19,17,84,58,54,90,30,97,26,58,22,83,12,18,67,82,36,32,15,60,38,68,56,10,84,91,31,83,50,71,94,96,83,92,38,87,22,99,74,14,41,38,83,99,94,84,51,86,84,95,19,39,35,90,78,45,46,67,24,33,25,40,83,62,59,70,33,19,38,34,56,55,37,65,61,86,11,50,24,57,23,66,21,40,33,86,84,90
58,84,19,35,0,36,25,33,26,29,27,80,91,57,70,91,79,54,54,87,79,42,85,64,22,63,72,10,34,54,16,67,73,33,61,90,88,54,80,42,97,60,69,80,52,37,71,17,69,20,48,34,29,43,42,70,77,93,77,16,64,93,85,63,15,77,71,31,75,13,95,83,77,100,55,87,39,40,10,58,94,45,45,60,60,65,48,53,73,54,94,40,63,99,59,34,93,90,49,94,56,62,17,58
71,72,54,56,36,0,60,51,34,21,44,29,56,57,91,32,72,38,70,12,89,60,75,47,39,60,88,13,39,28,32,61,51,59,78,10,86,36,61,44,30,29,98,81,61,25,76,48,73,48,78,47,92,15,50,100,90,91,69,41,10,86,37,79,95,87,48,88,35,69,25,68,59,32,48,63,22,57,10,97,36,92,30,32,45,90,79,83,95,14,85,13,79,83,73,35,10,61,21,10,54,70,63,71
89,57,87,75,25,60,0,98,22,37,24,96,40,10,19,87,50,10,45,66,26,57,98,69,81,66,25,13,43,17,20,86,44,49,81,55,64,91,91,100,50,36,54,76,43,40,82,92,35,20,90,67,77,100,63,97,21,47,90,23,51,69,83,14,56,11,41,82,13,58,33,22,70,83,42,97,20,53,49,70,68,33,51,34,80,46,43,80,66,53,30,77,60,38,21,98,78,36,29,71,51,61,89,89
19,88,51,35,33,51,98,0,59,26,59,98,79,68,80,45,93,69,43,15,73,36,79,29,42,91,84,86,15,37,14,12,64,91,64,24,91,13,41,47,29,39,78,97,15,83,31,45,49,53,16,100,80,43,34,40,23,65,51,61,93,78,52,57,93,62,53,35,69,25,71,12,47,40,29,55,68,76,31,43,81,98,18,71,82,33,29,68,42,43,83,24,70,95,41,80,33,48,59,84,28,53,15,19
16,33,71,49,26,34,22,59,0,74,86,100,70,90,24,57,97,16,39,60,18,24,33,17,26,34,14,96,56,19,26,73,96,14,24,34,72,17,96,88,19,31,32,35,15,64,69,87,45,96,40,15,78,33,99,14,27,14,91,38,41,57,93,28,53,50,93,88,87,74,29,46,85,100,53,99,16,45,92,56,16,93,31,10,56,92,22,82,76,55,77,10,61,22,86,25,37,22,89,22,11,44,22,16
76,81,21,33,29,21,37,26,74,0,30,46,71,14,96,29,87,22,90,46,20,41,53,81,68,98,51,36,50,61,18,75,51,72,92,30,43,85,68,93,33,47,50,81,14,95,19,75,54,30,16,76,71,67,67,40,59,10,88,20,52,33,25,19,16,98,15,15,26,15,48,28,34,56,53,53,26,84,60,27,42,53,49,25,32,16,34,43,54,47,16,59,34,46,58,38,12,57,50,95,93,86,79,76
40,20,98,58,27,44,24,59,86,30,0,61,67,57,25,63,80,96,74,33,82,47,52,23,76,20,45,16,77,60,11,64,69,71,41,34,89,89,32,95,74,62,52,45,86,16,12,71,90,81,63,98,29,34,95,61,61,46,81,84,40,31,51,78,50,83,28,75,94,66,94,63,67,27,48,45,90,11,96,64,81,48,19,88,48,20,72,11,11,30,55,79,46,82,81,22,41,26,27,21,26,78,60,40
83,30,89,88,80,29,96,98,100,46,61,0,47,24,88,53,42,87,23,57,19,83,29,77,50,47,58,10,94,58,52,70,45,91,88,40,50,69,57,38,86,80,78,95,34,79,63,33,42,29,15,69,21,26,76,87,94,50,31,88,93,93,56,85,16,93,16,81,80,50,26,61,23,99,95,35,71,64,25,21,20,19,52,46,67,72,28,72,68,99,33,69,20,20,69,94,24,38,65,96,13,71,57,83
18,14,87,87,91,56,40,79,70,71,67,47,0,68,77,61,86,82,17,69,14,37,10,69,52,21,60,86,35,26,23,96,71,14,19,23,31,38,58,58,20,59,69,10,61,35,11,27,98,58,25,53,78,94,26,71,98,82,37,10,52,88,25,70,89,49,41,84,72,46,66,32,29,33,15,12,17,79,57,51,76,20,87,84,26,100,47,67,10,67,14,42,35,76,80,100,54,19,59,81,44,65,91,18
78,26,72,71,57,57,10,68,90,14,57,24,68,0,20,53,86,60,61,76,31,33,71,42,25,31,90,31,66,63,49,66,66,52,72,80,36,77,40,42,11,89,36,94,76,99,16,91,82,36,92,21,12,59,49,21,92,67,100,98,84,99,99,92,21,28,11,67,99,10,97,100,62,64,37,26,68,59,87,27,41,48,62,44,27,37,10,76,59,97,25,96,95,74,47,79,89,58,22,87,88,12,18,78
51,99,50,70,70,91,19,80,24,96,25,88,77,20,0,62,68,35,65,29,22,17,15,68,86,69,13,63,21,95,29,97,65,72,44,49,52,13,80,36,64,12,69,63,40,41,78,15,15,54,97,72,12,48,30,89,64,23,97,59,67,49,93,55,83,57,99,72,34,35,54,51,40,63,72,67,59,21,20,83,10,63,100,70,56,94,81,46,46,51,67,40,42,98,64,91,69,70,28,91,21,12,57,51
67,65,39,11,91,32,87,45,57,29,63,53,61,53,62,0,31,15,17,41,56,66,63,64,78,64,65,40,84,37,62,42,86,34,18,94,49,62,25,85,83,43,72,18,44,67,98,83,64,27,81,98,14,27,63,98,16,68,62,62,92,33,58,34,42,22,46,21,44,95,35,96,13,70,40,31,59,45,62,83,86,67,11,55,24,70,97,74,27,47,60,18,13,67,68,68,56,12,35,83,97,25,89,67
30,28,52,19,79,72,50,93,97,87,80,42,86,86,68,31,0,20,13,95,43,98,42,22,26,45,54,76,17,63,31,42,87,78,40,67,26,66,84,94,25,67,16,13,87,24,40,18,95,40,22,83,41,84,81,33,50,17,63,77,37,98,57,44,80,36,18,91,96,74,61,88,21,96,87,76,59,98,34,77,51,81,58,80,20,100,100,48,34,23,69,68,13,14,30,85,83,89,90,35,70,83,57,30
22,83,86,17,54,38,10,69,16,22,96,87,82,60,35,15,20,0,58,97,18,89,40,41,85,51,98,71,22,97,30,81,88,75,76,71,64,17,79,12,60,39,30,73,84,63,14,25,69,96,26,46,42,24,88,51,76,14,54,65,43,65,55,92,32,38,49,94,17,73,63,38,81,96,30,85,79,97,62,59,77,37,68,79,78,57,66,53,15,66,76,82,73,85,31,72,22,72,81,13,46,22,88,22
34,82,41,84,54,70,45,43,39,90,74,23,17,61,65,17,13,58,0,68,15,96,77,35,31,10,97,47,93,50,78,17,57,77,21,64,90,43,90,34,56,66,26,66,81,57,85,56,62,56,79,71,32,76,54,70,33,69,37,19,17,59,98,37,81,32,49,28,66,59,49,30,14,17,51,90,59,35,19,53,62,70,47,10,83,94,97,56,39,39,36,35,76,100,32,12,59,89,88,19,32,100,11,34
13,76,78,58,87,12,66,15,60,46,33,57,69,76,29,41,95,97,68,0,89,45,47,26,21,77,97,72,29,77,88,27,40,62,97,61,34,49,33,78,60,60,10,64,96,35,11,38,76,26,71,93,47,70,24,17,42,92,89,80,82,97,85,76,71,69,88,72,68,58,26,56,58,62,64,72,75,70,68,86,17,34,91,77,24,84,77,51,55,77,89,44,78,63,40,79,68,24,82,74,19,82,62,13
91,61,91,54,79,89,26,73,18,20,82,19,14,31,22,56,43,18,15,89,0,41,10,22,10,59,97,94,59,70,84,57,82,44,23,34,50,53,78,26,47,14,42,69,42,36,86,55,12,71,84,68,57,85,23,42,53,89,36,95,10,72,26,20,23,11,47,86,21,84,56,63,68,36,38,22,41,92,48,58,71,21,77,81,29,44,85,14,66,46,52,46,52,49,36,48,52,74,74,50,67,74,16,91
47,70,12,90,42,60,57,36,24,41,47,83,37,33,17,66,98,89,96,45,41,0,59,57,43,95,56,45,43,29,56,78,67,53,87,50,36,78,44,46,33,54,29,85,36,46,63,12,25,100,24,38,14,78,83,38,69,32,89,18,49,39,83,13,65,44,71,42,84,40,97,66,44,98,85,11,35,96,97,14,66,100,58,27,85,57,34,33,66,76,79,19,68,90,36,85,87,45,85,95,75,45,84,47
