66
0,1,3,4,3,2,3,1,2,3,3,1,3,1,3,3,4,3,4,3,4,2,2,4,3,2,1,1,4,1,2,2,1,1,4,1,1,1,1,2,1,2,1,2,2,2,4,4,1,3,4,1,2,4,1,2,2,1,2,4,4,3,1,1,2,3,2,0
0,99,26,64,37,63,32,86,85,23,99,32,95,38,37,33,54,33,27,100,20,76,43,45,86,38,17,69,21,93,23,84,87,20,73,38,52,86,13,23,46,15,19,21,29,30,25,19,49,78,22,96,70,26,33,32,43,85,26,87,68,37,19,38,89,27,35,0
99,0,55,84,49,33,26,35,81,20,20,16,54,43,94,97,29,72,64,15,30,47,13,79,68,72,47,66,15,97,84,99,12,10,22,24,63,16,40,54,54,69,71,83,23,44,59,55,23,36,72,26,15,71,70,90,26,38,95,16,34,34,94,67,94,88,28,99
26,55,0,60,72,41,63,11,65,14,12,53,93,15,18,37,66,66,51,54,42,76,84,36,27,71,73,100,65,85,82,20,18,68,23,64,88,42,28,55,31,86,45,99,59,41,65,34,88,23,92,74,68,17,35,48,82,38,20,59,52,88,73,90,26,20,27,26
64,84,60,0,55,36,22,53,60,60,34,73,56,39,29,68,95,41,68,69,73,13,15,68,10,44,20,36,22,26,45,77,45,15,81,83,10,76,99,35,97,20,53,50,19,77,75,67,57,31,44,64,23,62,61,80,48,98,27,91,40,73,64,10,98,86,65,64
37,49,72,55,0,67,17,83,59,45,39,28,99,23,28,36,10,99,78,84,55,93,79,80,100,26,84,58,30,32,76,63,94,51,57,21,23,63,70,59,20,54,89,90,33,81,48,92,87,33,75,55,68,89,82,99,93,95,28,92,32,33,20,27,56,16,46,37
63,33,41,36,67,0,44,66,88,33,86,24,98,99,88,67,57,33,87,80,92,51,56,39,48,22,85,17,43,37,76,74,42,21,85,73,17,65,95,79,42,20,48,89,92,73,23,53,75,87,47,82,96,76,22,46,93,85,17,62,78,31,49,57,80,45,19,63
32,26,63,22,17,44,0,79,48,74,91,50,42,56,34,22,57,88,25,93,11,72,36,66,99,59,86,32,48,31,98,21,96,90,87,23,51,37,81,83,73,23,17,53,50,66,30,97,14,15,30,54,38,24,32,41,20,59,72,46,73,46,94,81,28,27,22,32
86,35,11,53,83,66,79,0,45,24,39,98,29,62,52,78,10,23,91,59,72,81,34,93,76,75,92,45,30,54,51,37,96,85,64,34,46,33,50,14,76,64,72,27,59,91,17,97,58,54,13,63,100,71,64,34,62,76,45,57,96,19,25,25,18,78,69,86
85,81,65,60,59,88,48,45,0,88,14,95,98,72,91,60,24,58,37,42,56,19,29,56,28,60,45,33,11,62,87,78,57,11,54,77,57,75,14,26,83,49,88,74,56,25,94,10,36,97,85,46,43,80,85,83,18,75,67,24,57,58,29,24,63,63,83,85
23,20,14,60,45,33,74,24,88,0,86,43,52,82,87,31,47,47,60,55,91,81,39,52,37,87,77,63,54,24,88,20,95,98,56,71,20,95,22,80,54,37,73,97,36,73,50,49,79,25,19,27,96,10,63,68,38,28,66,19,91,40,10,74,86,36,41,23
99,20,12,34,39,86,91,39,14,86,0,17,99,49,50,99,87,48,67,31,36,65,80,66,76,40,98,30,44,71,46,51,49,51,28,77,84,30,57,58,71,49,20,42,100,63,90,45,77,47,68,79,77,36,53,29,79,66,67,87,36,85,50,90,83,66,49,99
32,16,53,73,28,24,50,98,95,43,17,0,76,80,98,77,56,89,70,99,64,27,74,79,77,88,82,78,97,26,31,86,17,71,38,78,50,84,100,95,58,27,59,23,21,74,52,86,65,83,40,86,65,47,16,11,10,44,93,43,58,42,71,68,47,58,25,32
95,54,93,56,99,98,42,29,98,52,99,76,0,100,69,68,13,55,39,19,48,26,95,53,56,27,73,85,28,48,40,82,38,58,17,66,73,81,18,25,22,24,64,36,16,49,98,88,29,58,69,27,39,56,48,56,84,16,54,91,65,59,51,38,89,13,47,95
