73
0,2,4,3,3,4,4,1,3,4,3,4,3,2,1,1,3,3,1,3,1,3,2,3,2,1,1,2,4,4,2,1,1,1,2,2,1,2,3,3,4,4,1,3,2,4,3,2,2,4,4,1,3,2,4,2,2,2,4,3,4,2,3,3,1,3,1,1,2,1,4,1,2,3,0
0,78,17,66,62,75,54,27,96,25,86,55,73,87,31,17,22,85,51,50,64,38,40,68,84,44,48,94,60,69,29,89,78,11,18,61,70,69,94,73,44,41,66,34,99,40,45,53,42,60,42,97,28,61,91,75,10,54,66,87,18,45,40,35,72,28,20,48,27,67,17,39,33,58,0
78,0,32,85,46,72,70,29,17,70,53,36,35,75,21,64,48,20,10,76,78,68,58,74,80,19,15,34,91,29,73,39,92,93,29,52,23,56,31,40,68,54,75,44,43,30,22,99,77,39,52,99,54,11,46,84,88,36,76,71,36,65,67,54,10,21,27,68,35,19,16,40,87,19,78
17,32,0,48,82,89,56,60,72,93,14,44,92,45,21,99,62,73,97,78,14,58,72,81,82,99,100,20,39,80,64,33,67,23,21,33,61,38,57,75,76,99,82,63,62,59,60,81,46,51,61,64,42,47,56,32,30,53,91,67,58,17,59,96,18,62,76,45,53,28,46,10,28,100,17
66,85,48,0,22,85,67,98,65,70,52,19,83,56,62,31,58,45,13,30,51,56,87,88,13,93,24,61,26,40,51,24,86,83,33,41,75,79,70,68,75,98,39,77,48,83,35,76,37,39,81,76,73,58,44,19,89,70,49,45,92,51,30,100,79,68,82,21,51,71,53,36,50,29,66
62,46,82,22,0,48,71,68,41,58,29,24,46,68,75,23,42,68,47,18,25,41,30,16,51,61,84,21,95,48,58,70,82,95,43,65,65,43,45,98,12,25,72,61,14,76,28,19,63,23,34,68,94,58,65,94,60,10,71,81,53,99,50,65,94,30,45,30,54,54,73,66,85,24,62
75,72,89,85,48,0,52,42,44,36,39,100,97,38,33,94,10,86,43,28,80,34,52,46,46,25,72,20,91,80,92,89,70,23,25,22,69,79,88,76,27,30,12,97,16,46,10,94,59,99,65,33,15,14,100,75,97,45,96,58,61,57,27,44,97,32,68,38,11,30,66,48,49,20,75
54,70,56,67,71,52,0,70,29,96,42,33,32,54,62,29,87,49,96,34,54,64,95,28,52,32,82,25,18,57,46,70,62,29,64,49,77,60,91,96,82,77,14,58,99,29,10,78,51,33,78,23,45,35,84,10,77,96,65,41,85,35,52,96,16,40,56,48,27,51,80,43,55,79,54
27,29,60,98,68,42,70,0,52,55,43,57,47,96,24,82,89,32,94,59,66,70,21,73,46,94,71,54,19,60,32,41,99,66,95,70,40,24,18,25,80,94,85,24,30,40,27,78,44,79,53,98,55,93,44,24,41,21,36,93,53,50,37,94,69,60,89,32,97,29,30,61,71,43,27
96,17,72,65,41,44,29,52,0,41,77,98,36,58,69,33,17,59,99,23,36,73,45,69,73,84,35,59,89,28,24,82,58,57,33,37,24,17,83,43,90,44,85,43,33,42,26,99,66,100,66,39,77,92,41,42,46,90,100,58,69,50,44,23,43,25,40,52,12,83,75,84,40,56,96
25,70,93,70,58,36,96,55,41,0,41,19,69,28,46,88,25,22,74,68,96,24,65,90,47,98,26,27,69,12,16,30,21,42,16,66,32,71,36,14,11,83,95,10,41,71,59,93,76,69,96,11,40,70,71,19,70,30,43,68,65,70,61,30,46,70,60,100,37,58,11,43,98,82,25
86,53,14,52,29,39,42,43,77,41,0,45,45,53,37,11,67,24,83,87,98,92,93,44,31,12,13,24,37,31,54,64,13,60,26,52,79,54,55,35,79,20,66,96,86,54,69,66,61,57,96,58,39,56,11,46,74,66,61,95,27,52,32,31,56,27,95,21,70,22,40,57,57,33,86
