65
0,4,3,4,4,1,3,1,2,1,1,1,3,3,2,3,3,4,3,1,3,2,4,4,4,2,2,4,1,1,2,4,4,3,2,2,2,2,2,3,3,3,3,3,1,3,2,2,3,4,2,2,4,2,3,1,3,2,2,4,1,3,1,3,2,2,0
0,57,81,39,78,74,85,20,69,52,56,78,50,50,93,80,16,31,29,16,89,58,93,72,17,92,88,28,26,20,42,22,69,49,36,67,49,78,64,31,10,72,41,21,68,29,13,79,85,52,16,94,15,23,33,81,92,40,95,64,68,40,39,92,88,36,0
57,0,99,26,34,67,47,95,23,100,43,65,80,70,100,13,72,59,19,54,65,28,47,93,63,38,43,83,29,94,47,96,14,51,79,28,55,56,72,96,66,40,15,74,46,41,48,59,90,86,14,14,74,45,90,77,17,24,98,62,70,18,60,27,22,83,57
81,99,0,95,18,85,37,13,14,50,31,89,93,95,78,27,42,45,36,84,14,57,87,26,18,58,21,62,96,99,31,56,49,11,17,28,59,40,27,58,28,51,45,43,54,90,97,31,16,95,98,57,96,26,94,65,73,11,68,30,36,23,14,77,33,34,81
39,26,95,0,25,46,18,22,36,10,89,92,52,54,84,62,94,81,22,74,42,80,52,53,72,75,85,42,81,50,22,94,69,78,30,55,35,56,10,83,43,63,72,28,85,25,73,78,85,72,56,20,53,31,78,67,95,94,68,77,94,19,40,88,36,76,39
78,34,18,25,0,80,38,27,68,78,91,47,33,63,57,26,37,86,85,36,97,28,10,69,25,78,39,37,64,81,97,63,35,46,49,48,68,58,43,28,64,92,64,26,77,43,12,16,65,28,19,10,16,44,72,55,66,23,96,52,66,27,64,34,78,30,78
74,67,85,46,80,0,59,24,84,15,77,23,25,55,38,63,70,65,63,39,56,54,79,52,36,22,17,37,59,24,15,38,95,55,17,52,80,20,24,83,16,37,54,58,73,81,51,23,87,54,28,59,49,67,97,85,12,98,43,75,96,12,99,17,61,56,74
85,47,37,18,38,59,0,31,47,36,27,51,24,42,66,19,37,14,12,31,47,84,96,21,11,20,70,23,40,28,61,70,67,76,36,21,14,100,25,81,39,57,95,13,90,44,86,88,52,83,21,62,38,43,56,21,85,29,83,99,58,90,84,44,56,10,85
20,95,13,22,27,24,31,0,30,77,67,50,74,15,44,30,78,80,91,91,44,26,81,43,73,38,75,21,97,53,23,70,19,99,48,43,96,63,84,10,45,21,76,60,20,37,45,76,22,39,74,98,46,85,49,51,100,28,36,81,32,67,96,21,63,32,20
69,23,14,36,68,84,47,30,0,85,86,30,52,93,26,12,34,35,51,79,47,65,76,87,87,36,70,93,19,33,82,46,80,78,73,20,86,87,77,98,69,89,25,57,87,22,92,89,42,90,64,57,28,78,75,83,26,94,44,87,27,84,29,32,56,11,69
52,100,50,10,78,15,36,77,85,0,28,23,50,30,87,70,90,19,29,52,42,77,17,35,29,26,56,21,89,81,18,58,52,31,60,11,69,76,66,49,90,51,12,47,73,23,41,40,76,58,62,35,58,70,38,59,77,43,79,34,50,70,42,21,62,45,52
56,43,31,89,91,77,27,67,86,28,0,82,72,72,82,95,23,59,69,100,58,11,52,60,88,83,66,19,73,34,100,35,68,15,34,72,72,17,72,48,95,96,87,37,73,15,85,16,97,16,17,11,68,19,33,84,87,64,31,40,99,13,63,19,58,25,56
78,65,89,92,47,23,51,50,30,23,82,0,93,63,66,75,90,32,38,93,18,79,28,79,35,61,97,40,47,49,99,93,88,60,43,80,12,38,32,25,39,39,67,40,61,94,63,31,53,55,79,10,52,27,78,30,39,61,80,99,80,13,34,30,23,71,78
50,80,93,52,33,25,24,74,52,50,72,93,0,73,62,36,55,47,38,36,62,42,45,29,40,50,32,38,64,45,86,70,17,17,36,12,62,56,49,99,35,75,73,12,17,60,78,53,31,38,23,25,51,10,34,46,95,85,31,10,33,45,50,58,84,92,50
50,70,95,54,63,55,42,15,93,30,72,63,73,0,48,33,67,74,89,71,97,61,32,83,57,42,63,10,87,15,54,49,99,76,46,10,23,22,83,43,58,86,32,74,73,78,97,27,65,49,69,18,67,80,57,58,27,77,37,20,32,66,90,45,66,50,50
