85
0,1,2,2,3,2,1,2,3,4,3,1,1,3,2,1,2,1,2,4,1,4,2,1,2,4,4,4,2,4,4,4,2,2,4,3,4,2,2,4,4,1,4,4,2,1,4,4,2,1,2,3,4,2,2,3,3,3,3,2,4,4,1,3,2,3,4,2,3,4,3,1,1,2,3,2,4,2,2,4,3,3,3,3,1,3,0
0,97,30,79,79,55,46,26,38,37,97,23,42,49,20,17,67,12,36,16,68,92,33,38,37,59,96,25,49,14,25,48,61,80,67,53,51,84,93,75,93,67,37,90,78,31,100,15,94,84,23,75,46,41,20,45,58,75,88,73,32,79,48,10,89,65,75,64,12,32,37,85,33,69,32,14,36,98,47,92,12,72,89,64,87,61,0
97,0,68,25,19,52,55,72,78,95,100,24,61,63,27,67,55,99,54,64,59,10,67,18,56,58,62,30,55,37,77,58,37,48,47,15,91,91,14,51,95,76,22,61,51,69,57,72,38,39,78,89,59,19,88,12,48,54,96,40,47,46,55,69,13,39,72,60,73,22,83,87,90,66,43,68,44,61,82,94,54,64,69,79,39,28,97
30,68,0,65,31,97,34,69,72,95,71,29,87,69,58,21,55,31,37,47,84,99,73,86,64,81,58,68,52,74,91,29,79,75,43,23,48,17,91,41,58,59,15,51,77,87,54,85,96,63,98,75,31,65,18,38,63,95,87,30,69,100,71,27,71,23,73,88,40,58,22,38,69,23,100,74,80,43,10,33,67,12,57,56,61,56,30
79,25,65,0,28,88,87,48,43,96,19,97,90,12,73,87,85,56,22,45,33,24,96,76,31,65,67,60,43,75,31,57,19,86,70,75,48,14,26,83,55,27,53,57,80,56,56,53,44,15,63,46,11,21,52,86,40,36,81,30,91,40,43,97,31,30,93,84,97,13,39,34,32,57,93,54,90,62,34,12,80,61,41,82,11,79,79
79,19,31,28,0,17,79,93,48,67,56,21,57,31,48,27,73,35,43,50,81,94,63,52,14,76,20,18,59,13,28,19,100,84,21,16,52,34,27,89,26,42,98,45,61,84,91,45,13,49,34,66,81,59,46,12,19,14,87,62,96,82,34,72,73,33,53,97,41,93,23,56,29,98,77,29,70,96,96,53,95,27,45,48,81,50,79
55,52,97,88,17,0,28,91,54,39,93,46,50,89,81,88,38,75,33,46,28,17,51,51,73,51,67,52,20,13,98,92,17,32,85,17,100,79,67,62,24,70,48,22,75,69,65,15,29,54,83,32,59,36,32,62,10,54,65,19,49,23,69,10,86,79,79,11,100,77,55,27,44,44,27,45,38,60,90,49,51,71,90,98,69,94,55
46,55,34,87,79,28,0,69,78,89,24,21,74,91,78,80,68,40,85,70,72,10,13,25,15,74,27,30,36,61,52,29,17,26,43,19,43,23,56,59,95,65,68,21,87,87,48,73,75,16,91,21,89,68,75,97,11,71,81,56,53,95,56,43,37,90,17,24,19,21,95,71,38,62,19,25,82,60,71,70,97,20,58,49,33,65,46
26,72,69,48,93,91,69,0,51,76,34,73,81,15,29,43,94,37,11,34,71,47,56,27,76,47,37,100,84,31,19,74,18,77,28,85,97,28,92,82,14,50,27,35,14,84,57,36,30,50,61,73,86,95,15,40,59,12,23,99,39,96,68,48,99,56,86,22,59,59,35,86,94,16,92,79,77,47,91,13,15,44,69,49,76,44,26
38,78,72,43,48,54,78,51,0,80,41,62,25,69,30,100,41,58,91,84,77,80,58,42,64,19,98,14,69,90,11,18,89,91,85,59,74,28,93,24,24,32,83,44,39,23,60,30,34,65,66,35,36,97,45,98,82,51,65,48,10,42,98,32,43,65,50,49,94,67,73,71,91,62,62,19,26,76,73,78,40,64,66,82,10,47,38
