30
0,2,2,3,2,2,2,2,3,2,3,2,3,2,2,4,2,2,4,2,4,4,3,1,1,1,2,3,2,3,3,0
0,31,82,20,83,92,33,75,17,81,92,47,27,46,35,96,13,51,55,70,49,88,58,17,37,58,51,20,38,19,19,0
31,0,50,14,92,10,83,65,76,47,67,72,69,71,12,20,32,67,26,56,13,86,98,18,32,62,55,87,60,32,42,31
82,50,0,87,16,71,19,37,94,44,23,14,95,44,87,36,44,33,39,81,33,83,53,87,75,95,21,60,77,81,15,82
20,14,87,0,22,66,89,69,11,96,39,52,21,41,59,45,42,28,93,64,22,32,93,79,66,83,27,33,37,27,17,20
83,92,16,22,0,65,34,95,54,41,37,35,52,20,49,96,61,57,73,20,45,67,59,48,22,43,93,37,38,100,62,83
92,10,71,66,65,0,88,76,57,73,90,88,24,94,58,83,96,82,75,58,65,88,74,24,36,64,30,33,26,19,16,92
33,83,19,89,34,88,0,69,83,46,50,39,58,63,22,63,79,26,56,48,99,47,71,23,21,59,73,45,47,100,75,33
75,65,37,69,95,76,69,0,25,16,64,22,13,30,69,22,79,58,74,10,13,12,92,75,78,16,28,86,77,85,41,75
17,76,94,11,54,57,83,25,0,32,53,71,55,63,63,79,49,85,74,95,14,10,47,75,82,81,36,82,21,94,74,17
81,47,44,96,41,73,46,16,32,0,74,34,24,100,29,63,57,30,94,73,46,86,80,21,43,73,56,23,59,36,26,81
92,67,23,39,37,90,50,64,53,74,0,40,98,91,53,10,53,80,44,94,11,54,14,60,37,97,26,21,74,71,52,92
47,72,14,52,35,88,39,22,71,34,40,0,45,87,97,40,44,46,88,54,77,85,98,47,52,10,45,75,44,74,60,47
27,69,95,21,52,24,58,13,55,24,98,45,0,39,44,84,92,39,18,79,42,57,84,29,41,55,100,31,61,66,11,27
46,71,44,41,20,94,63,30,63,100,91,87,39,0,91,20,70,47,31,87,68,31,90,72,49,24,96,51,56,29,26,46
35,12,87,59,49,58,22,69,63,29,53,97,44,91,0,64,36,84,50,80,77,26,80,43,71,47,96,80,51,61,25,35
96,20,36,45,96,83,63,22,79,63,10,40,84,20,64,0,94,29,91,59,54,10,50,44,57,34,54,41,14,19,80,96
13,32,44,42,61,96,79,79,49,57,53,44,92,70,36,94,0,34,50,92,84,63,90,10,29,71,41,16,83,95,22,13
51,67,33,28,57,82,26,58,85,30,80,46,39,47,84,29,34,0,79,95,64,36,13,30,33,13,52,51,72,30,56,51
55,26,39,93,73,75,56,74,74,94,44,88,18,31,50,91,50,79,0,95,55,62,61,77,26,37,37,74,41,88,24,55
70,56,81,64,20,58,48,10,95,73,94,54,79,87,80,59,92,95,95,0,25,26,14,40,66,98,20,80,30,61,25,70
49,13,33,22,45,65,99,13,14,46,11,77,42,68,77,54,84,64,55,25,0,95,97,27,65,32,16,79,21,26,99,49
88,86,83,32,67,88,47,12,10,86,54,85,57,31,26,10,63,36,62,26,95,0,78,73,31,99,34,25,97,57,100,88
58,98,53,93,59,74,71,92,47,80,14,98,84,90,80,50,90,13,61,14,97,78,0,56,11,26,61,32,20,40,38,58
17,18,87,79,48,24,23,75,75,21,60,47,29,72,43,44,10,30,77,40,27,73,56,0,97,98,81,17,17,39,98,17
37,32,75,66,22,36,21,78,82,43,37,52,41,49,71,57,29,33,26,66,65,31,11,97,0,95,31,35,35,71,68,37
58,62,95,83,43,64,59,16,81,73,97,10,55,24,47,34,71,13,37,98,32,99,26,98,95,0,59,65,52,69,30,58
51,55,21,27,93,30,73,28,36,56,26,45,100,96,96,54,41,52,37,20,16,34,61,81,31,59,0,26,12,38,17,51
20,87,60,33,37,33,45,86,82,23,21,75,31,51,80,41,16,51,74,80,79,25,32,17,35,65,26,0,92,71,75,20
38,60,77,37,38,26,47,77,21,59,74,44,61,56,51,14,83,72,41,30,21,97,20,17,35,52,12,92,0,56,86,38
19,32,81,27,100,19,100,85,94,36,71,74,66,29,61,19,95,30,88,61,26,57,40,39,71,69,38,71,56,0,89,19
19,42,15,17,62,16,75,41,74,26,52,60,11,26,25,80,22,56,24,25,99,100,38,98,68,30,17,75,86,89,0,19
0,31,82,20,83,92,33,75,17,81,92,47,27,46,35,96,13,51,55,70,49,88,58,17,37,58,51,20,38,19,19,0
