19
0,3,3,4,3,4,1,4,3,3,2,3,2,4,4,4,3,3,2,3,0
0,26,67,29,77,86,61,69,16,48,21,95,20,51,79,78,99,94,11,60,0
26,0,22,85,99,45,64,37,41,17,42,93,57,92,88,16,27,47,38,41,26
67,22,0,27,99,95,62,50,51,22,57,24,36,95,18,42,16,26,88,38,67
29,85,27,0,69,44,82,13,23,91,61,14,65,52,72,57,52,27,42,74,29
77,99,99,69,0,56,97,55,59,45,62,21,22,91,24,69,19,49,36,22,77
86,45,95,44,56,0,94,12,41,94,25,70,84,34,77,91,48,100,30,95,86
61,64,62,82,97,94,0,89,86,31,29,33,91,40,73,69,36,18,35,62,61
69,37,50,13,55,12,89,0,25,21,27,66,36,79,62,48,26,28,14,97,69
16,41,51,23,59,41,86,25,0,66,62,60,63,74,80,42,30,53,37,87,16
48,17,22,91,45,94,31,21,66,0,20,83,83,74,82,21,23,56,20,13,48
21,42,57,61,62,25,29,27,62,20,0,27,78,29,77,79,77,72,18,20,21
95,93,24,14,21,70,33,66,60,83,27,0,65,70,91,81,18,23,30,18,95
20,57,36,65,22,84,91,36,63,83,78,65,0,87,99,89,85,94,72,25,20
51,92,95,52,91,34,40,79,74,74,29,70,87,0,86,48,80,20,35,45,51
79,88,18,72,24,77,73,62,80,82,77,91,99,86,0,39,34,49,22,97,79
78,16,42,57,69,91,69,48,42,21,79,81,89,48,39,0,51,17,43,60,78
99,27,16,52,19,48,36,26,30,23,77,18,85,80,34,51,0,62,73,40,99
94,47,26,27,49,100,18,28,53,56,72,23,94,20,49,17,62,0,57,100,94
11,38,88,42,36,30,35,14,37,20,18,30,72,35,22,43,73,57,0,24,11
60,41,38,74,22,95,62,97,87,13,20,18,25,45,97,60,40,100,24,0,60
0,26,67,29,77,86,61,69,16,48,21,95,20,51,79,78,99,94,11,60,0
