99
0,3,3,1,1,1,3,3,3,1,3,1,2,1,2,2,1,4,3,1,4,2,1,2,4,2,2,1,1,1,3,2,4,4,3,4,4,1,3,1,1,1,2,1,4,3,1,4,2,3,3,1,4,1,1,4,1,1,1,1,3,4,4,1,4,4,4,1,3,4,3,3,1,4,4,4,4,4,2,4,4,4,1,4,1,2,3,2,4,1,3,2,4,3,4,2,4,4,2,1,0
0,100,52,29,42,72,90,53,31,44,61,15,28,89,39,54,37,36,27,12,57,71,28,14,96,74,21,91,68,15,79,80,10,97,62,60,33,28,76,98,68,38,68,26,47,86,13,10,28,16,59,41,88,49,52,88,24,91,100,26,87,27,74,54,43,71,36,70,98,26,21,97,16,19,21,75,37,39,58,48,32,84,22,42,33,82,96,60,91,16,76,20,60,80,54,63,93,35,28,75,0
100,0,19,76,49,77,84,28,67,93,79,79,70,93,46,33,74,76,24,52,67,44,79,12,12,42,39,65,62,48,66,83,39,88,29,90,29,98,17,39,17,91,12,53,18,90,85,17,57,76,88,66,20,24,73,60,35,57,95,74,13,58,24,60,58,55,45,13,21,70,13,99,84,14,64,69,35,50,80,64,71,86,45,38,54,73,65,62,55,34,94,23,77,41,51,53,23,53,87,17,100
52,19,0,44,14,98,14,100,23,73,77,93,31,62,81,13,33,25,19,46,60,19,70,61,15,21,83,76,74,88,43,75,65,49,49,62,39,86,77,50,39,66,100,83,52,94,56,70,19,14,45,57,77,65,43,70,41,70,80,29,77,22,95,43,41,47,31,91,12,20,78,74,15,81,99,25,17,98,30,66,58,24,16,69,55,100,53,91,47,49,37,20,44,76,79,94,11,96,85,47,52
29,76,44,0,40,21,48,62,48,14,55,73,64,80,59,84,67,35,88,36,14,91,44,77,74,98,23,78,19,72,26,64,35,10,58,23,85,82,84,15,86,27,49,60,32,80,73,79,56,47,99,73,95,36,27,76,17,33,48,28,19,72,59,10,68,55,23,81,51,12,83,85,91,19,76,68,45,30,90,85,71,86,53,39,44,99,51,50,32,99,20,11,64,19,79,56,71,73,18,37,29
42,49,14,40,0,81,68,89,68,90,70,72,64,77,80,41,38,18,61,70,24,83,49,41,88,22,15,99,46,71,22,52,82,65,55,97,52,78,53,48,34,17,99,58,52,79,42,70,53,64,69,65,42,93,13,27,26,63,82,53,65,15,38,43,75,85,69,54,85,89,60,19,93,34,67,20,98,45,56,31,20,27,59,68,62,52,20,61,21,36,25,67,70,51,59,76,45,20,83,64,42
72,77,98,21,81,0,89,77,35,65,83,25,11,41,98,85,93,100,60,100,69,34,93,63,88,73,10,58,64,46,96,19,13,62,89,16,68,35,29,98,80,96,44,35,97,91,85,95,77,28,44,97,76,74,91,50,40,60,31,20,33,69,68,42,58,62,16,77,55,46,19,94,35,92,44,53,34,79,58,52,47,84,48,44,92,33,93,67,64,94,46,72,58,51,68,43,62,77,48,68,72
90,84,14,48,68,89,0,38,13,11,65,47,14,37,14,55,32,45,40,51,56,62,59,89,31,39,69,44,26,34,75,77,93,68,71,32,36,79,79,51,28,48,39,65,54,17,54,93,91,12,15,39,70,97,49,58,62,60,79,41,11,58,61,67,15,47,49,28,70,83,53,13,51,27,92,32,46,33,21,41,84,95,94,74,72,97,83,30,27,22,56,28,49,60,94,26,28,57,49,44,90
53,28,100,62,89,77,38,0,18,55,44,73,68,94,22,39,63,52,25,21,49,16,64,89,76,72,65,61,22,17,20,43,10,33,84,58,75,71,48,31,88,85,40,94,40,52,97,76,76,71,48,47,15,63,89,39,93,13,63,57,72,87,98,86,13,91,22,55,73,63,20,14,65,53,75,17,18,20,49,36,62,89,68,56,18,53,100,82,11,81,76,13,23,40,30,62,88,45,59,45,53
31,67,23,48,68,35,13,18,0,63,66,14,37,98,65,82,72,12,37,93,88,31,30,22,19,53,68,37,94,20,92,96,24,70,68,12,89,12,86,49,86,33,75,61,49,58,95,19,90,22,51,43,45,64,81,18,13,70,19,39,42,86,23,45,29,61,42,85,86,14,11,80,60,79,76,77,11,82,24,17,98,14,64,16,48,90,75,73,64,79,13,91,100,68,54,71,83,33,23,15,31
