63
0,4,1,4,1,3,2,3,2,4,3,4,3,1,2,3,3,4,1,3,2,4,1,3,2,4,4,4,2,3,3,4,4,2,1,1,1,3,2,3,3,3,4,4,1,3,1,2,1,2,2,4,3,4,1,4,1,2,3,3,2,2,4,1,0
0,96,84,27,68,99,57,99,82,52,63,15,62,54,33,61,10,38,100,90,37,81,44,44,22,42,92,61,88,77,37,95,54,99,17,64,88,35,82,79,23,13,27,69,16,33,44,29,16,74,98,37,80,40,89,24,11,76,44,78,72,15,49,17,0
96,0,78,62,13,67,47,64,32,56,78,83,23,58,97,26,92,87,25,32,66,18,90,90,52,42,47,70,70,46,31,22,62,49,59,20,94,61,88,63,56,10,16,23,65,24,76,50,10,15,65,22,68,33,57,59,15,70,85,20,74,58,75,43,96
84,78,0,40,48,13,17,85,45,20,45,99,58,45,93,29,60,89,33,63,75,36,78,32,42,58,93,48,32,79,36,19,72,78,26,13,32,20,87,15,20,23,84,27,43,80,28,65,73,28,24,47,67,49,28,26,73,82,81,46,91,81,16,26,84
27,62,40,0,85,62,70,31,31,38,36,37,73,79,52,69,20,27,49,67,81,17,37,47,98,64,66,96,63,36,27,59,76,65,14,23,73,37,38,34,92,89,16,45,98,35,95,58,47,39,39,15,23,98,70,57,77,63,98,94,13,10,15,13,27
68,13,48,85,0,75,42,62,24,71,65,97,68,97,78,29,79,62,36,87,75,74,58,29,87,21,75,37,42,51,67,66,18,93,19,76,15,15,56,99,18,21,85,57,73,94,62,90,27,19,57,64,84,96,47,50,54,91,14,52,79,90,34,30,68
99,67,13,62,75,0,34,100,90,13,39,63,98,13,62,37,66,77,40,15,86,45,51,69,58,95,62,24,92,27,23,20,91,64,89,90,78,53,57,12,31,80,34,51,75,90,93,92,67,77,66,89,47,61,65,17,51,84,32,51,26,22,67,39,99
57,47,17,70,42,34,0,23,81,83,56,50,78,30,42,73,56,71,42,50,69,84,65,98,54,67,98,68,46,92,47,63,97,67,53,54,98,75,46,90,21,91,91,51,90,91,19,35,85,94,85,93,39,47,75,77,59,69,86,63,39,21,75,33,57
99,64,85,31,62,100,23,0,45,24,11,27,32,22,53,43,88,43,26,37,33,58,89,85,70,64,11,14,94,47,82,64,96,86,66,43,58,54,45,93,67,61,31,50,57,57,23,23,99,84,85,62,81,54,36,22,65,68,20,87,78,96,74,73,99
82,32,45,31,24,90,81,45,0,43,82,20,72,87,49,42,18,53,37,24,92,99,28,20,37,35,82,14,96,52,31,23,54,41,11,25,92,10,49,29,15,78,18,61,49,37,61,46,25,24,27,87,66,54,67,51,75,38,96,58,80,73,42,71,82
52,56,20,38,71,13,83,24,43,0,76,62,61,72,77,77,16,15,98,77,59,53,93,11,74,51,17,45,93,39,64,51,35,47,86,37,99,82,30,38,91,85,65,39,59,26,52,36,78,86,68,64,42,69,96,42,17,10,64,73,50,30,81,45,52
