118
0,4,1,1,1,2,1,2,2,3,4,2,4,4,4,1,3,4,4,1,1,3,2,4,2,4,3,3,1,1,2,2,2,1,4,3,3,3,2,3,4,3,3,3,4,2,3,4,1,3,4,2,1,1,4,1,3,4,2,3,3,1,3,3,1,1,2,3,4,3,4,2,2,1,2,4,1,4,4,4,2,1,2,4,4,2,4,1,3,4,2,2,2,3,2,4,4,2,3,3,1,3,3,4,2,3,1,2,3,2,3,1,4,1,2,4,2,3,4,0
0,73,36,18,48,53,32,32,72,41,87,35,25,59,55,60,71,25,16,56,95,30,62,11,56,29,97,66,44,28,63,92,75,82,11,96,56,80,31,96,99,99,22,91,66,66,82,76,21,88,94,58,41,86,99,90,37,66,22,74,83,85,24,25,75,45,28,60,39,25,18,52,100,36,85,76,57,66,56,14,37,32,46,97,30,64,91,21,37,25,66,20,69,78,78,59,48,64,93,32,16,16,67,40,23,33,37,38,20,28,60,21,12,44,25,73,51,61,40,0
73,0,75,23,27,72,17,34,43,78,61,47,81,94,27,81,88,93,11,69,10,31,86,11,80,76,42,87,34,95,65,84,92,70,16,86,38,98,52,86,86,48,71,45,63,31,74,86,55,87,32,100,41,42,24,44,62,86,91,23,42,53,45,91,96,86,65,60,79,72,26,72,28,34,92,47,20,39,86,62,25,18,19,84,93,22,18,89,93,50,54,97,63,59,23,65,49,19,87,12,76,87,79,62,54,24,75,79,13,35,64,67,90,84,14,100,54,14,27,73
36,75,0,43,12,81,81,84,47,69,46,35,73,95,90,58,49,42,23,63,86,77,19,13,68,46,86,49,76,42,60,75,42,90,65,60,28,30,52,99,52,84,13,82,58,66,59,94,11,63,100,85,69,13,71,47,70,100,55,55,46,44,59,17,20,56,30,37,26,62,22,59,47,31,75,71,75,79,28,70,74,78,96,31,31,76,49,35,39,32,17,54,99,89,16,91,98,17,71,20,87,13,92,63,70,48,93,93,81,22,86,100,69,93,72,98,34,28,45,36
18,23,43,0,44,84,69,92,69,15,81,89,75,83,32,61,72,90,82,98,60,46,82,40,32,94,24,77,49,85,19,33,25,96,17,81,79,57,20,22,41,69,89,77,21,34,56,19,53,79,13,54,19,84,60,49,89,36,35,74,78,39,16,44,41,78,65,93,33,27,21,45,47,57,99,35,66,37,66,72,58,31,78,44,29,72,88,90,39,83,48,34,91,62,91,10,80,31,10,71,82,74,58,51,84,92,53,90,60,89,10,14,19,66,32,49,39,28,13,18
48,27,12,44,0,10,50,80,61,12,15,72,19,15,37,57,10,83,51,99,90,58,27,68,49,24,84,96,66,26,68,77,24,30,18,27,68,60,75,45,55,50,59,16,94,11,30,86,73,92,73,87,20,100,35,71,72,72,12,28,50,46,72,55,95,21,22,86,61,47,57,76,96,14,16,36,90,32,30,85,11,93,15,60,12,47,42,70,17,23,69,55,10,43,29,17,50,19,96,60,81,37,32,88,17,59,90,13,49,23,24,32,60,65,49,71,99,71,73,48
53,72,81,84,10,0,76,99,67,80,27,21,91,46,91,15,95,31,44,59,10,46,81,17,70,83,58,25,66,27,24,78,50,24,28,84,23,84,67,45,12,92,21,54,44,46,87,33,66,19,50,84,93,31,45,59,56,92,92,34,33,18,37,74,49,45,78,78,87,87,21,36,76,36,90,55,70,25,62,12,48,93,55,17,13,75,39,40,64,61,34,81,96,85,18,24,96,26,16,32,72,98,86,19,95,91,63,58,49,56,65,69,70,71,90,76,16,19,30,53
32,17,81,69,50,76,0,53,40,46,71,42,16,80,80,65,25,54,22,80,22,60,75,46,63,62,93,13,32,82,94,84,46,32,92,73,66,74,61,15,16,89,39,63,57,28,28,74,43,39,86,47,92,29,60,54,20,83,70,93,59,89,58,90,20,85,40,75,72,93,93,73,59,60,78,62,73,43,66,20,16,91,98,66,44,48,64,54,68,20,74,19,23,71,40,53,68,35,24,99,93,64,46,77,63,43,24,70,12,91,39,32,75,95,44,93,23,13,39,32
32,34,84,92,80,99,53,0,53,32,33,20,96,47,13,51,93,65,58,75,38,16,67,88,99,57,87,64,83,56,79,72,66,36,83,11,47,64,27,37,54,68,70,71,63,50,11,14,10,10,90,61,12,82,60,92,98,77,41,17,69,68,62,17,67,58,77,81,11,42,75,13,70,80,72,17,21,81,70,71,50,31,69,81,20,13,35,21,82,10,15,43,77,40,26,31,53,82,41,54,48,56,73,49,50,72,69,81,10,29,40,82,72,60,62,54,18,23,65,32
72,43,47,69,61,67,40,53,0,94,38,82,18,66,70,43,100,88,81,39,10,75,71,31,85,47,21,94,82,74,74,34,61,88,18,32,83,31,14,13,61,36,25,70,77,16,75,87,17,61,32,44,97,79,21,72,53,63,88,57,17,69,56,63,74,64,84,81,23,58,61,92,93,38,24,41,66,52,66,84,31,21,51,13,34,73,99,80,64,11,14,88,31,43,69,23,51,76,77,94,14,58,42,92,56,15,83,30,18,97,88,84,72,15,75,41,64,55,95,72
