28
0,4,4,4,1,3,1,1,4,4,4,4,3,4,1,3,1,4,1,3,4,3,4,3,4,2,2,1,1,0
0,27,50,33,27,74,63,46,22,51,50,32,69,55,36,86,28,14,56,14,43,92,28,40,50,72,37,64,74,0
27,0,50,49,53,22,43,94,68,14,29,15,89,100,70,79,84,64,64,82,47,93,61,38,90,65,65,12,50,27
50,50,0,63,84,96,90,32,76,51,71,92,67,54,82,84,86,67,99,89,26,55,100,89,25,21,91,95,75,50
33,49,63,0,32,83,13,83,51,30,83,24,61,38,16,24,89,48,35,37,55,21,82,39,94,100,61,27,88,33
27,53,84,32,0,74,16,19,47,44,30,93,17,45,40,100,73,62,36,97,28,52,28,64,41,46,79,96,89,27
74,22,96,83,74,0,41,32,20,74,67,92,27,26,46,48,38,34,99,38,75,59,31,28,48,99,25,58,70,74
63,43,90,13,16,41,0,56,41,87,91,70,10,45,15,52,82,65,44,37,54,14,39,98,87,21,20,93,75,63
46,94,32,83,19,32,56,0,59,52,65,58,23,59,35,71,49,15,60,24,73,100,89,15,60,57,78,86,34,46
22,68,76,51,47,20,41,59,0,29,77,63,27,29,62,41,42,95,61,38,32,31,11,32,90,89,36,20,35,22
51,14,51,30,44,74,87,52,29,0,77,40,46,47,11,56,44,90,79,20,74,44,78,26,18,24,20,18,18,51
50,29,71,83,30,67,91,65,77,77,0,39,84,95,89,70,79,63,10,71,73,48,83,37,54,15,28,94,66,50
32,15,92,24,93,92,70,58,63,40,39,0,17,28,35,19,98,84,20,12,60,26,40,75,25,15,21,44,12,32
69,89,67,61,17,27,10,23,27,46,84,17,0,68,73,39,40,40,32,17,66,97,36,87,39,22,99,79,53,69
55,100,54,38,45,26,45,59,29,47,95,28,68,0,60,46,27,19,52,78,25,40,31,99,80,27,72,23,92,55
36,70,82,16,40,46,15,35,62,11,89,35,73,60,0,75,40,46,44,84,26,28,56,43,47,34,79,60,97,36
86,79,84,24,100,48,52,71,41,56,70,19,39,46,75,0,27,69,18,70,99,60,55,30,55,98,71,27,38,86
28,84,86,89,73,38,82,49,42,44,79,98,40,27,40,27,0,54,81,12,13,16,40,64,44,100,16,90,22,28
14,64,67,48,62,34,65,15,95,90,63,84,40,19,46,69,54,0,17,55,62,65,27,67,27,80,74,59,51,14
56,64,99,35,36,99,44,60,61,79,10,20,32,52,44,18,81,17,0,74,46,16,63,52,94,74,50,60,64,56
14,82,89,37,97,38,37,24,38,20,71,12,17,78,84,70,12,55,74,0,77,56,70,49,45,91,100,66,31,14
43,47,26,55,28,75,54,73,32,74,73,60,66,25,26,99,13,62,46,77,0,71,83,57,68,25,91,45,62,43
92,93,55,21,52,59,14,100,31,44,48,26,97,40,28,60,16,65,16,56,71,0,81,98,63,32,30,91,41,92
28,61,100,82,28,31,39,89,11,78,83,40,36,31,56,55,40,27,63,70,83,81,0,97,45,68,92,69,26,28
40,38,89,39,64,28,98,15,32,26,37,75,87,99,43,30,64,67,52,49,57,98,97,0,73,88,28,74,99,40
50,90,25,94,41,48,87,60,90,18,54,25,39,80,47,55,44,27,94,45,68,63,45,73,0,17,25,58,91,50
72,65,21,100,46,99,21,57,89,24,15,15,22,27,34,98,100,80,74,91,25,32,68,88,17,0,81,86,12,72
37,65,91,61,79,25,20,78,36,20,28,21,99,72,79,71,16,74,50,100,91,30,92,28,25,81,0,33,18,37
64,12,95,27,96,58,93,86,20,18,94,44,79,23,60,27,90,59,60,66,45,91,69,74,58,86,33,0,43,64
74,50,75,88,89,70,75,34,35,18,66,12,53,92,97,38,22,51,64,31,62,41,26,99,91,12,18,43,0,74
0,27,50,33,27,74,63,46,22,51,50,32,69,55,36,86,28,14,56,14,43,92,28,40,50,72,37,64,74,0
