57
0,4,2,4,2,4,4,1,4,1,2,4,2,4,4,2,1,1,2,3,2,2,4,2,2,1,2,3,2,3,1,1,3,3,2,4,3,2,3,3,3,2,1,4,2,1,4,2,2,3,1,1,4,3,3,3,4,4,0
0,56,66,92,99,67,82,28,45,97,89,62,70,79,36,36,76,56,56,53,33,78,78,69,92,79,39,81,21,94,41,13,40,83,85,43,64,59,53,71,55,40,83,70,48,37,98,39,24,53,72,67,43,89,48,21,41,21,0
56,0,92,63,59,50,47,71,15,28,87,20,29,50,35,58,55,24,75,46,17,55,74,97,75,52,76,93,76,94,16,46,57,83,77,68,95,38,32,69,80,25,38,93,34,93,65,53,38,24,58,62,89,56,99,46,24,47,56
66,92,0,37,44,47,68,41,53,18,33,29,79,27,68,29,68,16,11,14,80,49,43,30,36,44,80,77,25,16,66,25,93,71,17,23,38,50,54,88,24,68,68,61,44,60,77,45,45,82,87,75,49,60,61,50,75,73,66
92,63,37,0,89,41,71,15,83,68,86,84,72,51,92,52,80,10,62,77,21,41,63,40,35,89,57,49,47,41,51,65,85,32,31,71,87,44,71,76,55,67,100,49,76,49,71,37,76,89,85,65,53,19,40,56,45,85,92
99,59,44,89,0,80,49,55,39,63,45,41,98,40,36,80,93,18,57,41,96,12,33,76,95,92,86,15,38,73,95,72,66,34,61,89,27,35,89,23,98,22,40,67,77,35,71,49,70,75,96,26,91,26,94,48,36,63,99
67,50,47,41,80,0,64,36,60,57,37,91,37,22,80,50,45,47,70,54,94,54,47,59,34,88,86,51,42,89,75,32,17,74,85,64,93,13,46,94,36,31,35,84,19,69,94,80,81,57,54,85,75,71,32,70,99,26,67
82,47,68,71,49,64,0,76,12,15,38,59,67,83,45,29,41,19,10,38,71,67,70,100,75,66,33,87,67,100,48,93,12,64,99,33,71,53,31,48,86,92,89,54,67,32,59,63,74,16,41,15,54,93,75,86,95,38,82
28,71,41,15,55,36,76,0,18,77,32,86,82,78,95,85,78,75,51,10,26,22,39,25,59,49,91,69,46,50,23,16,17,99,74,18,63,64,89,100,77,48,79,65,79,62,39,47,78,32,35,31,98,41,23,63,46,73,28
45,15,53,83,39,60,12,18,0,57,55,86,86,87,94,30,40,94,66,21,14,48,94,71,59,14,64,49,48,36,52,29,58,49,58,100,49,27,85,95,58,77,97,98,71,66,58,52,40,79,49,85,39,48,45,73,52,32,45
97,28,18,68,63,57,15,77,57,0,40,31,91,52,82,31,55,21,86,59,22,29,59,21,99,68,90,66,20,71,13,82,89,35,46,87,58,17,43,79,10,22,72,74,13,91,46,29,30,93,64,83,26,46,39,15,34,75,97
89,87,33,86,45,37,38,32,55,40,0,100,42,85,21,11,75,15,92,29,66,61,87,82,23,13,37,56,94,84,19,20,12,82,41,55,46,30,83,66,56,21,16,56,25,39,12,44,98,38,25,81,79,88,19,35,68,78,89
62,20,29,84,41,91,59,86,86,31,100,0,69,51,82,53,57,76,52,26,23,89,10,45,22,89,100,56,25,91,35,100,25,22,15,67,77,56,49,29,42,26,75,41,87,44,76,26,88,74,87,89,12,82,17,32,67,94,62
70,29,79,72,98,37,67,82,86,91,42,69,0,49,39,84,56,96,55,67,43,79,22,92,94,83,74,39,30,49,67,85,37,28,32,16,63,14,52,24,13,20,92,87,87,62,55,24,67,30,82,91,26,53,61,59,98,59,70
79,50,27,51,40,22,83,78,87,52,85,51,49,0,82,97,73,67,44,89,21,11,78,64,33,27,45,85,97,79,37,71,65,17,49,17,96,27,84,40,65,74,46,37,48,32,27,84,87,68,82,86,61,72,38,78,36,76,79
36,35,68,92,36,80,45,95,94,82,21,82,39,82,0,75,51,89,51,57,83,76,85,74,41,88,10,24,89,92,76,15,84,68,98,39,31,96,18,16,51,72,97,89,62,17,39,88,22,52,77,21,96,63,28,71,20,58,36
36,58,29,52,80,50,29,85,30,31,11,53,84,97,75,0,26,69,37,11,83,27,32,59,65,19,85,21,86,98,97,80,64,76,49,76,46,17,47,99,70,10,45,88,24,80,44,68,23,20,72,81,76,85,13,43,80,59,36
76,55,68,80,93,45,41,78,40,55,75,57,56,73,51,26,0,90,45,93,91,31,41,24,37,81,34,98,98,68,55,11,83,11,55,13,77,93,26,32,63,33,29,33,87,74,84,41,48,22,33,28,65,54,100,58,24,79,76
56,24,16,10,18,47,19,75,94,21,15,76,96,67,89,69,90,0,34,27,83,89,94,27,44,65,34,48,79,75,83,89,69,70,89,61,95,25,31,94,57,56,13,72,24,49,14,71,51,25,16,48,100,100,86,83,48,16,56
56,75,11,62,57,70,10,51,66,86,92,52,55,44,51,37,45,34,0,17,96,75,70,18,42,77,84,96,36,80,35,54,83,75,71,53,93,58,10,40,43,67,31,96,42,23,17,17,95,17,94,34,39,52,27,60,58,56,56
53,46,14,77,41,54,38,10,21,59,29,26,67,89,57,11,93,27,17,0,99,18,47,61,87,38,82,40,93,58,62,60,51,38,35,41,52,84,76,58,42,58,24,40,26,100,13,19,31,56,12,61,58,86,60,79,78,71,53
33,17,80,21,96,94,71,26,14,22,66,23,43,21,83,83,91,83,96,99,0,52,29,24,51,13,31,42,70,48,26,20,76,17,53,39,56,88,60,21,32,63,59,24,52,83,15,52,97,38,60,74,91,45,82,61,83,81,33
78,55,49,41,12,54,67,22,48,29,61,89,79,11,76,27,31,89,75,18,52,0,38,31,81,65,85,21,17,75,33,74,56,18,18,46,57,70,95,58,12,66,91,85,69,14,58,98,87,45,56,40,39,83,13,22,94,40,78
78,74,43,63,33,47,70,39,94,59,87,10,22,78,85,32,41,94,70,47,29,38,0,24,43,30,17,67,42,96,18,69,63,29,79,40,37,46,51,29,61,65,31,24,29,49,62,69,22,36,34,52,77,37,10,34,60,37,78
69,97,30,40,76,59,100,25,71,21,82,45,92,64,74,59,24,27,18,61,24,31,24,0,93,77,90,53,41,43,40,17,30,66,73,42,68,44,21,20,35,88,87,34,28,93,31,73,31,74,20,18,81,57,80,80,100,48,69
92,75,36,35,95,34,75,59,59,99,23,22,94,33,41,65,37,44,42,87,51,81,43,93,0,99,88,92,25,18,49,82,83,41,16,84,51,55,45,39,87,80,71,10,47,60,29,13,11,51,95,10,49,46,69,28,43,37,92
79,52,44,89,92,88,66,49,14,68,13,89,83,27,88,19,81,65,77,38,13,65,30,77,99,0,78,65,88,61,87,100,54,86,70,83,44,88,25,60,69,18,86,43,26,24,16,94,46,99,15,75,10,45,35,69,98,67,79
39,76,80,57,86,86,33,91,64,90,37,100,74,45,10,85,34,34,84,82,31,85,17,90,88,78,0,14,94,13,90,100,91,19,83,49,25,49,44,94,80,64,29,22,51,42,27,38,20,69,42,45,52,15,24,21,68,82,39
81,93,77,49,15,51,87,69,49,66,56,56,39,85,24,21,98,48,96,40,42,21,67,53,92,65,14,0,83,85,74,73,39,75,13,93,78,34,97,80,49,60,50,70,44,79,52,20,62,86,23,49,88,79,91,55,74,13,81
21,76,25,47,38,42,67,46,48,20,94,25,30,97,89,86,98,79,36,93,70,17,42,41,25,88,94,83,0,26,58,11,79,65,27,50,13,12,54,63,82,44,40,31,65,31,18,17,44,13,14,66,22,78,27,93,63,80,21
94,94,16,41,73,89,100,50,36,71,84,91,49,79,92,98,68,75,80,58,48,75,96,43,18,61,13,85,26,0,82,17,72,17,50,93,88,63,76,13,49,29,48,67,40,96,65,19,96,96,36,75,86,29,53,72,31,80,94
41,16,66,51,95,75,48,23,52,13,19,35,67,37,76,97,55,83,35,62,26,33,18,40,49,87,90,74,58,82,0,96,77,66,16,62,77,50,56,58,87,30,15,43,44,89,52,97,35,70,34,36,15,20,58,84,32,70,41
13,46,25,65,72,32,93,16,29,82,20,100,85,71,15,80,11,89,54,60,20,74,69,17,82,100,100,73,11,17,96,0,38,74,59,86,46,44,67,32,43,51,29,33,89,36,58,67,22,82,54,18,70,30,35,52,65,45,13
40,57,93,85,66,17,12,17,58,89,12,25,37,65,84,64,83,69,83,51,76,56,63,30,83,54,91,39,79,72,77,38,0,50,17,52,18,96,92,37,71,91,58,48,43,53,41,22,68,36,45,78,34,93,98,15,11,55,40
83,83,71,32,34,74,64,99,49,35,82,22,28,17,68,76,11,70,75,38,17,18,29,66,41,86,19,75,65,17,66,74,50,0,57,53,12,23,94,56,61,43,61,97,84,86,100,70,75,18,35,51,56,82,89,47,68,69,83
85,77,17,31,61,85,99,74,58,46,41,15,32,49,98,49,55,89,71,35,53,18,79,73,16,70,83,13,27,50,16,59,17,57,0,27,59,98,73,88,63,32,85,80,54,29,87,14,97,65,21,96,60,68,61,84,92,55,85
