25
0,2,4,4,1,2,1,3,4,3,4,4,4,4,4,2,2,1,2,3,1,1,3,1,4,1,0
0,11,27,33,96,85,23,100,73,92,91,51,37,10,94,14,16,35,90,46,46,51,18,12,30,78,0
11,0,70,64,23,50,28,29,21,93,45,55,82,24,91,21,92,42,59,56,23,86,19,57,82,51,11
27,70,0,65,20,13,79,30,51,95,95,65,55,24,100,96,85,30,70,97,40,68,47,47,94,100,27
33,64,65,0,17,41,93,88,78,44,97,40,19,13,23,75,15,48,92,35,23,87,60,64,51,28,33
96,23,20,17,0,68,33,83,37,98,64,40,97,94,15,30,11,99,83,98,55,86,19,11,79,24,96
85,50,13,41,68,0,15,52,65,74,47,57,54,78,56,57,12,80,59,13,33,62,21,55,50,54,85
23,28,79,93,33,15,0,59,52,34,40,30,71,50,48,38,89,15,95,28,93,99,63,71,50,55,23
100,29,30,88,83,52,59,0,79,48,73,79,26,89,53,74,74,83,42,72,60,97,67,13,37,20,100
73,21,51,78,37,65,52,79,0,83,93,80,21,14,55,83,23,25,32,60,21,16,69,74,76,59,73
92,93,95,44,98,74,34,48,83,0,31,92,97,68,92,78,81,36,59,25,33,76,20,33,47,87,92
91,45,95,97,64,47,40,73,93,31,0,93,46,53,79,39,74,70,26,29,46,57,100,64,95,88,91
51,55,65,40,40,57,30,79,80,92,93,0,67,57,99,50,53,71,100,77,87,82,18,74,67,29,51
37,82,55,19,97,54,71,26,21,97,46,67,0,24,26,80,47,71,39,50,93,25,17,12,34,95,37
10,24,24,13,94,78,50,89,14,68,53,57,24,0,13,100,70,82,64,37,11,77,92,54,44,56,10
94,91,100,23,15,56,48,53,55,92,79,99,26,13,0,24,63,28,80,12,57,32,61,14,20,87,94
14,21,96,75,30,57,38,74,83,78,39,50,80,100,24,0,78,15,46,10,28,29,49,79,64,14,14
16,92,85,15,11,12,89,74,23,81,74,53,47,70,63,78,0,45,99,21,11,54,50,53,50,83,16
35,42,30,48,99,80,15,83,25,36,70,71,71,82,28,15,45,0,69,98,40,68,53,38,55,42,35
90,59,70,92,83,59,95,42,32,59,26,100,39,64,80,46,99,69,0,16,67,60,12,21,86,72,90
46,56,97,35,98,13,28,72,60,25,29,77,50,37,12,10,21,98,16,0,32,36,39,50,68,75,46
46,23,40,23,55,33,93,60,21,33,46,87,93,11,57,28,11,40,67,32,0,85,74,99,14,87,46
51,86,68,87,86,62,99,97,16,76,57,82,25,77,32,29,54,68,60,36,85,0,49,48,61,36,51
18,19,47,60,19,21,63,67,69,20,100,18,17,92,61,49,50,53,12,39,74,49,0,72,43,52,18
12,57,47,64,11,55,71,13,74,33,64,74,12,54,14,79,53,38,21,50,99,48,72,0,12,84,12
30,82,94,51,79,50,50,37,76,47,95,67,34,44,20,64,50,55,86,68,14,61,43,12,0,91,30
78,51,100,28,24,54,55,20,59,87,88,29,95,56,87,14,83,42,72,75,87,36,52,84,91,0,78
0,11,27,33,96,85,23,100,73,92,91,51,37,10,94,14,16,35,90,46,46,51,18,12,30,78,0
