91
0,4,3,3,3,3,2,1,3,3,2,1,3,3,2,1,3,3,1,3,3,4,2,2,1,3,4,4,2,4,2,4,2,2,2,2,1,3,3,3,2,3,2,4,1,4,4,1,4,4,3,3,1,1,3,1,2,3,1,1,4,1,2,3,2,2,1,3,2,2,3,4,2,1,2,4,1,2,4,4,4,2,3,4,3,4,3,1,2,4,4,1,0
0,10,40,63,64,95,100,79,63,43,27,35,28,15,71,46,92,92,86,50,27,54,13,12,50,90,28,65,72,90,44,73,87,51,29,78,60,95,47,89,13,33,36,96,51,51,100,29,12,96,29,82,48,94,35,55,78,41,34,21,41,92,88,95,11,45,20,79,22,12,23,56,87,48,32,57,68,48,38,71,18,78,72,34,34,99,71,50,35,18,56,39,0
10,0,59,36,54,74,39,53,18,42,31,59,81,59,42,58,43,53,30,56,48,58,40,93,87,22,100,84,50,95,84,13,67,83,100,87,14,12,60,88,39,98,34,86,19,39,87,40,35,69,59,86,52,89,52,19,55,15,22,87,31,81,90,77,70,25,64,64,41,22,35,82,15,72,79,76,16,69,36,99,66,11,63,45,45,47,76,85,80,54,20,85,10
40,59,0,82,27,90,70,76,47,64,65,79,83,94,92,98,11,16,79,26,65,20,10,100,15,17,31,80,47,48,20,39,57,89,95,93,71,11,88,76,68,28,88,47,95,94,15,43,98,26,84,87,38,69,62,25,41,100,81,82,14,25,96,72,82,89,64,47,63,81,91,19,64,73,100,17,72,49,93,50,58,43,35,81,43,96,38,98,59,96,18,21,40
63,36,82,0,44,72,78,87,60,13,23,91,64,96,54,62,24,48,57,32,93,22,38,59,45,22,20,60,99,57,89,54,29,25,84,38,61,51,77,15,86,11,95,50,31,61,15,43,37,98,55,72,12,72,14,56,98,51,94,73,33,92,93,21,66,38,26,48,44,57,42,60,94,90,88,69,40,38,87,50,62,75,38,30,75,20,76,50,98,87,76,80,63
64,54,27,44,0,14,40,50,13,80,92,76,12,65,39,26,72,16,18,50,81,99,46,40,36,34,55,69,96,10,36,30,92,33,74,61,14,43,33,62,96,49,21,57,92,66,47,10,29,58,85,89,84,26,34,12,42,95,82,46,22,66,85,57,61,63,60,12,77,94,42,53,15,17,46,14,88,64,86,96,27,64,17,50,12,89,66,90,99,45,59,99,64
95,74,90,72,14,0,51,78,43,40,75,27,97,24,90,87,65,44,22,60,38,67,11,89,30,47,34,42,60,30,42,34,19,95,23,15,89,52,42,73,84,72,83,27,15,88,89,95,12,38,10,31,37,42,80,93,53,63,81,38,27,50,38,23,40,24,42,74,78,41,43,67,21,50,100,53,43,10,10,19,20,76,11,29,59,41,27,46,91,67,47,14,95
100,39,70,78,40,51,0,80,46,34,34,90,64,68,36,57,99,76,84,58,53,37,45,51,53,71,68,48,65,58,38,87,29,53,88,35,17,97,26,67,58,56,54,41,35,11,53,69,16,62,70,79,80,47,25,26,95,26,67,35,94,31,61,98,80,37,71,36,79,56,85,27,73,35,35,39,16,20,63,87,27,38,14,81,95,55,63,56,24,44,84,98,100
79,53,76,87,50,78,80,0,71,86,13,81,74,57,35,29,26,87,17,86,37,29,39,19,34,74,92,47,82,17,79,39,42,93,11,35,33,28,35,82,14,78,38,14,89,18,77,20,26,32,54,23,17,59,90,68,78,77,43,30,79,12,93,18,52,93,58,56,41,62,77,91,40,36,87,96,14,18,32,80,100,99,98,58,12,28,76,11,63,73,72,65,79
63,18,47,60,13,43,46,71,0,93,87,64,45,68,56,65,22,92,88,13,65,98,26,81,81,10,18,63,89,81,26,62,87,56,89,87,61,46,21,77,77,85,13,10,69,59,93,33,15,63,34,47,53,16,91,80,16,15,47,42,81,98,74,13,64,14,99,100,34,24,35,87,73,99,82,93,28,55,66,64,30,11,39,78,64,77,73,21,12,79,69,72,63
