46
0,1,4,2,3,1,4,2,1,4,2,3,4,3,1,2,2,1,3,2,4,3,1,1,3,2,2,4,2,1,3,1,1,3,3,2,2,4,2,3,3,2,2,3,2,2,3,0
0,32,19,67,40,15,91,45,98,54,10,58,58,55,72,39,23,36,59,73,29,57,100,10,65,42,28,48,34,73,26,50,56,59,25,20,78,19,68,11,98,59,25,27,15,54,87,0
32,0,10,70,28,90,22,35,69,75,33,21,93,41,22,73,51,46,19,30,90,40,69,81,44,38,25,47,25,17,92,28,27,89,36,47,62,45,52,55,99,35,29,40,30,81,34,32
19,10,0,60,82,96,52,31,94,28,89,37,95,71,99,97,60,26,96,74,61,82,74,90,90,77,66,55,93,98,43,34,19,63,46,46,10,70,58,97,55,46,93,23,51,86,48,19
67,70,60,0,51,84,75,79,57,14,35,68,20,14,42,16,61,34,85,88,96,35,89,42,75,45,68,99,51,83,99,53,97,21,33,35,71,26,40,66,86,36,53,55,36,53,67,67
40,28,82,51,0,26,64,95,63,36,29,76,13,13,63,69,41,24,100,85,80,59,33,20,99,91,80,66,55,99,67,65,97,15,30,88,58,83,19,87,67,73,15,28,12,46,75,40
15,90,96,84,26,0,62,17,67,15,69,30,24,70,60,74,22,22,36,34,38,48,24,52,61,69,88,90,53,38,23,88,84,64,31,37,61,97,20,40,46,98,23,72,16,78,61,15
91,22,52,75,64,62,0,58,50,77,22,89,85,17,70,91,23,45,81,79,84,82,55,12,63,42,44,66,81,39,74,51,38,39,21,10,53,15,85,36,15,15,31,34,52,20,14,91
45,35,31,79,95,17,58,0,91,86,46,84,80,76,42,91,70,23,89,26,24,32,13,94,47,16,49,63,51,15,76,84,41,48,67,59,52,52,38,11,29,55,70,20,41,75,19,45
98,69,94,57,63,67,50,91,0,50,98,62,21,99,57,16,57,74,38,21,72,22,45,32,45,69,94,62,36,51,14,67,67,62,13,37,67,34,21,21,37,29,70,78,12,80,79,98
54,75,28,14,36,15,77,86,50,0,35,90,91,83,25,10,83,59,16,75,92,43,90,33,94,95,64,10,75,46,49,94,98,98,35,34,21,87,57,33,75,89,32,70,18,97,100,54
10,33,89,35,29,69,22,46,98,35,0,66,46,41,19,51,21,13,58,77,75,58,63,88,68,44,48,68,90,24,27,45,73,34,16,85,58,86,26,75,51,10,83,96,98,100,92,10
58,21,37,68,76,30,89,84,62,90,66,0,80,16,55,59,21,61,83,39,93,33,51,44,33,59,12,18,20,43,71,54,11,46,34,38,31,87,80,84,78,47,77,56,65,84,99,58
58,93,95,20,13,24,85,80,21,91,46,80,0,77,71,65,47,71,26,23,94,14,93,86,58,90,38,95,15,41,19,34,43,27,67,33,50,12,21,19,29,92,52,94,23,74,32,58
