35
0,2,4,4,4,2,1,2,4,4,1,1,2,4,4,1,2,2,4,1,4,4,4,2,3,2,1,1,1,2,3,3,4,1,4,1,0
0,97,41,61,63,67,23,43,65,66,69,77,29,32,25,87,74,66,32,21,48,25,70,76,27,76,88,54,16,75,45,66,87,84,57,91,0
97,0,47,73,74,100,43,10,33,40,44,88,62,77,12,32,71,20,76,73,36,95,79,32,98,42,23,90,93,16,66,41,64,62,57,22,97
41,47,0,38,49,52,22,71,43,37,45,75,47,98,66,36,19,10,18,89,80,24,80,58,39,64,50,32,55,48,15,33,10,65,90,93,41
61,73,38,0,37,67,93,58,24,12,24,15,75,78,91,87,40,72,89,83,52,46,91,62,70,20,69,17,66,62,70,76,49,53,14,20,61
63,74,49,37,0,81,63,37,79,59,52,18,43,67,66,97,51,80,62,29,96,69,57,44,70,24,92,60,42,71,23,87,95,64,40,76,63
67,100,52,67,81,0,77,64,31,11,19,37,84,88,17,64,12,94,32,60,91,14,19,76,17,64,94,31,75,38,84,15,92,22,48,13,67
23,43,22,93,63,77,0,64,48,55,15,96,33,44,44,11,41,50,99,63,53,85,96,27,20,74,84,39,39,91,96,60,49,36,58,44,23
43,10,71,58,37,64,64,0,40,32,98,44,97,41,64,14,71,61,51,72,43,43,44,92,26,89,45,49,60,31,98,57,10,69,87,13,43
65,33,43,24,79,31,48,40,0,95,49,78,45,52,21,26,85,14,46,39,79,15,68,91,32,42,62,29,55,33,84,41,31,60,99,55,65
66,40,37,12,59,11,55,32,95,0,61,63,34,15,52,57,54,98,97,65,36,13,53,26,36,91,78,14,68,74,65,90,93,39,45,73,66
69,44,45,24,52,19,15,98,49,61,0,99,59,11,100,11,61,69,83,55,74,97,43,49,18,74,48,15,49,97,25,11,100,50,35,13,69
77,88,75,15,18,37,96,44,78,63,99,0,41,93,58,27,54,32,75,98,52,44,98,54,95,64,83,82,52,21,21,68,64,21,35,19,77
29,62,47,75,43,84,33,97,45,34,59,41,0,50,50,57,17,24,26,82,74,50,49,61,82,52,39,67,36,46,58,15,97,48,12,61,29
32,77,98,78,67,88,44,41,52,15,11,93,50,0,58,60,81,85,38,21,13,99,55,21,53,43,37,100,58,95,14,84,16,56,17,18,32
25,12,66,91,66,17,44,64,21,52,100,58,50,58,0,10,18,13,76,41,64,70,70,33,61,19,80,12,72,76,92,82,47,45,56,58,25
87,32,36,87,97,64,11,14,26,57,11,27,57,60,10,0,97,12,58,35,43,52,77,99,35,19,20,83,24,31,81,31,16,22,47,61,87
74,71,19,40,51,12,41,71,85,54,61,54,17,81,18,97,0,67,97,66,37,65,51,41,76,85,57,65,67,74,58,33,31,21,84,96,74
66,20,10,72,80,94,50,61,14,98,69,32,24,85,13,12,67,0,37,83,40,24,68,24,81,29,81,43,44,18,12,51,35,82,67,17,66
32,76,18,89,62,32,99,51,46,97,83,75,26,38,76,58,97,37,0,72,89,94,26,62,59,89,34,37,67,71,75,94,38,43,70,48,32
21,73,89,83,29,60,63,72,39,65,55,98,82,21,41,35,66,83,72,0,86,100,92,21,52,61,29,88,53,24,56,76,16,78,94,15,21
48,36,80,52,96,91,53,43,79,36,74,52,74,13,64,43,37,40,89,86,0,57,62,62,34,33,19,32,83,41,65,47,53,26,21,61,48
25,95,24,46,69,14,85,43,15,13,97,44,50,99,70,52,65,24,94,100,57,0,30,51,98,41,74,57,45,74,20,13,51,96,44,12,25
70,79,80,91,57,19,96,44,68,53,43,98,49,55,70,77,51,68,26,92,62,30,0,77,92,40,86,30,100,99,99,83,53,11,15,80,70
76,32,58,62,44,76,27,92,91,26,49,54,61,21,33,99,41,24,62,21,62,51,77,0,46,64,12,64,99,84,60,55,76,33,75,58,76
27,98,39,70,70,17,20,26,32,36,18,95,82,53,61,35,76,81,59,52,34,98,92,46,0,77,93,49,51,78,75,85,72,23,77,30,27
76,42,64,20,24,64,74,89,42,91,74,64,52,43,19,19,85,29,89,61,33,41,40,64,77,0,30,31,79,55,50,17,67,66,77,25,76
88,23,50,69,92,94,84,45,62,78,48,83,39,37,80,20,57,81,34,29,19,74,86,12,93,30,0,82,58,12,56,45,59,44,36,93,88
54,90,32,17,60,31,39,49,29,14,15,82,67,100,12,83,65,43,37,88,32,57,30,64,49,31,82,0,20,29,72,56,77,52,38,100,54
16,93,55,66,42,75,39,60,55,68,49,52,36,58,72,24,67,44,67,53,83,45,100,99,51,79,58,20,0,18,59,79,13,98,100,58,16
75,16,48,62,71,38,91,31,33,74,97,21,46,95,76,31,74,18,71,24,41,74,99,84,78,55,12,29,18,0,34,74,61,46,60,23,75
45,66,15,70,23,84,96,98,84,65,25,21,58,14,92,81,58,12,75,56,65,20,99,60,75,50,56,72,59,34,0,60,82,35,72,55,45
66,41,33,76,87,15,60,57,41,90,11,68,15,84,82,31,33,51,94,76,47,13,83,55,85,17,45,56,79,74,60,0,21,66,85,77,66
87,64,10,49,95,92,49,10,31,93,100,64,97,16,47,16,31,35,38,16,53,51,53,76,72,67,59,77,13,61,82,21,0,51,14,33,87
84,62,65,53,64,22,36,69,60,39,50,21,48,56,45,22,21,82,43,78,26,96,11,33,23,66,44,52,98,46,35,66,51,0,75,88,84
57,57,90,14,40,48,58,87,99,45,35,35,12,17,56,47,84,67,70,94,21,44,15,75,77,77,36,38,100,60,72,85,14,75,0,54,57
91,22,93,20,76,13,44,13,55,73,13,19,61,18,58,61,96,17,48,15,61,12,80,58,30,25,93,100,58,23,55,77,33,88,54,0,91
0,97,41,61,63,67,23,43,65,66,69,77,29,32,25,87,74,66,32,21,48,25,70,76,27,76,88,54,16,75,45,66,87,84,57,91,0
