27
0,4,2,4,3,2,1,3,1,2,4,4,1,4,3,2,2,4,2,4,1,3,3,2,3,4,3,3,0
0,63,47,50,77,90,80,41,11,75,77,58,47,53,15,40,66,58,26,93,27,71,48,35,28,71,25,39,0
63,0,90,49,23,23,98,79,68,80,68,16,58,63,95,88,31,86,72,100,40,78,37,14,15,59,35,58,63
47,90,0,65,15,99,85,14,69,22,76,41,81,88,24,26,63,36,30,48,93,69,64,58,13,85,69,47,47
50,49,65,0,25,12,85,95,17,83,77,12,42,21,95,77,44,43,37,53,93,95,71,58,56,55,50,47,50
77,23,15,25,0,34,46,62,89,52,68,24,45,91,89,12,75,82,55,72,54,49,99,60,14,41,96,45,77
90,23,99,12,34,0,75,97,49,29,59,75,87,14,97,83,32,53,86,16,93,29,13,88,61,51,74,98,90
80,98,85,85,46,75,0,84,44,77,54,92,21,41,26,28,79,96,31,42,95,22,60,50,65,77,22,74,80
41,79,14,95,62,97,84,0,56,13,93,78,75,85,65,71,98,73,66,65,94,51,78,38,51,75,58,13,41
11,68,69,17,89,49,44,56,0,19,24,82,89,97,10,34,70,50,78,12,35,100,38,68,68,35,58,20,11
75,80,22,83,52,29,77,13,19,0,37,51,38,84,93,48,71,38,10,76,50,59,25,13,10,73,98,92,75
77,68,76,77,68,59,54,93,24,37,0,46,41,54,66,66,81,74,87,95,37,61,54,35,37,18,50,73,77
58,16,41,12,24,75,92,78,82,51,46,0,33,90,53,89,69,83,29,100,72,76,14,55,27,47,44,54,58
47,58,81,42,45,87,21,75,89,38,41,33,0,31,23,50,81,49,51,68,31,87,48,97,82,47,91,51,47
53,63,88,21,91,14,41,85,97,84,54,90,31,0,89,54,70,56,33,73,40,14,69,26,89,36,81,51,53
15,95,24,95,89,97,26,65,10,93,66,53,23,89,0,39,36,73,34,78,82,34,65,87,37,82,68,42,15
40,88,26,77,12,83,28,71,34,48,66,89,50,54,39,0,79,100,43,39,46,80,70,49,17,31,32,68,40
66,31,63,44,75,32,79,98,70,71,81,69,81,70,36,79,0,21,52,34,59,90,27,56,96,41,40,25,66
58,86,36,43,82,53,96,73,50,38,74,83,49,56,73,100,21,0,91,27,60,36,77,30,34,81,73,68,58
26,72,30,37,55,86,31,66,78,10,87,29,51,33,34,43,52,91,0,35,94,61,35,87,62,78,44,20,26
93,100,48,53,72,16,42,65,12,76,95,100,68,73,78,39,34,27,35,0,82,43,87,23,75,37,35,33,93
27,40,93,93,54,93,95,94,35,50,37,72,31,40,82,46,59,60,94,82,0,97,48,33,49,51,49,48,27
71,78,69,95,49,29,22,51,100,59,61,76,87,14,34,80,90,36,61,43,97,0,50,72,70,75,47,57,71
48,37,64,71,99,13,60,78,38,25,54,14,48,69,65,70,27,77,35,87,48,50,0,97,13,52,47,57,48
35,14,58,58,60,88,50,38,68,13,35,55,97,26,87,49,56,30,87,23,33,72,97,0,10,87,26,46,35
28,15,13,56,14,61,65,51,68,10,37,27,82,89,37,17,96,34,62,75,49,70,13,10,0,100,61,42,28
71,59,85,55,41,51,77,75,35,73,18,47,47,36,82,31,41,81,78,37,51,75,52,87,100,0,50,36,71
25,35,69,50,96,74,22,58,58,98,50,44,91,81,68,32,40,73,44,35,49,47,47,26,61,50,0,59,25
39,58,47,47,45,98,74,13,20,92,73,54,51,51,42,68,25,68,20,33,48,57,57,46,42,36,59,0,39
0,63,47,50,77,90,80,41,11,75,77,58,47,53,15,40,66,58,26,93,27,71,48,35,28,71,25,39,0
