90
0,4,4,3,2,3,2,3,2,2,3,4,2,4,4,3,1,1,1,4,3,4,4,3,3,1,2,3,4,2,4,3,2,2,1,4,3,4,3,1,1,2,1,3,3,1,3,1,4,2,2,1,3,3,1,2,1,3,2,4,2,2,2,3,1,3,4,1,3,4,4,3,2,3,1,4,3,2,2,2,4,4,2,2,2,1,2,1,4,4,2,0
0,55,82,96,97,41,35,37,86,68,49,73,52,28,96,84,74,16,33,84,36,70,96,63,36,51,88,81,17,20,89,19,22,89,95,42,84,82,77,76,93,72,64,96,99,25,44,68,61,22,25,40,25,61,76,59,39,73,80,53,46,99,22,80,24,88,70,84,63,64,85,33,65,39,37,16,37,37,63,25,26,84,54,10,39,78,18,78,59,43,29,0
55,0,93,41,66,99,31,33,54,95,39,60,19,55,74,23,65,12,68,29,86,33,86,30,89,23,43,43,74,89,75,32,27,23,34,81,56,96,83,54,56,44,88,13,76,36,15,45,16,39,60,96,79,48,50,94,43,42,67,58,80,90,39,61,42,90,44,12,52,70,73,69,10,97,86,49,25,71,66,70,64,72,42,38,27,73,34,82,63,11,83,55
82,93,0,91,99,21,93,61,72,13,33,22,22,23,25,32,20,50,35,70,87,77,11,21,99,57,82,37,59,56,80,89,61,10,16,25,52,49,53,86,82,25,36,55,80,75,39,38,93,82,23,55,25,57,42,63,32,25,13,42,67,58,12,51,48,65,33,68,69,99,76,89,55,16,66,68,60,40,30,72,79,85,53,88,24,60,16,48,99,10,52,82
96,41,91,0,85,59,90,89,97,46,49,57,32,42,64,26,59,45,29,79,32,78,72,31,72,98,93,89,100,57,26,80,57,73,67,32,82,37,34,10,15,14,93,17,17,21,37,59,66,91,24,100,45,82,86,51,50,71,11,12,41,23,23,90,36,89,19,45,34,89,86,52,61,51,51,99,28,29,16,72,74,87,52,96,84,84,74,79,44,71,33,96
97,66,99,85,0,38,18,84,13,50,50,35,98,91,45,69,82,100,69,96,65,83,82,42,31,93,61,18,15,75,19,46,85,38,79,79,99,30,28,52,76,73,26,81,33,64,69,38,57,25,68,75,49,81,44,46,70,46,39,18,68,82,62,87,52,17,75,39,39,52,17,85,52,56,32,44,98,17,57,80,78,35,96,19,39,39,83,37,71,22,79,97
41,99,21,59,38,0,55,37,76,32,71,34,100,38,71,18,36,30,53,18,87,28,90,58,94,41,79,87,21,15,41,59,10,40,28,59,59,99,11,100,32,91,31,90,20,63,80,10,67,25,22,10,48,14,34,58,25,95,44,84,48,83,86,81,17,46,58,44,47,18,30,89,92,93,93,28,16,57,92,99,96,63,35,60,25,77,27,66,79,55,99,41
35,31,93,90,18,55,0,94,33,54,73,84,93,41,54,29,55,99,84,49,34,16,11,72,100,95,11,39,78,79,29,22,51,93,21,12,95,89,50,30,19,99,49,82,74,47,40,42,10,45,76,56,39,55,24,48,61,11,98,53,54,61,99,21,58,59,61,51,52,98,98,95,36,21,12,20,68,70,43,67,74,69,59,65,98,53,46,21,99,76,75,35
37,33,61,89,84,37,94,0,43,36,41,98,64,58,72,59,42,86,77,73,75,84,39,85,75,47,99,69,41,41,56,81,11,71,67,50,79,38,50,75,17,42,55,100,84,32,61,23,23,23,13,23,27,38,97,66,53,99,69,50,26,85,43,21,32,46,55,91,15,22,79,97,68,94,86,10,60,75,18,54,23,79,72,55,11,55,95,46,84,85,22,37
86,54,72,97,13,76,33,43,0,79,21,86,45,60,96,100,85,33,99,35,54,59,24,99,84,62,43,47,55,29,95,10,23,50,23,67,21,75,82,83,92,15,13,24,54,81,61,96,47,76,64,39,19,74,51,69,61,43,74,62,17,87,77,46,56,39,52,36,24,15,96,25,19,13,12,83,35,82,95,19,71,33,79,15,64,76,63,10,41,30,33,86
68,95,13,46,50,32,54,36,79,0,98,70,75,91,31,69,55,72,21,11,21,95,19,54,80,65,87,62,55,74,79,72,69,60,28,89,57,37,83,38,34,40,98,90,87,46,26,48,43,59,79,46,56,73,61,88,58,82,70,16,60,68,84,66,25,70,27,39,80,61,33,51,71,19,96,96,82,21,40,13,10,90,16,54,23,47,93,39,63,86,100,68
49,39,33,49,50,71,73,41,21,98,0,35,87,81,11,54,13,31,45,46,72,86,53,72,89,73,30,93,51,84,100,26,38,45,45,84,42,90,24,82,88,29,25,67,29,23,37,18,70,68,12,22,93,83,91,61,73,25,33,41,36,47,62,79,10,19,36,18,38,76,15,41,18,91,33,48,82,48,99,47,20,35,44,57,46,44,76,62,44,65,78,49
73,60,22,57,35,34,84,98,86,70,35,0,69,43,76,21,61,12,86,28,86,68,45,85,23,63,57,71,64,35,89,70,36,97,64,17,28,48,53,81,78,18,31,22,10,89,16,92,77,99,19,90,47,81,50,39,53,70,41,16,21,39,53,13,76,55,59,48,19,43,39,67,31,59,49,85,30,67,31,85,92,100,41,64,77,28,28,33,29,48,78,73
52,19,22,32,98,100,93,64,45,75,87,69,0,97,76,29,54,31,12,99,23,12,97,74,94,34,29,50,48,71,76,27,94,21,43,73,34,11,50,10,10,10,40,63,13,100,46,42,100,50,31,13,55,15,68,89,81,71,33,91,85,10,28,13,87,77,32,95,24,90,25,13,72,27,15,13,52,100,18,32,31,10,56,54,37,33,14,70,70,93,87,52
28,55,23,42,91,38,41,58,60,91,81,43,97,0,23,80,66,90,91,88,43,10,69,36,51,97,54,50,75,97,54,71,80,33,63,60,59,62,13,39,34,61,96,36,68,74,62,84,19,18,42,32,33,52,99,25,41,48,48,57,19,66,29,83,56,92,56,94,87,52,49,55,27,40,89,74,12,86,50,56,53,19,34,16,69,85,28,39,11,32,28,28
96,74,25,64,45,71,54,72,96,31,11,76,76,23,0,42,77,34,26,11,72,82,71,58,35,18,74,97,55,78,27,69,48,40,17,14,70,68,48,81,69,22,42,17,93,17,55,31,53,89,59,96,55,29,29,44,87,84,78,24,68,25,50,57,100,31,97,41,21,68,38,73,55,90,75,93,35,85,60,31,100,42,100,63,10,50,32,44,76,68,35,96
84,23,32,26,69,18,29,59,100,69,54,21,29,80,42,0,12,29,98,15,56,63,93,88,82,34,22,60,22,37,83,21,43,22,75,87,62,21,86,20,28,28,87,55,17,22,59,44,93,62,94,24,26,14,45,27,61,12,47,22,93,68,96,48,29,30,32,90,10,84,34,87,55,58,21,19,26,88,87,14,44,74,21,69,73,53,29,27,33,34,30,84
74,65,20,59,82,36,55,42,85,55,13,61,54,66,77,12,0,88,96,100,62,53,93,89,51,92,84,63,99,22,27,27,13,96,86,58,92,50,23,85,92,34,67,53,58,49,44,11,53,38,71,61,15,92,87,14,10,15,69,72,96,33,27,49,44,40,83,92,37,20,31,77,66,23,40,47,50,41,47,89,86,74,13,55,26,73,95,27,80,23,59,74
16,12,50,45,100,30,99,86,33,72,31,12,31,90,34,29,88,0,71,95,46,32,88,70,13,18,82,56,44,57,40,52,25,81,70,46,43,43,53,60,49,33,55,77,62,54,27,36,31,84,51,97,21,51,89,57,69,77,97,75,57,18,68,65,65,41,75,79,88,69,69,63,78,59,29,72,68,56,48,62,90,86,22,54,94,46,44,32,82,12,58,16
33,68,35,29,69,53,84,77,99,21,45,86,12,91,26,98,96,71,0,80,52,71,86,50,86,44,43,85,95,23,18,59,18,30,45,15,40,51,79,83,97,95,23,48,57,75,78,54,51,70,81,46,66,86,81,17,26,21,89,46,74,33,93,80,24,49,12,39,58,44,74,62,63,61,52,37,66,57,32,96,65,22,40,47,10,23,56,39,86,86,34,33
84,29,70,79,96,18,49,73,35,11,46,28,99,88,11,15,100,95,80,0,15,28,40,73,75,46,56,67,12,75,68,22,100,64,58,69,84,24,17,82,83,72,71,29,55,95,66,15,39,57,86,58,95,97,68,57,35,87,64,65,41,76,95,23,63,90,18,81,74,88,44,12,74,12,78,17,67,63,45,56,34,99,32,22,65,43,55,98,24,62,84,84
36,86,87,32,65,87,34,75,54,21,72,86,23,43,72,56,62,46,52,15,0,64,65,87,70,20,40,94,76,64,17,19,21,55,23,12,54,61,12,24,56,68,13,46,74,82,35,11,13,33,21,12,52,29,44,25,25,48,15,89,73,37,73,24,36,74,86,96,67,38,53,32,22,83,54,69,59,35,76,64,61,26,26,22,83,79,68,42,83,60,20,36
70,33,77,78,83,28,16,84,59,95,86,68,12,10,82,63,53,32,71,28,64,0,98,55,78,10,17,89,56,61,21,48,38,42,25,37,84,22,50,37,15,38,44,55,10,23,23,89,84,30,40,23,28,37,85,92,92,22,17,43,32,32,75,11,76,31,30,60,13,69,41,40,35,38,86,57,54,71,46,40,24,46,95,38,63,34,63,23,37,75,90,70
96,86,11,72,82,90,11,39,24,19,53,45,97,69,71,93,93,88,86,40,65,98,0,90,38,60,86,72,65,38,15,80,57,47,98,27,12,79,77,71,12,15,78,96,76,66,18,90,68,70,52,76,45,35,90,39,24,28,46,83,88,92,71,36,30,98,71,49,12,18,64,67,65,54,50,83,85,74,43,20,89,96,80,36,94,93,50,29,45,28,30,96
63,30,21,31,42,58,72,85,99,54,72,85,74,36,58,88,89,70,50,73,87,55,90,0,41,100,98,29,75,72,46,68,83,54,63,84,62,48,38,10,49,82,54,13,93,34,68,97,25,47,34,41,98,65,35,79,65,77,71,97,85,76,28,40,27,89,45,63,41,100,55,24,74,19,13,95,25,82,75,19,84,13,69,31,85,96,22,21,47,31,48,63
