14
0,1,3,2,3,2,3,4,1,2,1,3,3,3,2,0
0,58,86,99,96,99,46,27,22,26,31,49,90,45,32,0
58,0,44,99,99,29,79,93,67,11,76,11,30,11,49,58
86,44,0,17,63,25,85,96,20,69,66,97,42,37,33,86
99,99,17,0,37,74,75,79,24,15,41,26,27,82,71,99
96,99,63,37,0,32,36,89,42,26,25,42,10,89,51,96
99,29,25,74,32,0,27,77,77,92,87,78,35,75,45,99
46,79,85,75,36,27,0,72,71,50,69,92,65,23,76,46
27,93,96,79,89,77,72,0,89,81,72,36,75,41,39,27
22,67,20,24,42,77,71,89,0,78,90,34,28,62,30,22
26,11,69,15,26,92,50,81,78,0,97,23,90,74,69,26
31,76,66,41,25,87,69,72,90,97,0,54,31,11,28,31
49,11,97,26,42,78,92,36,34,23,54,0,14,78,98,49
90,30,42,27,10,35,65,75,28,90,31,14,0,31,38,90
45,11,37,82,89,75,23,41,62,74,11,78,31,0,51,45
32,49,33,71,51,45,76,39,30,69,28,98,38,51,0,32
0,58,86,99,96,99,46,27,22,26,31,49,90,45,32,0
