16
0,4,1,2,4,1,1,4,3,2,2,3,2,3,3,2,4,0
0,56,94,17,57,92,28,48,13,48,53,57,45,82,86,53,93,0
56,0,43,96,51,75,53,25,100,43,21,13,13,47,15,25,29,56
94,43,0,21,94,71,87,45,12,97,48,70,37,63,27,34,68,94
17,96,21,0,98,68,33,88,78,91,69,55,48,36,26,35,93,17
57,51,94,98,0,62,58,85,98,40,79,52,28,65,72,30,60,57
92,75,71,68,62,0,35,26,56,45,33,41,69,75,31,89,28,92
28,53,87,33,58,35,0,45,76,76,31,23,80,77,10,50,43,28
48,25,45,88,85,26,45,0,37,84,45,39,90,26,31,24,98,48
13,100,12,78,98,56,76,37,0,13,22,82,57,22,72,36,35,13
48,43,97,91,40,45,76,84,13,0,65,87,71,51,27,13,60,48
53,21,48,69,79,33,31,45,22,65,0,47,45,36,77,44,57,53
57,13,70,55,52,41,23,39,82,87,47,0,11,51,82,87,72,57
45,13,37,48,28,69,80,90,57,71,45,11,0,41,37,52,91,45
82,47,63,36,65,75,77,26,22,51,36,51,41,0,92,63,65,82
86,15,27,26,72,31,10,31,72,27,77,82,37,92,0,47,83,86
53,25,34,35,30,89,50,24,36,13,44,87,52,63,47,0,32,53
93,29,68,93,60,28,43,98,35,60,57,72,91,65,83,32,0,93
0,56,94,17,57,92,28,48,13,48,53,57,45,82,86,53,93,0
