11
0,2,4,4,3,3,1,4,2,1,3,3,0
0,66,74,25,92,95,79,77,37,11,71,63,0
66,0,39,69,89,49,27,94,96,71,64,92,66
74,39,0,94,69,35,75,90,11,85,90,14,74
25,69,94,0,98,56,84,73,73,69,54,86,25
92,89,69,98,0,11,64,18,17,30,43,59,92
95,49,35,56,11,0,91,46,23,42,49,29,95
79,27,75,84,64,91,0,48,28,62,32,25,79
77,94,90,73,18,46,48,0,98,43,26,95,77
37,96,11,73,17,23,28,98,0,17,90,25,37
11,71,85,69,30,42,62,43,17,0,84,75,11
71,64,90,54,43,49,32,26,90,84,0,74,71
63,92,14,86,59,29,25,95,25,75,74,0,63
0,66,74,25,92,95,79,77,37,11,71,63,0
