101
0,1,2,3,1,3,3,3,4,2,4,2,4,1,4,2,3,2,4,1,1,3,1,2,3,2,3,2,4,2,2,3,4,4,1,4,2,3,3,1,2,3,2,4,1,2,4,1,1,3,3,3,2,2,2,4,4,1,2,2,4,4,2,2,1,2,3,2,4,4,4,4,1,1,4,1,1,3,1,2,2,3,1,2,3,3,2,4,2,4,1,4,2,2,3,3,3,1,3,1,3,1,0
0,78,99,98,24,44,68,50,67,31,94,51,64,90,93,97,73,23,65,76,63,91,30,100,26,33,97,13,80,64,75,64,77,31,88,19,75,69,53,77,58,89,48,23,10,60,42,80,96,61,55,52,96,61,74,91,47,94,18,44,60,11,20,24,85,42,58,29,70,58,43,24,23,76,67,70,45,65,79,13,13,91,35,50,99,25,67,24,50,12,14,36,75,49,42,55,65,75,45,31,48,92,0
78,0,35,25,46,80,74,79,85,21,52,68,75,97,68,18,37,47,39,24,34,55,40,49,100,57,62,96,36,18,94,96,45,82,26,98,85,65,47,25,69,27,33,84,83,44,87,42,24,76,68,45,96,68,63,46,78,13,30,52,96,12,57,64,18,69,83,57,11,59,100,11,73,82,14,24,21,33,47,16,28,64,91,64,57,25,49,26,67,70,41,34,88,92,50,69,39,56,71,26,96,17,78
99,35,0,13,20,67,29,11,72,41,38,73,93,49,27,58,87,50,39,92,58,53,84,27,12,86,16,40,89,30,78,63,61,21,65,57,68,82,96,73,89,40,88,62,54,67,99,60,90,77,36,32,25,24,69,24,34,70,84,43,47,64,51,70,98,57,20,19,23,82,44,64,90,11,57,81,84,87,61,11,12,81,71,17,99,95,68,83,80,45,57,38,65,77,68,66,99,10,42,15,45,42,99
98,25,13,0,84,44,58,93,31,84,11,31,45,21,85,100,78,14,27,35,66,35,27,23,84,37,42,89,82,14,42,95,26,79,63,58,73,37,55,88,86,60,54,25,51,41,84,81,58,13,44,61,63,66,17,46,55,10,15,39,84,65,75,22,36,26,83,38,40,74,44,25,97,49,25,37,42,12,60,48,53,79,56,81,58,39,61,60,97,40,70,29,29,15,27,46,43,63,54,12,50,42,98
24,46,20,84,0,65,30,65,34,70,36,18,21,85,45,51,29,13,64,92,71,20,80,80,68,95,43,36,57,23,31,21,90,84,31,59,65,48,29,73,44,74,44,42,15,10,92,40,63,87,71,84,25,60,25,80,80,25,54,85,77,19,98,80,81,91,15,87,14,95,40,87,99,21,35,81,16,36,31,21,30,54,18,99,40,22,28,14,20,81,82,41,40,93,99,28,60,93,59,32,63,24,24
44,80,67,44,65,0,79,94,25,78,93,44,52,36,52,32,37,23,43,20,71,70,18,98,90,99,18,67,33,59,96,23,16,48,58,37,23,64,82,45,56,34,71,59,25,60,78,40,61,24,35,66,27,97,87,29,32,14,15,27,91,40,62,48,54,15,88,34,38,77,21,100,40,62,79,29,69,45,15,89,75,64,38,94,10,46,32,23,65,76,26,93,73,78,36,89,62,28,99,76,37,55,44
68,74,29,58,30,79,0,25,75,26,70,90,70,44,23,47,45,29,16,93,12,45,42,51,57,98,32,62,30,99,16,85,37,69,14,87,72,54,78,83,83,95,44,87,25,87,54,95,18,40,82,63,42,92,82,46,82,63,72,20,81,71,31,37,57,86,34,41,54,43,39,38,24,93,41,83,70,62,26,36,100,46,81,91,39,91,64,23,89,90,10,61,66,40,69,100,99,78,71,37,28,70,68
50,79,11,93,65,94,25,0,48,69,96,58,73,31,72,16,49,80,14,70,100,28,86,40,35,21,67,11,17,62,95,42,70,80,21,25,38,88,76,32,65,72,87,19,11,79,55,61,64,17,18,11,53,91,19,67,79,100,49,13,91,53,43,58,57,40,94,81,90,31,50,61,34,49,35,86,58,54,79,17,63,94,59,89,32,23,99,38,100,80,76,47,33,51,50,93,43,12,46,28,72,76,50
67,85,72,31,34,25,75,48,0,94,58,54,99,47,89,13,99,76,85,28,63,30,24,90,71,70,12,87,36,54,67,15,37,22,78,79,40,54,60,43,100,91,43,62,53,52,12,68,97,74,48,15,54,32,66,26,68,21,97,98,79,67,66,88,49,54,92,53,52,42,99,88,59,67,37,35,57,43,93,13,88,55,31,30,50,26,98,65,66,16,61,100,95,56,14,65,77,88,69,38,80,56,67
