104
0,3,3,4,4,3,1,3,1,2,1,4,2,1,3,2,4,4,4,4,3,3,4,2,2,3,2,1,3,3,1,2,3,1,3,1,2,4,4,2,1,4,1,1,4,3,2,2,2,1,3,3,4,3,3,1,2,1,1,3,4,3,3,4,2,4,4,4,2,1,3,4,1,4,4,3,3,4,4,4,3,3,1,3,3,3,3,2,2,3,4,3,3,4,2,1,1,4,4,1,2,2,1,3,3,0
0,21,65,58,51,86,41,33,56,83,94,81,13,30,56,40,42,43,58,33,100,65,17,91,31,16,52,71,74,76,45,75,83,17,20,56,100,60,23,64,95,75,90,37,18,29,15,75,82,12,100,55,19,15,24,35,40,37,74,92,12,81,29,87,80,90,95,81,63,50,53,69,72,36,90,27,99,100,54,21,90,51,88,44,71,84,73,33,11,24,91,46,61,26,48,42,81,55,78,56,34,91,93,96,13,0
21,0,17,43,86,95,89,44,88,12,37,79,13,16,34,18,24,100,100,97,41,39,46,73,44,96,56,36,13,18,88,53,62,48,87,64,96,49,59,73,83,53,41,94,23,78,61,31,80,87,54,36,97,73,80,54,81,85,32,85,91,29,23,88,70,22,33,97,35,37,24,70,71,79,97,79,79,85,78,59,16,57,26,99,41,31,19,27,21,54,68,82,64,78,41,71,33,30,19,33,68,78,88,24,46,21
65,17,0,89,66,18,31,64,69,77,46,87,16,19,59,23,23,72,75,22,21,20,82,92,48,71,100,46,44,63,29,62,41,64,63,80,51,46,26,14,48,31,63,29,52,55,98,11,68,32,95,73,96,68,32,88,49,65,47,50,63,19,49,18,74,67,33,24,93,100,57,99,29,40,74,21,58,92,66,56,34,75,70,74,32,26,19,47,43,54,26,96,98,64,61,73,68,10,51,42,56,69,93,70,33,65
58,43,89,0,57,51,19,31,50,79,31,81,74,33,32,28,19,53,38,58,19,55,33,92,54,85,28,96,80,90,28,18,55,37,56,90,77,53,42,58,12,32,73,99,24,56,12,22,36,54,94,88,42,28,61,16,35,86,69,49,18,84,28,63,96,37,96,100,37,49,17,87,60,13,78,70,95,18,16,53,40,58,31,61,64,36,33,62,64,81,60,56,14,69,55,43,78,35,56,77,51,50,12,90,35,58
51,86,66,57,0,76,86,25,90,39,51,94,61,14,10,28,79,38,46,95,28,94,64,16,48,21,90,67,73,66,67,21,88,14,71,33,28,56,44,24,30,49,82,46,38,69,94,91,64,52,83,60,12,10,98,17,48,25,74,98,89,91,88,68,43,10,28,47,46,34,40,46,17,63,61,83,10,63,58,47,29,75,18,37,45,60,78,79,25,60,26,62,46,44,55,47,82,39,45,54,73,23,36,56,86,51
86,95,18,51,76,0,27,35,71,52,30,78,34,27,34,11,77,29,91,55,33,46,84,81,29,47,22,36,24,67,93,53,64,61,53,44,14,98,45,37,70,72,75,33,74,29,63,56,89,43,97,11,32,43,91,83,56,15,78,38,100,15,70,40,13,71,21,19,98,85,36,15,23,68,66,95,82,86,30,33,16,96,67,88,42,11,97,64,51,81,31,83,26,87,85,50,50,34,25,66,14,75,38,49,70,86
41,89,31,19,86,27,0,20,66,42,42,20,64,10,88,64,98,69,88,74,64,42,42,43,47,57,87,24,17,85,48,34,24,40,82,71,54,44,62,62,23,69,76,22,15,56,53,95,18,62,59,48,62,41,64,45,60,79,79,82,75,49,20,28,94,89,30,83,31,93,34,35,92,85,41,55,75,33,84,21,84,60,42,67,96,53,86,88,85,60,93,46,75,65,12,69,37,94,97,32,71,54,27,42,31,41
33,44,64,31,25,35,20,0,87,12,44,25,90,45,18,38,42,91,18,61,46,87,42,25,49,55,72,63,19,39,29,34,37,18,65,37,63,51,76,26,53,85,24,69,48,96,11,45,92,68,41,38,65,73,17,72,34,12,13,94,49,57,64,38,70,39,24,58,55,67,73,27,29,89,64,13,35,85,99,23,78,67,59,43,87,37,22,68,24,71,80,50,33,65,24,53,92,37,15,45,23,59,48,46,82,33
56,88,69,50,90,71,66,87,0,55,17,63,46,33,55,30,44,50,64,12,30,58,75,77,58,17,71,88,82,53,18,100,31,72,49,66,38,85,47,29,69,27,33,24,64,41,10,23,26,59,22,14,58,38,25,95,73,28,81,99,33,28,93,73,55,86,12,83,61,65,49,29,84,56,86,66,84,22,38,71,41,93,88,71,59,52,32,55,52,65,98,97,73,38,68,86,78,46,27,45,15,12,39,38,20,56
83,12,77,79,39,52,42,12,55,0,92,58,81,17,39,27,22,23,34,82,16,48,66,16,13,81,40,67,45,18,91,42,27,11,20,62,65,97,56,36,91,72,13,87,21,95,78,22,58,47,23,43,65,71,57,45,23,30,26,30,89,62,14,77,85,97,69,95,70,73,38,31,63,59,59,29,73,11,65,77,88,21,23,37,53,11,91,35,30,26,62,40,57,81,49,57,93,88,20,85,70,55,82,56,58,83
94,37,46,31,51,30,42,44,17,92,0,39,82,98,68,66,53,90,81,26,62,78,12,37,17,82,60,67,38,27,56,89,81,86,89,56,15,19,66,34,64,14,93,39,70,13,83,66,11,88,76,86,94,92,21,36,97,25,84,14,40,43,72,88,40,42,78,44,61,57,21,34,12,25,47,26,77,35,12,85,44,34,58,36,40,11,95,73,93,25,96,26,76,18,53,80,28,89,40,63,72,71,86,71,38,94
81,79,87,81,94,78,20,25,63,58,39,0,98,30,43,58,87,16,90,94,44,39,32,95,36,69,85,34,25,87,48,83,62,53,24,38,74,71,22,48,58,29,92,70,73,51,98,37,67,17,72,82,72,34,80,28,57,88,10,13,18,78,19,19,22,92,91,12,60,96,32,16,76,71,81,23,54,65,27,56,48,82,68,45,38,52,96,98,30,39,96,95,36,24,26,82,95,22,51,17,62,70,84,46,87,81
13,13,16,74,61,34,64,90,46,81,82,98,0,58,61,96,59,83,44,32,93,73,48,100,24,26,14,25,11,74,27,77,58,11,29,53,82,77,16,81,72,79,40,67,94,21,93,68,25,80,94,72,55,95,28,11,17,56,90,94,97,33,79,27,73,81,48,59,50,93,77,81,71,52,56,28,84,89,81,13,45,13,97,53,23,88,20,69,51,71,26,38,21,65,97,96,52,72,57,10,17,19,37,69,94,13
30,16,19,33,14,27,10,45,33,17,98,30,58,0,45,86,41,48,53,62,100,47,56,90,94,60,79,26,18,92,83,75,28,52,40,69,69,35,13,87,79,42,39,43,29,98,34,11,23,32,94,53,86,22,97,99,96,39,69,81,77,59,34,81,66,41,65,57,58,83,49,76,66,40,70,88,65,36,39,76,48,91,46,45,73,92,30,70,12,14,62,44,65,32,66,30,59,63,50,79,84,29,24,13,82,30
