66
0,1,4,1,1,2,4,2,4,1,2,3,2,4,4,4,3,3,3,3,1,2,1,3,4,1,1,1,1,2,2,4,2,1,3,3,1,4,2,4,1,2,3,3,3,4,2,3,1,2,2,2,3,3,3,4,2,4,4,2,3,3,4,2,1,4,1,0
0,10,56,99,53,48,30,37,79,45,75,14,22,53,39,100,39,97,63,70,41,69,22,88,17,20,22,20,86,91,25,20,41,61,45,88,40,13,56,51,90,68,11,60,53,69,26,39,84,79,99,80,98,10,20,100,55,86,49,20,23,100,64,64,88,23,12,0
10,0,33,65,52,84,22,83,55,37,64,29,77,99,19,93,93,21,25,52,24,52,60,19,41,35,24,33,45,21,40,91,79,33,19,53,15,50,33,19,45,47,65,81,28,30,20,32,90,10,52,63,11,40,54,50,100,66,11,97,48,25,33,34,88,48,58,10
56,33,0,70,48,68,23,55,97,62,38,51,24,26,61,71,15,94,59,62,55,74,13,62,40,78,18,33,68,58,98,68,96,88,77,51,63,40,100,44,72,51,53,87,86,22,76,10,79,42,41,87,72,97,38,100,30,86,14,57,94,31,13,73,20,22,27,56
99,65,70,0,16,73,45,100,43,85,53,16,59,55,92,25,18,98,70,71,45,43,62,24,100,20,13,58,23,65,49,36,56,29,48,34,75,12,21,70,49,39,37,48,54,69,91,86,82,45,67,79,71,71,91,30,20,79,73,71,14,33,60,55,37,10,60,99
53,52,48,16,0,34,100,35,22,46,12,85,98,99,63,31,42,58,77,98,75,77,28,47,52,85,99,86,32,44,93,12,31,70,61,67,53,30,42,78,78,18,66,44,32,90,68,92,34,17,92,83,37,59,21,94,28,59,41,13,73,18,25,17,62,61,88,53
48,84,68,73,34,0,56,71,45,20,16,27,33,11,55,84,88,99,61,16,36,83,40,27,16,35,80,73,74,74,26,17,68,60,16,38,96,48,14,54,98,75,37,58,64,10,36,82,37,73,30,100,73,93,94,42,99,22,67,24,92,80,42,65,94,68,92,48
30,22,23,45,100,56,0,63,69,64,78,46,93,81,64,23,40,28,76,99,47,91,49,26,95,93,86,40,39,63,71,33,64,59,16,82,47,58,71,96,77,62,63,13,13,28,19,99,74,46,59,48,67,17,48,69,94,14,39,16,33,86,57,86,97,52,12,30
37,83,55,100,35,71,63,0,57,31,16,93,11,66,71,32,80,70,83,89,55,55,76,24,17,44,88,56,41,68,52,95,22,43,60,25,57,14,55,91,84,53,86,49,80,81,58,87,15,41,64,93,12,81,77,31,72,67,69,23,34,100,60,48,90,93,93,37
79,55,97,43,22,45,69,57,0,34,38,26,61,62,15,71,15,10,41,23,10,91,96,90,21,90,49,82,98,14,31,32,74,10,42,94,13,28,20,41,28,60,26,21,93,95,14,26,73,41,90,96,15,32,67,73,54,30,87,99,96,75,47,90,37,76,47,79
