13
0,2,4,1,4,3,4,3,4,3,3,3,4,2,0
0,95,83,50,43,94,26,45,26,21,68,67,55,87,0
95,0,25,58,15,67,99,72,70,12,72,32,53,48,95
83,25,0,53,70,46,15,100,53,47,57,24,42,14,83
50,58,53,0,58,10,57,21,61,60,80,53,92,20,50
43,15,70,58,0,92,81,43,84,84,24,63,78,66,43
94,67,46,10,92,0,69,62,73,36,21,78,74,33,94
26,99,15,57,81,69,0,84,25,63,15,21,30,75,26
45,72,100,21,43,62,84,0,96,99,71,43,78,19,45
26,70,53,61,84,73,25,96,0,12,92,94,52,65,26
21,12,47,60,84,36,63,99,12,0,39,90,65,51,21
68,72,57,80,24,21,15,71,92,39,0,15,35,52,68
67,32,24,53,63,78,21,43,94,90,15,0,31,46,67
55,53,42,92,78,74,30,78,52,65,35,31,0,38,55
87,48,14,20,66,33,75,19,65,51,52,46,38,0,87
0,95,83,50,43,94,26,45,26,21,68,67,55,87,0
