17
0,1,3,2,4,4,2,4,2,1,2,3,2,1,1,4,4,4,0
0,20,95,91,68,60,55,53,11,96,40,32,15,18,42,27,57,52,0
20,0,15,68,72,39,30,70,71,99,80,63,83,67,11,64,70,51,20
95,15,0,27,51,81,96,22,50,57,20,12,12,60,26,96,72,51,95
91,68,27,0,39,96,13,95,76,85,82,22,32,12,78,89,10,59,91
68,72,51,39,0,29,14,41,15,91,65,21,99,33,30,37,85,14,68
60,39,81,96,29,0,92,29,67,56,77,42,36,19,69,28,77,58,60
55,30,96,13,14,92,0,99,63,21,41,11,83,30,83,97,27,86,55
53,70,22,95,41,29,99,0,47,34,62,20,51,43,36,68,30,37,53
11,71,50,76,15,67,63,47,0,21,76,37,16,41,47,41,58,87,11
96,99,57,85,91,56,21,34,21,0,58,80,12,95,98,29,85,24,96
40,80,20,82,65,77,41,62,76,58,0,62,45,64,79,87,94,63,40
32,63,12,22,21,42,11,20,37,80,62,0,81,81,68,78,54,51,32
15,83,12,32,99,36,83,51,16,12,45,81,0,30,80,90,98,93,15
18,67,60,12,33,19,30,43,41,95,64,81,30,0,41,77,57,46,18
42,11,26,78,30,69,83,36,47,98,79,68,80,41,0,61,10,34,42
27,64,96,89,37,28,97,68,41,29,87,78,90,77,61,0,27,57,27
57,70,72,10,85,77,27,30,58,85,94,54,98,57,10,27,0,28,57
52,51,51,59,14,58,86,37,87,24,63,51,93,46,34,57,28,0,52
0,20,95,91,68,60,55,53,11,96,40,32,15,18,42,27,57,52,0
