85
0,3,4,1,4,1,3,3,3,4,2,1,4,1,1,2,3,4,2,2,2,2,4,3,2,2,4,4,3,1,1,1,2,4,2,3,3,3,2,1,2,4,3,2,3,4,2,2,2,1,2,3,2,3,2,3,2,1,1,1,2,1,1,4,4,4,3,2,4,3,3,4,3,3,4,1,4,3,4,4,4,3,3,1,1,2,0
0,54,55,32,19,65,29,79,21,46,67,57,76,16,38,55,55,53,47,20,37,69,47,39,34,24,55,68,29,93,12,40,39,32,34,19,29,17,21,32,69,65,95,28,98,61,27,48,32,15,30,31,29,64,100,79,96,75,59,86,44,81,58,74,28,55,62,13,88,54,55,82,95,27,57,54,100,46,28,14,38,49,55,53,25,22,0
54,0,22,37,71,70,28,18,62,88,44,80,34,78,11,95,48,24,73,35,53,89,34,53,79,69,75,70,20,88,60,21,84,58,23,55,97,37,62,79,12,100,13,37,56,47,98,32,86,40,52,61,65,93,14,13,61,94,56,65,64,65,21,79,86,17,98,52,68,68,43,23,47,27,20,70,12,73,62,71,27,20,91,24,77,36,54
55,22,0,28,30,100,38,76,95,99,44,65,11,86,14,67,100,15,19,83,40,66,40,97,30,25,92,67,35,22,99,29,50,94,100,73,31,100,75,97,89,79,60,78,51,92,75,36,20,81,54,33,97,13,69,63,46,60,13,33,31,14,21,98,76,20,22,23,53,59,88,84,18,61,40,42,16,52,91,10,47,24,43,33,61,63,55
32,37,28,0,31,71,27,17,48,63,82,10,71,91,65,37,44,30,25,33,18,24,87,39,28,65,91,15,45,46,48,11,37,20,50,57,20,31,58,50,62,41,96,94,81,17,76,77,53,84,19,23,54,11,17,92,49,42,93,30,34,36,28,85,12,43,62,72,61,66,95,57,47,92,10,79,80,24,68,31,35,52,96,79,41,44,32
19,71,30,31,0,68,34,39,49,42,94,28,49,99,76,70,66,32,38,89,50,80,36,73,64,68,66,42,87,50,39,91,23,56,55,29,90,79,36,99,43,68,97,98,73,51,26,12,81,69,67,65,22,37,64,28,21,43,48,59,29,71,45,98,43,39,85,93,12,91,21,61,58,65,48,78,59,70,71,61,19,44,28,89,61,33,19
65,70,100,71,68,0,55,44,29,91,12,87,74,13,45,29,41,65,27,15,95,64,94,56,93,63,48,47,71,35,88,78,70,33,97,47,36,29,47,38,89,32,10,85,29,11,33,73,84,17,21,51,32,47,97,92,27,86,75,20,19,23,65,23,20,19,40,84,82,31,47,73,70,69,40,81,82,88,29,69,65,83,31,22,48,79,65
29,28,38,27,34,55,0,51,43,76,14,25,63,31,98,65,54,65,55,80,80,16,75,63,14,73,89,15,75,61,75,34,63,31,21,70,56,44,96,66,34,43,32,95,89,26,60,80,27,17,32,45,53,58,51,34,97,18,50,25,56,42,38,27,16,63,78,88,21,61,48,65,15,27,30,59,57,51,25,100,27,56,56,83,57,67,29
79,18,76,17,39,44,51,0,84,69,42,42,43,38,96,14,52,27,13,68,86,91,81,66,11,57,52,16,85,60,59,42,87,12,77,46,95,94,61,53,29,97,84,92,98,47,90,17,50,29,94,14,45,78,87,60,99,27,89,17,55,66,71,82,40,56,48,70,90,97,24,31,28,66,81,47,94,10,72,16,95,84,61,17,68,83,79
21,62,95,48,49,29,43,84,0,24,30,42,23,64,32,99,19,31,40,45,11,63,94,32,72,32,77,67,74,39,48,49,21,51,82,92,84,92,28,99,47,100,15,12,71,98,40,57,71,92,74,11,46,27,93,54,20,94,35,95,46,83,22,89,54,86,37,14,28,46,27,67,74,49,15,23,93,31,69,54,35,99,66,56,15,59,21
46,88,99,63,42,91,76,69,24,0,32,49,30,45,74,29,65,54,51,48,96,81,21,11,47,55,71,22,41,40,89,44,59,80,76,58,30,91,19,40,34,82,62,94,61,28,100,24,27,29,91,99,41,100,41,38,57,95,24,23,41,23,58,23,68,64,56,27,17,49,92,63,33,66,84,77,77,57,58,32,37,95,58,10,10,56,46
