72
0,2,1,4,2,2,2,1,3,1,1,4,1,1,2,1,4,2,4,4,3,4,4,2,1,4,4,2,1,2,2,2,1,3,4,3,4,1,1,3,4,4,4,4,2,3,2,4,1,1,3,1,3,4,4,2,2,2,4,4,1,1,2,3,2,2,3,1,3,4,4,4,1,0
0,55,67,47,29,21,29,57,99,76,92,55,55,55,25,65,35,17,48,51,10,100,72,74,70,49,74,19,63,75,85,74,23,50,54,76,99,67,80,96,73,73,69,70,83,47,92,50,78,52,91,40,46,94,27,87,99,71,64,64,42,61,58,46,86,60,92,49,68,26,34,51,32,0
55,0,88,18,99,94,75,23,49,64,16,20,27,13,90,62,86,38,26,72,35,49,34,34,53,89,25,17,80,89,53,58,85,54,92,18,21,35,53,44,93,35,20,69,69,45,20,28,32,41,69,71,52,31,73,14,82,54,83,59,69,31,11,73,12,26,22,61,80,70,66,37,32,55
67,88,0,40,92,30,40,22,10,66,47,43,18,60,53,86,55,87,100,78,35,82,89,73,63,11,43,31,42,96,39,30,98,35,74,78,25,11,74,67,19,25,54,67,71,41,50,95,61,75,98,81,85,71,92,65,91,67,23,31,60,97,54,14,44,19,17,57,46,59,17,80,30,67
47,18,40,0,81,90,17,83,54,28,14,71,41,61,62,54,65,69,52,58,98,76,18,39,34,15,89,36,100,79,22,67,77,92,47,93,75,55,72,78,83,28,23,100,81,43,82,100,57,37,54,55,57,89,79,26,22,32,91,57,44,57,63,51,73,11,64,23,14,72,46,89,61,47
29,99,92,81,0,68,12,90,36,18,19,38,64,79,22,83,74,20,89,37,39,17,31,45,44,63,86,73,91,90,22,12,87,20,81,41,10,33,88,69,84,59,58,57,98,83,18,81,72,50,12,54,49,24,79,79,83,68,67,58,68,25,62,59,59,76,83,68,63,64,36,32,75,29
21,94,30,90,68,0,75,51,40,50,85,69,21,33,98,87,58,59,68,54,37,30,85,97,31,12,17,35,86,46,32,88,23,84,25,99,39,87,94,82,48,30,37,73,100,57,37,68,19,44,80,79,100,90,51,25,81,69,82,22,18,88,46,96,17,25,76,61,90,62,72,26,91,21
29,75,40,17,12,75,0,13,92,51,28,50,43,63,13,50,73,23,82,65,19,73,71,85,32,45,26,94,96,74,73,19,22,33,18,16,64,13,87,80,34,56,72,44,93,97,27,32,14,47,79,75,96,73,18,23,89,64,90,25,12,63,34,99,66,92,99,62,88,79,87,60,11,29
57,23,22,83,90,51,13,0,60,61,35,69,54,45,35,27,18,31,27,66,50,13,51,56,12,26,90,61,54,16,50,70,46,42,35,61,99,79,80,32,40,28,45,41,43,61,15,52,70,71,69,43,35,51,93,25,86,52,89,96,45,97,90,79,20,48,99,82,46,66,15,44,46,57
99,49,10,54,36,40,92,60,0,94,31,75,53,76,37,84,44,99,14,84,17,76,99,35,74,95,30,85,48,67,11,72,97,96,11,16,50,24,29,91,49,25,23,81,25,61,88,70,29,96,82,52,42,13,27,79,11,16,39,48,57,91,43,99,72,47,36,17,72,19,88,14,46,99
76,64,66,28,18,50,51,61,94,0,33,76,37,37,66,59,86,39,69,74,44,56,42,95,10,26,14,47,91,55,10,76,33,58,86,22,67,35,25,89,43,83,91,88,39,92,10,52,72,58,86,56,18,56,38,10,60,39,37,73,94,12,37,26,40,13,31,23,68,68,13,25,76,76
92,16,47,14,19,85,28,35,31,33,0,66,83,46,89,59,84,85,42,78,13,89,17,58,50,64,98,45,20,12,10,83,39,66,99,53,73,62,88,99,62,82,12,47,83,44,59,90,14,89,30,86,25,21,85,92,85,43,73,36,25,87,23,29,83,10,10,11,62,44,11,18,15,92
55,20,43,71,38,69,50,69,75,76,66,0,35,91,30,98,12,48,78,97,69,96,97,81,54,83,47,49,53,88,94,87,77,33,79,53,94,28,39,67,13,93,55,41,32,62,11,99,53,49,92,45,57,50,55,94,46,20,36,94,100,98,64,49,30,66,93,90,79,24,73,23,95,55
55,27,18,41,64,21,43,54,53,37,83,35,0,11,45,96,61,92,18,94,89,88,81,83,99,46,21,87,25,68,42,69,12,19,52,82,55,56,38,56,79,57,68,28,38,81,60,35,51,68,97,79,53,55,91,39,71,57,62,78,91,56,91,72,71,27,94,11,73,32,65,15,69,55
55,13,60,61,79,33,63,45,76,37,46,91,11,0,94,26,38,67,20,54,80,47,96,11,100,50,92,55,61,14,85,65,51,23,91,51,35,42,98,79,84,25,37,69,50,91,53,82,94,14,47,24,15,13,83,32,14,48,75,24,76,51,20,26,76,89,61,65,55,79,21,67,90,55
