55
0,2,4,3,3,1,1,3,3,4,2,3,2,3,1,4,2,1,4,4,3,2,1,2,2,1,4,4,4,1,3,3,1,4,2,1,4,1,4,1,4,1,3,2,1,4,2,2,1,4,1,4,4,2,1,1,0
0,70,17,22,41,16,84,25,64,100,62,62,34,89,60,71,42,15,99,34,23,80,18,75,31,73,62,91,33,77,10,58,39,99,54,95,54,34,48,87,48,21,38,100,93,24,79,73,27,30,69,31,34,87,87,63,0
70,0,40,29,27,66,96,64,56,36,20,19,26,23,23,95,89,100,61,96,53,15,77,92,27,46,79,79,37,78,70,95,67,41,68,93,68,50,41,56,30,55,14,42,17,86,87,34,57,27,21,19,40,66,36,28,70
17,40,0,17,18,96,17,35,70,24,92,60,79,42,91,100,20,93,96,85,31,25,11,67,41,98,67,22,93,74,24,58,39,97,14,32,80,89,44,74,68,95,69,60,61,19,16,12,92,44,32,88,47,57,44,21,17
22,29,17,0,57,35,16,11,73,12,34,26,31,87,54,72,91,23,10,23,40,86,82,61,95,52,46,56,93,77,84,49,98,58,15,13,61,87,82,53,64,20,46,24,95,60,33,12,27,14,21,69,30,14,13,98,22
41,27,18,57,0,23,24,59,17,85,91,76,32,32,79,71,73,85,73,35,66,53,88,38,16,51,83,26,27,13,20,29,82,38,98,22,60,45,88,76,41,51,57,26,24,58,22,11,85,52,40,52,88,46,16,91,41
16,66,96,35,23,0,27,83,44,14,53,10,39,45,98,74,27,93,89,69,45,89,33,91,68,100,22,77,35,34,13,43,57,10,57,41,96,58,31,44,44,89,79,79,42,94,83,35,27,71,10,74,78,77,94,97,16
84,96,17,16,24,27,0,21,40,36,91,10,19,84,71,67,91,50,15,72,71,82,52,30,54,46,82,59,41,27,92,52,11,15,26,75,75,19,73,94,50,67,19,26,81,53,19,71,27,55,38,66,56,68,53,53,84
25,64,35,11,59,83,21,0,87,66,60,60,80,85,25,62,97,26,37,49,100,63,69,88,67,40,25,18,50,60,82,77,76,93,75,13,91,52,14,76,61,42,72,12,18,86,98,78,34,27,63,15,32,97,58,50,25
64,56,70,73,17,44,40,87,0,43,92,29,54,44,30,50,56,72,100,51,56,32,36,18,29,30,91,98,14,23,66,94,88,44,75,32,17,54,52,60,85,59,11,87,82,88,61,58,91,85,30,51,68,85,93,68,64
100,36,24,12,85,14,36,66,43,0,20,95,21,90,94,65,37,90,100,74,43,97,82,84,36,13,69,61,93,47,100,22,21,60,32,94,58,30,54,69,67,66,17,47,55,44,73,57,71,61,69,20,68,27,77,74,100
62,20,92,34,91,53,91,60,92,20,0,33,40,46,64,35,56,53,66,43,45,22,96,72,19,20,94,49,43,65,36,27,65,90,18,39,85,25,44,45,75,10,31,75,71,97,36,83,12,96,52,31,14,72,60,34,62
62,19,60,26,76,10,10,60,29,95,33,0,15,33,88,86,40,58,71,86,11,65,10,83,11,37,82,90,13,68,51,91,63,37,74,23,58,72,43,60,35,54,15,66,64,27,65,30,82,99,93,68,86,76,26,95,62
34,26,79,31,32,39,19,80,54,21,40,15,0,68,26,34,37,56,96,70,13,91,50,30,39,90,13,13,66,92,83,82,96,69,69,13,69,12,92,69,91,58,17,54,57,50,74,27,47,73,76,72,32,79,36,88,34
89,23,42,87,32,45,84,85,44,90,46,33,68,0,26,47,78,68,44,75,87,81,21,38,22,86,27,30,42,10,77,69,23,16,77,81,80,93,20,20,13,85,29,14,86,68,96,13,50,63,37,41,45,10,25,21,89
60,23,91,54,79,98,71,25,30,94,64,88,26,26,0,43,88,71,70,28,59,17,10,91,55,31,68,58,92,89,14,71,55,37,18,83,52,64,55,57,82,17,40,45,83,43,73,24,59,100,26,55,26,25,83,21,60
71,95,100,72,71,74,67,62,50,65,35,86,34,47,43,0,19,16,49,16,35,26,61,84,99,95,14,42,97,24,32,24,93,77,95,44,89,21,72,89,63,45,58,46,55,90,58,68,91,86,43,53,46,93,56,52,71
42,89,20,91,73,27,91,97,56,37,56,40,37,78,88,19,0,65,76,57,19,63,91,53,86,53,74,99,30,60,80,54,63,24,96,31,81,13,21,62,92,89,29,96,21,49,39,16,72,78,95,94,79,70,71,30,42
15,100,93,23,85,93,50,26,72,90,53,58,56,68,71,16,65,0,17,91,28,85,27,22,20,18,49,18,12,75,83,12,13,93,61,75,46,54,29,88,82,70,54,94,40,51,85,63,19,40,65,42,22,44,34,31,15
99,61,96,10,73,89,15,37,100,100,66,71,96,44,70,49,76,17,0,26,24,64,44,91,43,18,57,14,82,26,11,52,10,50,97,76,86,31,59,64,89,42,16,89,14,33,24,48,57,98,65,72,68,37,20,81,99
